dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.264282,4.307420,0.000641,0.064103,3.205128,160.256410,0.000000
0.020000,0.264283,4.307420,0.000641,0.000005,-3.204858,-320.499318,0.000000
0.020000,0.264880,4.307420,0.001239,0.029892,1.494310,234.958392,6.283185
0.020000,0.272573,4.307420,0.008932,0.384632,17.736998,812.134392,6.283185
0.020000,0.282830,4.307420,0.019188,0.512842,6.410523,-566.323713,6.283185
0.020000,0.295651,4.307420,0.032009,0.641052,6.410521,-0.000107,6.283184
0.020000,0.311036,4.307420,0.047395,0.769263,6.410518,-0.000134,6.283183
0.020000,0.328986,4.307419,0.065344,0.897473,6.410515,-0.000161,6.283183
0.020000,0.349499,4.307419,0.085858,1.025683,6.410511,-0.000188,6.283182
0.020000,0.372577,4.307419,0.108936,1.153893,6.410507,-0.000215,6.283181
0.020000,0.398219,4.307419,0.134578,1.282104,6.410502,-0.000241,6.283180
0.020000,0.426426,4.307419,0.162784,1.410313,6.410497,-0.000268,6.283179
0.020000,0.457196,4.307419,0.193555,1.538523,6.410491,-0.000295,6.283177
0.020000,0.490531,4.307418,0.226889,1.666733,6.410485,-0.000322,6.283176
0.020000,0.526429,4.307418,0.262788,1.794943,6.410478,-0.000349,6.283175
0.020000,0.564893,4.307418,0.301251,1.923152,6.410470,-0.000375,6.283173
0.020000,0.605920,4.307417,0.342278,2.051361,6.410462,-0.000402,6.283172
0.020000,0.649511,4.307417,0.385870,2.179570,6.410454,-0.000429,6.283170
0.020000,0.695667,4.307416,0.432025,2.307779,6.410444,-0.000456,6.283168
0.020000,0.744386,4.307415,0.480745,2.435988,6.410435,-0.000483,6.283166
0.020000,0.795670,4.307414,0.532029,2.564196,6.410425,-0.000509,6.283164
0.020000,0.849519,4.307413,0.585877,2.692405,6.410414,-0.000536,6.283163
0.020000,0.905931,4.307411,0.642289,2.820613,6.410403,-0.000563,6.283161
0.020000,0.964907,4.307410,0.701266,2.948820,6.410391,-0.000590,6.283159
0.020000,1.026448,4.307408,0.762806,3.077028,6.410378,-0.000617,6.283156
0.020000,1.090552,4.307406,0.826911,3.205235,6.410366,-0.000644,6.283154
0.020000,1.157221,4.307404,0.893580,3.333442,6.410352,-0.000670,6.283152
0.020000,1.226454,4.307402,0.962813,3.461649,6.410338,-0.000697,6.283150
0.020000,1.298251,4.307399,1.034610,3.589856,6.410324,-0.000724,6.283148
0.020000,1.372613,4.307396,1.108971,3.718062,6.410309,-0.000751,6.283145
0.020000,1.449538,4.307393,1.185897,3.846268,6.410293,-0.000778,6.283143
0.020000,1.529027,4.307390,1.265386,3.974473,6.410277,-0.000804,6.283141
0.020000,1.611081,4.307386,1.347440,4.102678,6.410260,-0.000831,6.283139
0.020000,1.695699,4.307382,1.432057,4.230883,6.410243,-0.000858,6.283136
0.020000,1.782880,4.307377,1.519239,4.359088,6.410226,-0.000885,6.283134
