dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.264283,3.307420,0.000641,0.064103,3.205128,160.256410,0.000000
0.020000,0.264283,3.307420,0.003205,0.192308,6.410256,160.256410,0.000000
0.020000,0.264880,3.307420,0.008333,0.320513,6.410256,-0.000000,6.283185
0.020000,0.272573,3.307420,0.016026,0.448718,6.410256,0.000000,6.283185
0.020000,0.282829,3.307420,0.026282,0.576923,6.410256,0.000000,6.283185
0.020000,0.295650,3.307420,0.039103,0.705128,6.410256,-0.000000,6.283184
0.020000,0.311034,3.307420,0.054487,0.833333,6.410256,0.000000,6.283183
0.020000,0.328983,3.307419,0.072436,0.961538,6.410256,0.000000,6.283183
0.020000,0.349496,3.307419,0.092949,1.089744,6.410256,0.000000,6.283182
0.020000,0.372573,3.307419,0.116026,1.217949,6.410256,-0.000000,6.283181
0.020000,0.398214,3.307419,0.141667,1.346154,6.410256,0.000000,6.283180
0.020000,0.426419,3.307419,0.169872,1.474359,6.410256,0.000000,6.283179
0.020000,0.457188,3.307419,0.200641,1.602564,6.410256,-0.000000,6.283177
0.020000,0.490521,3.307418,0.233974,1.730769,6.410256,0.000000,6.283176
0.020000,0.526419,3.307418,0.269872,1.858974,6.410256,0.000000,6.283175
0.020000,0.564880,3.307418,0.308333,1.987179,6.410256,-0.000000,6.283173
0.020000,0.605906,3.307417,0.349359,2.115385,6.410256,0.000000,6.283172
0.020000,0.649496,3.307417,0.392949,2.243590,6.410256,-0.000000,6.283170
0.020000,0.695650,3.307416,0.439103,2.371795,6.410256,0.000000,6.283168
0.020000,0.744368,3.307415,0.487821,2.500000,6.410256,0.000000,6.283166
0.020000,0.795650,3.307414,0.539103,2.628205,6.410256,0.000000,6.283164
0.020000,0.849496,3.307413,0.592949,2.756410,6.410256,0.000000,6.283163
0.020000,0.905906,3.307411,0.649359,2.884615,6.410256,-0.000000,6.283161
0.020000,0.964880,3.307410,0.708333,3.012821,6.410256,0.000000,6.283159
0.020000,1.026419,3.307408,0.769872,3.141026,6.410256,-0.000000,6.283156
0.020000,1.090521,3.307406,0.833974,3.269231,6.410256,0.000000,6.283154
0.020000,1.157188,3.307404,0.900641,3.397436,6.410256,0.000000,6.283152
0.020000,1.226419,3.307402,0.969872,3.525641,6.410256,-0.000000,6.283150
0.020000,1.298214,3.307399,1.041667,3.653846,6.410256,-0.000000,6.283148
0.020000,1.372573,3.307396,1.116026,3.782051,6.410256,0.000000,6.283145
0.020000,1.449496,3.307393,1.192949,3.910256,6.410256,0.000000,6.283143
0.020000,1.528983,3.307390,1.272436,4.038462,6.410256,0.000000,6.283141
0.020000,1.611034,3.307386,1.354487,4.166667,6.410256,0.000000,6.283139
0.020000,1.695650,3.307382,1.439103,4.294872,6.410256,-0.000000,6.283136
0.020000,1.782829,3.307377,1.526282,4.423077,6.410256,0.000000,6.283134
0.020000,1.872573,3.307373,1.616026,4.551282,6.410256,-0.000000,6.283132
0.020000,1.964880,3.307368,1.708333,4.679487,6.410256,0.000000,6.283129
0.020000,2.059752,3.307362,1.803205,4.807692,6.410256,-0.000000,6.283127
0.020000,2.157188,3.307356,1.900641,4.935897,6.410256,0.000000,6.283125
0.020000,2.256547,3.307350,2.000000,5.000000,3.205128,-160.256410,6.283123
0.020000,2.356547,3.307344,2.100000,5.000000,0.000000,-160.256410,6.283121
0.020000,2.456547,3.307338,2.200000,5.000000,0.000000,0.000000,6.283119
0.020000,2.556547,3.307331,2.300000,5.000000,0.000000,0.000000,6.283117
0.020000,2.656547,3.307324,2.400000,5.000000,0.000000,0.000000,6.283116
0.020000,2.756547,3.307317,2.500000,5.000000,0.000000,0.000000,6.283114
0.020000,2.856547,3.307310,2.600000,5.000000,0.000000,0.000000,6.283113
