dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.264283,2.307420,0.000641,0.064103,3.205128,160.256410,0.000000
0.020000,0.264283,2.307420,0.000641,0.000005,-3.204858,-320.499318,0.000000
0.020000,0.264880,2.307420,0.001239,0.029870,1.493231,234.904434,6.283185
0.020000,0.272572,2.307420,0.008931,0.384599,17.736461,812.161505,6.283185
0.020000,0.282828,2.307420,0.019186,0.512799,6.409990,-566.323552,6.283185
0.020000,0.295648,2.307420,0.032006,0.640999,6.409992,0.000107,6.283184
0.020000,0.311032,2.307420,0.047390,0.769199,6.409994,0.000134,6.283183
0.020000,0.328980,2.307419,0.065338,0.897399,6.409998,0.000161,6.283183
0.020000,0.349492,2.307419,0.085850,1.025599,6.410001,0.000188,6.283182
0.020000,0.372568,2.307419,0.108926,1.153799,6.410006,0.000215,6.283181
0.020000,0.398208,2.307419,0.134566,1.281999,6.410010,0.000241,6.283180
0.020000,0.426412,2.307419,0.162770,1.410199,6.410016,0.000268,6.283179
0.020000,0.457180,2.307419,0.193538,1.538400,6.410022,0.000295,6.283177
0.020000,0.490512,2.307418,0.226870,1.666600,6.410028,0.000322,6.283176
0.020000,0.526408,2.307418,0.262766,1.794801,6.410035,0.000349,6.283175
0.020000,0.564868,2.307418,0.301226,1.923002,6.410043,0.000375,6.283173
0.020000,0.605892,2.307417,0.342250,2.051203,6.410051,0.000402,6.283172
0.020000,0.649480,2.307417,0.385839,2.179404,6.410059,0.000429,6.283170
0.020000,0.695632,2.307416,0.431991,2.307605,6.410068,0.000456,6.283168
0.020000,0.744349,2.307415,0.480707,2.435807,6.410078,0.000483,6.283166
0.020000,0.795629,2.307414,0.531987,2.564009,6.410088,0.000509,6.283164
0.020000,0.849473,2.307413,0.585831,2.692211,6.410099,0.000536,6.283163
0.020000,0.905881,2.307411,0.642239,2.820413,6.410110,0.000563,6.283161
0.020000,0.964854,2.307410,0.701212,2.948615,6.410122,0.000590,6.283159
0.020000,1.026390,2.307408,0.762748,3.076818,6.410134,0.000617,6.283156
0.020000,1.090490,2.307406,0.826849,3.205021,6.410147,0.000644,6.283154
0.020000,1.157155,2.307404,0.893513,3.333224,6.410161,0.000670,6.283152
0.020000,1.226383,2.307402,0.962742,3.461428,6.410175,0.000697,6.283150
0.020000,1.298176,2.307399,1.034534,3.589632,6.410189,0.000724,6.283148
0.020000,1.372533,2.307396,1.108891,3.717836,6.410204,0.000751,6.283145
0.020000,1.449454,2.307393,1.185812,3.846040,6.410220,0.000778,6.283143
0.020000,1.528938,2.307390,1.265297,3.974245,6.410236,0.000804,6.283141
0.020000,1.610987,2.307386,1.347346,4.102450,6.410252,0.000831,6.283139
0.020000,1.695601,2.307382,1.431959,4.230655,6.410270,0.000858,6.283136
0.020000,1.782778,2.307377,1.519136,4.358861,6.410287,0.000885,6.283134
0.020000,1.872519,2.307373,1.608877,4.487067,6.410305,0.000912,6.283132
0.020000,1.964825,2.307368,1.701183,4.615274,6.410324,0.000938,6.283129
0.020000,2.059694,2.307362,1.796052,4.743480,6.410344,0.000965,6.283127
0.020000,2.157128,2.307356,1.893486,4.871688,6.410363,0.000992,6.283125
0.020000,2.256485,2.307350,1.992843,4.967845,4.807852,-80.125552,6.283123
0.020000,2.356483,2.307344,2.092841,4.999901,1.602802,-160.252537,6.283121
0.020000,2.456481,2.307338,2.192839,4.999906,0.000272,-80.126484,6.283119
0.020000,2.556479,2.307331,2.292837,4.999912,0.000272,0.000000,6.283117
0.020000,2.656478,2.307324,2.392836,4.999917,0.000272,-0.000000,6.283116
0.020000,2.756476,2.307317,2.492834,4.999922,0.000272,0.000000,6.283114
0.020000,2.856475,2.307310,2.592833,4.999928,0.000272,0.000000,6.283113
0.020000,2.956473,2.307302,2.692831,4.999933,0.000272,-0.000000,6.283111
0.020000,3.056472,2.307295,2.792830,4.999939,0.000272,-0.000000,6.283110
0.020000,3.156471,2.307287,2.892829,4.999944,0.000272,0.000000,6.283109
0.020000,3.256470,2.307280,2.992828,4.999950,0.000272,0.000000,6.283108
0.020000,3.356469,2.307272,3.092827,4.999955,0.000272,-0.000000,6.283107
0.020000,3.456468,2.307264,3.192826,4.999961,0.000272,0.000000,6.283106
