dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.031390,26.912651,0.000641,0.064103,3.205128,160.256410,0.000807
0.020000,0.031490,26.912652,0.000742,0.005041,-2.953059,-307.909351,0.000706
0.020000,0.031692,26.912652,0.000944,0.010087,0.252265,160.266206,0.000504
0.020000,0.031995,26.912652,0.001246,0.015140,0.252657,0.019605,0.000201
0.020000,0.037548,26.912651,0.006799,0.277644,13.125212,643.627726,6.282982
0.020000,0.050874,26.912645,0.020125,0.666298,19.432672,315.373025,6.282476
0.020000,0.066868,26.912629,0.036119,0.799694,6.669845,-638.141387,6.281868
0.020000,0.085528,26.912598,0.054779,0.933001,6.665346,-0.224959,6.281157
0.020000,0.106855,26.912546,0.076107,1.066393,6.669562,0.210847,6.280342
0.020000,0.130852,26.912467,0.100104,1.199836,6.672170,0.130376,6.279422
0.020000,0.157518,26.912353,0.126770,1.333299,6.673161,0.049534,6.278397
0.020000,0.186853,26.912195,0.156106,1.466798,6.674927,0.088333,6.277265
0.020000,0.218864,26.911986,0.188117,1.600548,6.687508,0.629021,6.276025
0.020000,0.253544,26.911714,0.222798,1.734072,6.676218,-0.564503,6.274675
0.020000,0.290900,26.911369,0.260156,1.867902,6.691490,0.763604,6.273215
0.020000,0.330933,26.910939,0.300191,2.001741,6.691945,0.022745,6.271642
0.020000,0.373642,26.910410,0.342903,2.135626,6.694228,0.114177,6.269956
0.020000,0.419030,26.909768,0.388296,2.269616,6.699522,0.264679,6.268153
0.020000,0.467097,26.908999,0.436369,2.403679,6.703164,0.182088,6.266232
0.020000,0.517849,26.908087,0.487130,2.538011,6.716612,0.672432,6.264191
0.020000,0.571284,26.907014,0.540575,2.672287,6.713786,-0.141285,6.262027
0.020000,0.627406,26.905763,0.596711,2.806764,6.723849,0.503136,6.259738
0.020000,0.686213,26.904312,0.655536,2.941275,6.725561,0.085570,6.257321
0.020000,0.747712,26.902643,0.717058,3.076075,6.739965,0.720203,6.254774
0.020000,0.811903,26.900733,0.781277,3.210964,6.744487,0.226094,6.252093
0.020000,0.878788,26.898559,0.848197,3.345994,6.751496,0.350476,6.249276
0.020000,0.948370,26.896095,0.917823,3.481292,6.764866,0.668500,6.246318
0.020000,1.020649,26.893317,0.990155,3.616619,6.766351,0.074252,6.243216
0.020000,1.095628,26.890197,1.065199,3.752186,6.778360,0.600451,6.239967
0.020000,1.173309,26.886706,1.142958,3.887969,6.789140,0.539007,6.236566
0.020000,1.253695,26.882812,1.223439,4.024045,6.803805,0.733256,6.233009
0.020000,1.336787,26.878485,1.306644,4.160237,6.809614,0.290454,6.229292
0.020000,1.422587,26.873690,1.392578,4.296691,6.822700,0.654287,6.225409
0.020000,1.511096,26.868391,1.481245,4.433372,6.834033,0.566629,6.221356
0.020000,1.602319,26.862550,1.572654,4.570465,6.854676,1.032155,6.217127
0.020000,1.696253,26.856128,1.666808,4.707687,6.861067,0.319533,6.212716
0.020000,1.792903,26.849083,1.763714,4.845299,6.880618,0.977561,6.208119
0.020000,1.892267,26.841371,1.863377,4.983133,6.891682,0.553214,6.203327
0.020000,1.994347,26.832946,1.965804,5.121374,6.912067,1.019233,6.198335
0.020000,2.098473,26.823819,2.070329,5.226250,5.243822,-83.412218,6.193169
0.020000,2.203299,26.814080,2.175607,5.263885,1.881720,-168.105136,6.187892
0.020000,2.308151,26.803775,2.280964,5.267872,0.199378,-84.117084,6.182534
0.020000,2.413027,26.792895,2.386403,5.271928,0.202765,0.169359,6.177096
0.020000,2.517924,26.781433,2.491924,5.276051,0.206156,0.169548,6.171574
0.020000,2.622838,26.769377,2.597529,5.280261,0.210492,0.216787,6.165967
0.020000,2.727771,26.756718,2.703223,5.284678,0.220875,0.519168,6.160275
0.020000,2.832716,26.743447,2.809003,5.289021,0.217123,-0.187599,6.154495
0.020000,2.937669,26.729553,2.914872,5.293431,0.220510,0.169318,6.148626
0.020000,3.042627,26.715026,3.020830,5.297943,0.225623,0.255679,6.142666
0.020000,3.147590,26.699855,3.126884,5.302697,0.237671,0.602400,6.136613
0.020000,3.252551,26.684031,3.233031,5.307324,0.231390,-0.314065,6.130466
0.020000,3.357504,26.667542,3.339272,5.312051,0.236321,0.246540,6.124224
0.020000,3.462451,26.650377,3.445613,5.317071,0.251031,0.735531,6.117883
0.020000,3.567382,26.632525,3.552052,5.321914,0.242126,-0.445286,6.111444
0.020000,3.672295,26.613976,3.658592,5.327005,0.254565,0.621971,6.104904
0.020000,3.777184,26.594716,3.765234,5.332133,0.256373,0.090420,6.098262
0.020000,3.882043,26.574736,3.871980,5.337301,0.258421,0.102402,6.091515
0.020000,3.986870,26.554022,3.978834,5.342669,0.268387,0.498274,6.084662
0.020000,4.091655,26.532563,4.085793,5.347981,0.265624,-0.138152,6.077701
0.020000,4.196395,26.510347,4.192864,5.353514,0.276641,0.550860,6.070631
0.020000,4.301082,26.487361,4.300044,5.359034,0.276014,-0.031343,6.063450
0.020000,4.405709,26.463593,4.407338,5.364659,0.281210,0.259809,6.056156
0.020000,4.510272,26.439031,4.514746,5.370447,0.289402,0.409567,6.048748
0.020000,4.614759,26.413661,4.622270,5.376152,0.285244,-0.207875,6.041224
0.020000,4.719167,26.387471,4.729912,5.382141,0.299463,0.710926,6.033581
0.020000,4.823486,26.360448,4.837674,5.388089,0.297414,-0.102415,6.025819
0.020000,4.927705,26.332578,4.945556,5.394074,0.299241,0.091335,6.017937
0.020000,5.031819,26.303849,5.053561,5.400253,0.308958,0.485845,6.009931
0.020000,5.135818,26.274246,5.161690,5.406488,0.311736,0.138914,6.001802
0.020000,5.239690,26.243758,5.269945,5.412723,0.311772,0.001800,5.993547
0.020000,5.343426,26.212370,5.378326,5.419041,0.315890,0.205891,5.985166
0.020000,5.447016,26.180068,5.486834,5.425438,0.319836,0.197295,5.976656
0.020000,5.550450,26.146840,5.595475,5.432003,0.328269,0.421649,5.968016
0.020000,5.653714,26.112671,5.704245,5.438521,0.325914,-0.117734,5.959246
0.020000,5.756797,26.077549,5.813147,5.445102,0.329047,0.156620,5.950343
0.020000,5.859686,26.041460,5.922182,5.451740,0.331886,0.141972,5.941308
0.020000,5.962368,26.004391,6.031350,5.458428,0.334416,0.126468,5.932139
0.020000,6.064830,25.966328,6.140654,5.465161,0.336617,0.110093,5.922835
0.020000,6.167057,25.927257,6.250092,5.471930,0.338474,0.092838,5.913396
0.020000,6.269034,25.887168,6.359667,5.478730,0.339968,0.074693,5.903821
0.020000,6.370747,25.846045,6.469378,5.485551,0.341081,0.055654,5.894110
0.020000,6.472178,25.803877,6.579226,5.492387,0.341795,0.035719,5.884262
0.020000,6.573313,25.760652,6.689210,5.499229,0.342093,0.014888,5.874277
0.020000,6.674133,25.716357,6.799331,5.506068,0.341957,-0.006833,5.864155
0.020000,6.774621,25.670981,6.909589,5.512896,0.341368,-0.029435,5.853896
0.020000,6.874758,25.624512,7.019983,5.519702,0.340310,-0.052904,5.843501
0.020000,6.974527,25.576939,7.130514,5.526513,0.340562,0.012613,5.832970
0.020000,7.073907,25.528252,7.241180,5.533292,0.338933,-0.081449,5.822304
0.020000,7.172879,25.478441,7.351979,5.539978,0.334327,-0.230290,5.811504
0.020000,7.271422,25.427497,7.462911,5.546601,0.331165,-0.158104,5.800571
0.020000,7.369513,25.375411,7.573974,5.553151,0.327454,-0.185557,5.789507
0.020000,7.467134,25.322174,7.685168,5.559675,0.326246,-0.060413,5.778313
0.020000,7.564261,25.267778,7.796489,5.566081,0.320274,-0.298587,5.766992
0.020000,7.660871,25.212218,7.907936,5.572336,0.312767,-0.375332,5.755544
0.020000,7.756940,25.155487,8.019505,5.578475,0.306947,-0.291032,5.743973
0.020000,7.852448,25.097580,8.131197,5.584574,0.304916,-0.101517,5.732282
0.020000,7.947368,25.038492,8.243005,5.590421,0.292366,-0.627524,5.720473
0.020000,8.041676,24.978221,8.354928,5.596113,0.284620,-0.387320,5.708549
0.020000,8.135349,24.916763,8.466962,5.601723,0.280473,-0.207319,5.696514
0.020000,8.228360,24.854117,8.579103,5.607045,0.266118,-0.717762,5.684373
0.020000,8.320686,24.790284,8.691347,5.612202,0.257824,-0.414709,5.672128
0.020000,8.412300,24.725263,8.803690,5.617168,0.248330,-0.474696,5.659784
0.020000,8.503178,24.659056,8.916127,5.621850,0.234093,-0.711859,5.647346
0.020000,8.593295,24.591666,9.028655,5.626358,0.225424,-0.433428,5.634818
0.020000,8.682624,24.523098,9.141266,5.630559,0.210031,-0.769663,5.622206
0.020000,8.771140,24.453356,9.253956,5.634517,0.197898,-0.606644,5.609515
0.020000,8.858819,24.382446,9.366720,5.638199,0.184094,-0.690190,5.596750
0.020000,8.945635,24.310378,9.479552,5.641576,0.168862,-0.761600,5.583918
0.020000,9.031564,24.237158,9.592445,5.644680,0.155175,-0.684366,5.571023
0.020000,9.116581,24.162797,9.705394,5.647449,0.138464,-0.835522,5.558073
0.020000,9.200664,24.087306,9.818393,5.649921,0.123621,-0.742170,5.545074
0.020000,9.283787,24.010699,9.931434,5.652057,0.106757,-0.843219,5.532032
