dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.032196,25.912652,0.000649,0.064935,3.246753,162.337662,0.000806
0.020000,0.032196,25.912652,0.003247,0.194805,6.493506,162.337662,0.000704
0.020000,0.032196,25.912652,0.008442,0.324675,6.493506,0.000000,0.000500
0.020000,0.032196,25.912652,0.016234,0.454545,6.493506,0.000000,0.000193
0.020000,0.037686,25.912651,0.026623,0.584416,6.493506,-0.000000,6.282969
0.020000,0.050673,25.912645,0.039610,0.714286,6.493506,0.000000,6.282456
0.020000,0.066258,25.912629,0.055195,0.844156,6.493506,0.000000,6.281840
0.020000,0.084440,25.912598,0.073377,0.974026,6.493506,0.000000,6.281120
0.020000,0.105219,25.912546,0.094156,1.103896,6.493506,0.000000,6.280294
0.020000,0.128596,25.912468,0.117532,1.233766,6.493506,0.000000,6.279362
0.020000,0.154569,25.912355,0.143506,1.363636,6.493506,-0.000000,6.278323
0.020000,0.183139,25.912200,0.172078,1.493506,6.493506,0.000000,6.277176
0.020000,0.214308,25.911993,0.203247,1.623377,6.493506,0.000000,6.275919
0.020000,0.248073,25.911725,0.237013,1.753247,6.493506,0.000000,6.274552
0.020000,0.284434,25.911384,0.273377,1.883117,6.493506,0.000000,6.273072
0.020000,0.323393,25.910959,0.312338,2.012987,6.493506,0.000000,6.271478
0.020000,0.364949,25.910437,0.353896,2.142857,6.493506,-0.000000,6.269768
0.020000,0.409099,25.909804,0.398052,2.272727,6.493506,0.000000,6.267941
0.020000,0.455847,25.909046,0.444805,2.402597,6.493506,0.000000,6.265994
0.020000,0.505190,25.908146,0.494156,2.532468,6.493506,-0.000000,6.263924
0.020000,0.557126,25.907089,0.546104,2.662338,6.493506,0.000000,6.261730
0.020000,0.611659,25.905856,0.600649,2.792208,6.493506,0.000000,6.259409
0.020000,0.668784,25.904427,0.657792,2.922078,6.493506,-0.000000,6.256958
0.020000,0.728502,25.902784,0.717532,3.051948,6.493506,0.000000,6.254375
0.020000,0.790811,25.900903,0.779870,3.181818,6.493506,-0.000000,6.251656
0.020000,0.855711,25.898764,0.844805,3.311688,6.493506,0.000000,6.248797
0.020000,0.923199,25.896341,0.912338,3.441558,6.493506,-0.000000,6.245796
0.020000,0.993276,25.893609,0.982468,3.571429,6.493506,0.000000,6.242649
0.020000,1.065938,25.890542,1.055195,3.701299,6.493506,-0.000000,6.239351
0.020000,1.141185,25.887112,1.130519,3.831169,6.493506,0.000000,6.235899
0.020000,1.219014,25.883288,1.208442,3.961039,6.493506,-0.000000,6.232288
0.020000,1.299421,25.879040,1.288961,4.090909,6.493506,0.000000,6.228514
0.020000,1.382404,25.874335,1.372078,4.220779,6.493506,0.000000,6.224571
0.020000,1.467960,25.869138,1.457792,4.350649,6.493506,-0.000000,6.220454
0.020000,1.556086,25.863413,1.546104,4.480519,6.493506,0.000000,6.216158
0.020000,1.646777,25.857121,1.637013,4.610390,6.493506,0.000000,6.211677
0.020000,1.740029,25.850223,1.730519,4.740260,6.493506,-0.000000,6.207004
0.020000,1.835836,25.842676,1.826623,4.870130,6.493506,0.000000,6.202134
0.020000,1.934193,25.834436,1.925325,5.000000,6.493506,0.000000,6.197059
0.020000,2.035093,25.825456,2.026623,5.129870,6.493506,0.000000,6.191772
0.020000,2.138527,25.815688,2.130519,5.259740,6.493506,0.000000,6.186265
0.020000,2.244492,25.805080,2.237013,5.389610,6.493506,-0.000000,6.180531
0.020000,2.352973,25.793578,2.346104,5.519481,6.493506,0.000000,6.174560
