dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.033003,24.912652,0.000641,0.064103,3.205128,160.256410,0.000807
0.020000,0.032902,24.912652,0.000742,0.005041,-2.953059,-307.909351,0.000706
0.020000,0.032700,24.912652,0.000944,0.010087,0.252265,160.266206,0.000504
0.020000,0.032397,24.912652,0.001246,0.015140,0.252657,0.019605,0.000201
0.020000,0.037142,24.912651,0.005991,0.237227,11.104344,542.584315,6.282982
0.020000,0.049456,24.912646,0.018305,0.615707,18.924022,390.983900,6.282476
0.020000,0.064233,24.912631,0.033082,0.738862,6.157744,-638.313899,6.281868
0.020000,0.081471,24.912602,0.050320,0.861871,6.150469,-0.363749,6.281157
0.020000,0.101168,24.912554,0.070017,0.984886,6.150709,0.012013,6.280342
0.020000,0.123326,24.912481,0.092175,1.107864,6.148915,-0.089720,6.279422
0.020000,0.147941,24.912375,0.116790,1.230765,6.145070,-0.192211,6.278397
0.020000,0.175012,24.912231,0.143862,1.353593,6.141375,-0.184756,6.277265
0.020000,0.204542,24.912037,0.173393,1.476534,6.147074,0.284955,6.276025
0.020000,0.236524,24.911787,0.205375,1.599137,6.130156,-0.845916,6.274675
0.020000,0.270960,24.911469,0.239813,1.721880,6.137128,0.348575,6.273215
0.020000,0.307847,24.911072,0.276702,1.844476,6.129803,-0.366251,6.271642
0.020000,0.347183,24.910585,0.316041,1.966946,6.123519,-0.314190,6.269956
0.020000,0.388966,24.909994,0.357828,2.089333,6.119340,-0.208931,6.268153
0.020000,0.433192,24.909287,0.402060,2.211592,6.112950,-0.319512,6.266232
0.020000,0.479862,24.908448,0.448738,2.333889,6.114863,0.095640,6.264191
0.020000,0.528971,24.907462,0.497856,2.455911,6.101064,-0.689938,6.262027
0.020000,0.580515,24.906312,0.549413,2.577878,6.098348,-0.135807,6.259738
0.020000,0.634491,24.904981,0.603406,2.699621,6.087159,-0.559428,6.257321
0.020000,0.690898,24.903450,0.659833,2.821357,6.086787,-0.018589,6.254774
0.020000,0.749729,24.901700,0.718691,2.942886,6.076474,-0.515682,6.252093
0.020000,0.810982,24.899708,0.779975,3.064237,6.067540,-0.446715,6.249276
0.020000,0.874652,24.897454,0.843686,3.185506,6.063480,-0.202990,6.246318
0.020000,0.940732,24.894915,0.909815,3.306458,6.047554,-0.796262,6.243216
0.020000,1.009218,24.892065,0.978360,3.427262,6.040228,-0.366339,6.239967
0.020000,1.080104,24.888879,1.049317,3.547876,6.030689,-0.476929,6.236566
0.020000,1.153385,24.885329,1.122684,3.668347,6.023553,-0.356785,6.233009
