dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.357086,2.265058,0.000641,0.064103,3.205128,160.256410,0.000031
0.020000,0.357094,2.265058,0.000649,0.000385,-3.185862,-319.549523,0.000024
0.020000,0.357109,2.265058,0.000664,0.000748,0.018150,160.200633,0.000009
0.020000,0.361800,2.265058,0.005355,0.234570,11.691093,583.647110,6.283173
0.020000,0.372083,2.265057,0.015638,0.514139,13.978443,114.367537,6.283146
0.020000,0.384933,2.265057,0.028488,0.642506,6.418354,-378.004476,6.283117
0.020000,0.400348,2.265055,0.043903,0.770763,6.412822,-0.276604,6.283086
0.020000,0.418326,2.265053,0.061881,0.898884,6.406078,-0.337192,6.283057
0.020000,0.438863,2.265050,0.082418,1.026851,6.398332,-0.387313,6.283033
0.020000,0.461956,2.265047,0.105511,1.154638,6.389380,-0.447579,6.283017
0.020000,0.487600,2.265042,0.131155,1.282226,6.379371,-0.500476,6.283013
0.020000,0.515792,2.265038,0.159347,1.409590,6.368211,-0.557999,6.283027
0.020000,0.546526,2.265033,0.190081,1.536710,6.355995,-0.610796,6.283062
0.020000,0.579798,2.265030,0.223352,1.663561,6.342561,-0.671681,6.283124
0.020000,0.615600,2.265030,0.259155,1.790122,6.328025,-0.726795,0.000034
0.020000,0.653927,2.265033,0.297482,1.916369,6.312374,-0.782531,0.000168
0.020000,0.694773,2.265044,0.338328,2.042281,6.295595,-0.838998,0.000348
0.020000,0.738130,2.265064,0.381685,2.167832,6.277564,-0.901503,0.000581
0.020000,0.783990,2.265097,0.427544,2.292998,6.258292,-0.963606,0.000875
0.020000,0.832345,2.265148,0.475900,2.417753,6.237748,-1.027204,0.001238
0.020000,0.883186,2.265222,0.526741,2.542084,6.216563,-1.059249,0.001678
0.020000,0.936505,2.265325,0.580060,2.665943,6.192919,-1.182209,0.002205
0.020000,0.992291,2.265465,0.635847,2.789320,6.168884,-1.201755,0.002829
0.020000,1.050535,2.265651,0.694090,2.912184,6.143178,-1.285298,0.003560
0.020000,1.111224,2.265892,0.754780,3.034494,6.115511,-1.383329,0.004409
0.020000,1.174348,2.266201,0.817905,3.156241,6.087353,-1.407914,0.005386
0.020000,1.239894,2.266590,0.883452,3.277367,6.056293,-1.553021,0.006506
0.020000,1.307850,2.267074,0.951409,3.397853,6.024300,-1.599624,0.007780
0.020000,1.378200,2.267672,1.021762,3.517649,5.989803,-1.724863,0.009221
0.020000,1.450931,2.268401,1.094497,3.636744,5.954741,-1.753108,0.010846
0.020000,1.526027,2.269283,1.169598,3.755050,5.915310,-1.971547,0.012668
0.020000,1.603471,2.270342,1.247049,3.872555,5.875234,-2.003819,0.014704
0.020000,1.683245,2.271604,1.326833,3.989191,5.831786,-2.172378,0.016971
0.020000,1.765329,2.273099,1.408931,4.104908,5.785893,-2.294641,0.019488
0.020000,1.849704,2.274860,1.493324,4.219638,5.736502,-2.469568,0.022275
0.020000,1.936346,2.276922,1.579991,4.333343,5.685207,-2.564724,0.025352
0.020000,2.025232,2.279325,1.668909,4.445926,5.629170,-2.801865,0.028741
0.020000,2.116335,2.282112,1.760055,4.557279,5.567636,-3.076714,0.032467
0.020000,2.209627,2.285331,1.853403,4.667381,5.505130,-3.125303,0.036556
0.020000,2.304466,2.289008,1.948313,4.745504,3.906119,-79.950518,0.041004
0.020000,2.399606,2.293136,2.043542,4.761483,0.798987,-155.356609,0.045775
0.020000,2.494423,2.297718,2.138470,4.746397,-0.754318,-77.665255,0.050847
0.020000,2.588906,2.302778,2.233088,4.730877,-0.775983,-1.083254,0.056229
0.020000,2.683039,2.308343,2.327386,4.714909,-0.798432,-1.122427,0.061930
0.020000,2.776811,2.314439,2.421355,4.698459,-0.822504,-1.203602,0.067961
0.020000,2.870203,2.321092,2.514985,4.681468,-0.849554,-1.352521,0.074332
0.020000,2.963201,2.328329,2.608263,4.663920,-0.877394,-1.391979,0.081053
0.020000,3.055784,2.336177,2.701179,4.645789,-0.906523,-1.456447,0.088137
0.020000,3.147936,2.344663,2.793721,4.627095,-0.934704,-1.409053,0.095595
0.020000,3.239634,2.353816,2.885874,4.607684,-0.970546,-1.792102,0.103441
0.020000,3.330857,2.363663,2.977627,4.587617,-1.003361,-1.640774,0.111689
0.020000,3.421580,2.374232,3.068964,4.566852,-1.038255,-1.744685,0.120352
0.020000,3.511778,2.385553,3.159870,4.545293,-1.077956,-1.985048,0.129445
0.020000,3.601425,2.397654,3.250330,4.523002,-1.114526,-1.828512,0.138985
0.020000,3.690492,2.410564,3.340327,4.499855,-1.157357,-2.141547,0.148988
0.020000,3.778947,2.424311,3.429844,4.475857,-1.199915,-2.127907,0.159470
0.020000,3.866760,2.438925,3.518865,4.451038,-1.240963,-2.052421,0.170449
0.020000,3.953896,2.454435,3.607370,4.425254,-1.289167,-2.410167,0.181943
0.020000,4.040318,2.470868,3.695341,4.398553,-1.335051,-2.294215,0.193971
0.020000,4.125990,2.488253,3.782759,4.370914,-1.381960,-2.345462,0.206552
0.020000,4.210873,2.506618,3.869606,4.342330,-1.429213,-2.362631,0.219705
0.020000,4.294925,2.525990,3.955861,4.312775,-1.477760,-2.427343,0.233449
