dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.357117,1.265058,0.000641,0.064103,3.205128,160.256410,0.000031
0.020000,0.357117,1.265058,0.003205,0.192308,6.410256,160.256410,0.000024
0.020000,0.357117,1.265058,0.008333,0.320513,6.410256,-0.000000,0.000009
0.020000,0.361787,1.265058,0.016026,0.448718,6.410256,0.000000,6.283173
0.020000,0.372044,1.265057,0.026282,0.576923,6.410256,0.000000,6.283146
0.020000,0.384864,1.265057,0.039103,0.705128,6.410256,-0.000000,6.283117
0.020000,0.400249,1.265055,0.054487,0.833333,6.410256,0.000000,6.283086
0.020000,0.418198,1.265053,0.072436,0.961538,6.410256,0.000000,6.283057
0.020000,0.438711,1.265050,0.092949,1.089744,6.410256,0.000000,6.283033
0.020000,0.461787,1.265047,0.116026,1.217949,6.410256,-0.000000,6.283017
0.020000,0.487429,1.265042,0.141667,1.346154,6.410256,0.000000,6.283013
0.020000,0.515634,1.265038,0.169872,1.474359,6.410256,0.000000,6.283027
0.020000,0.546403,1.265033,0.200641,1.602564,6.410256,-0.000000,6.283062
0.020000,0.579736,1.265030,0.233974,1.730769,6.410256,0.000000,6.283124
0.020000,0.615634,1.265030,0.269872,1.858974,6.410256,0.000000,0.000034
0.020000,0.654095,1.265033,0.308333,1.987179,6.410256,-0.000000,0.000168
0.020000,0.695121,1.265044,0.349359,2.115385,6.410256,0.000000,0.000348
0.020000,0.738711,1.265064,0.392949,2.243590,6.410256,-0.000000,0.000581
0.020000,0.784865,1.265097,0.439103,2.371795,6.410256,0.000000,0.000875
0.020000,0.833582,1.265148,0.487821,2.500000,6.410256,0.000000,0.001238
0.020000,0.884864,1.265223,0.539103,2.628205,6.410256,0.000000,0.001678
0.020000,0.938711,1.265327,0.592949,2.756410,6.410256,0.000000,0.002205
0.020000,0.995121,1.265469,0.649359,2.884615,6.410256,-0.000000,0.002829
0.020000,1.054095,1.265657,0.708333,3.012821,6.410256,0.000000,0.003560
0.020000,1.115633,1.265902,0.769872,3.141026,6.410256,-0.000000,0.004409
0.020000,1.179735,1.266215,0.833974,3.269231,6.410256,0.000000,0.005386
0.020000,1.246400,1.266611,0.900641,3.397436,6.410256,0.000000,0.006506
0.020000,1.315629,1.267105,0.969872,3.525641,6.410256,-0.000000,0.007780
0.020000,1.387421,1.267714,1.041667,3.653846,6.410256,-0.000000,0.009221
0.020000,1.461777,1.268460,1.116026,3.782051,6.410256,0.000000,0.010846
0.020000,1.538694,1.269363,1.192949,3.910256,6.410256,0.000000,0.012668
0.020000,1.618174,1.270450,1.272436,4.038462,6.410256,0.000000,0.014704
0.020000,1.700215,1.271748,1.354487,4.166667,6.410256,0.000000,0.016971
0.020000,1.784817,1.273289,1.439103,4.294872,6.410256,-0.000000,0.019488
0.020000,1.871977,1.275108,1.526282,4.423077,6.410256,0.000000,0.022275
0.020000,1.961695,1.277243,1.616026,4.551282,6.410256,-0.000000,0.025352
0.020000,2.053969,1.279738,1.708333,4.679487,6.410256,0.000000,0.028741
0.020000,2.148797,1.282639,1.803205,4.807692,6.410256,-0.000000,0.032467
0.020000,2.246175,1.285999,1.900641,4.935897,6.410256,0.000000,0.036556
0.020000,2.345459,1.289848,2.000000,5.000000,3.205128,-160.256410,0.041004
0.020000,2.445365,1.294184,2.100000,5.000000,0.000000,-160.256410,0.045775
0.020000,2.545248,1.299010,2.200000,5.000000,0.000000,0.000000,0.050847
0.020000,2.645105,1.304359,2.300000,5.000000,0.000000,0.000000,0.056229
0.020000,2.744930,1.310261,2.400000,5.000000,0.000000,0.000000,0.061930
0.020000,2.844720,1.316748,2.500000,5.000000,0.000000,0.000000,0.067961
0.020000,2.944467,1.323854,2.600000,5.000000,0.000000,0.000000,0.074332
0.020000,3.044165,1.331612,2.700000,5.000000,0.000000,0.000000,0.081053
0.020000,3.143807,1.340058,2.800000,5.000000,0.000000,0.000000,0.088137
0.020000,3.243386,1.349229,2.900000,5.000000,0.000000,0.000000,0.095595
0.020000,3.342891,1.359161,3.000000,5.000000,0.000000,0.000000,0.103441
0.020000,3.442313,1.369893,3.100000,5.000000,0.000000,0.000000,0.111689
0.020000,3.541642,1.381466,3.200000,5.000000,0.000000,0.000000,0.120352
0.020000,3.640862,1.393920,3.300000,5.000000,0.000000,0.000000,0.129445
0.020000,3.739963,1.407297,3.400000,5.000000,0.000000,0.000000,0.138985
0.020000,3.838929,1.421642,3.500000,5.000000,0.000000,0.000000,0.148988
0.020000,3.937742,1.437000,3.600000,5.000000,0.000000,0.000000,0.159470
0.020000,4.036385,1.453417,3.700000,5.000000,0.000000,0.000000,0.170449
0.020000,4.134837,1.470941,3.800000,5.000000,0.000000,0.000000,0.181943
0.020000,4.233076,1.489622,3.900000,5.000000,0.000000,0.000000,0.193971
0.020000,4.331077,1.509509,4.000000,5.000000,0.000000,0.000000,0.206552
0.020000,4.428815,1.530656,4.100000,5.000000,0.000000,0.000000,0.219705
0.020000,4.526259,1.553116,4.200000,5.000000,0.000000,0.000000,0.233449
0.020000,4.623378,1.576942,4.300000,5.000000,0.000000,0.000000,0.247803
0.020000,4.720138,1.602189,4.400000,5.000000,0.000000,0.000000,0.262787
0.020000,4.816499,1.628915,4.500000,5.000000,0.000000,0.000000,0.278419
0.020000,4.912422,1.657175,4.600000,5.000000,0.000000,0.000000,0.294716
0.020000,5.007861,1.687028,4.700000,5.000000,0.000000,0.000000,0.311696
0.020000,5.102768,1.718529,4.800000,5.000000,0.000000,0.000000,0.329373
0.020000,5.197092,1.751737,4.900000,5.000000,0.000000,0.000000,0.347760
0.020000,5.290777,1.786706,5.000000,5.000000,0.000000,0.000000,0.366870
0.020000,5.383762,1.823494,5.100000,5.000000,0.000000,0.000000,0.386708
0.020000,5.475986,1.862152,5.200000,5.000000,0.000000,0.000000,0.407281
0.020000,5.567379,1.902733,5.300000,5.000000,0.000000,0.000000,0.428589
0.020000,5.657872,1.945285,5.400000,5.000000,0.000000,0.000000,0.450627
0.020000,5.747389,1.989854,5.500000,5.000000,0.000000,0.000000,0.473387
0.020000,5.835851,2.036479,5.600000,5.000000,0.000000,0.000000,0.496854
0.020000,5.923178,2.085197,5.700000,5.000000,0.000000,0.000000,0.521006
0.020000,6.009287,2.136038,5.800000,5.000000,0.000000,0.000000,0.545815
0.020000,6.094090,2.189027,5.900000,5.000000,0.000000,0.000000,0.571248
0.020000,6.177503,2.244179,6.000000,5.000000,0.000000,0.000000,0.597261
0.020000,6.259437,2.301504,6.100000,5.000000,0.000000,0.000000,0.623807
0.020000,6.339806,2.361004,6.200000,5.000000,0.000000,0.000000,0.650828
0.020000,6.418525,2.422669,6.300000,5.000000,0.000000,0.000000,0.678263
0.020000,6.495512,2.486485,6.400000,5.000000,0.000000,0.000000,0.706043
0.020000,6.570686,2.552425,6.500000,5.000000,0.000000,0.000000,0.734096
0.020000,6.643975,2.620455,6.600000,5.000000,0.000000,0.000000,0.762343
0.020000,6.715308,2.690533,6.700000,5.000000,0.000000,0.000000,0.790705
0.020000,6.784624,2.762606,6.800000,5.000000,0.000000,0.000000,0.819101
0.020000,6.851867,2.836618,6.900000,5.000000,0.000000,0.000000,0.847450
0.020000,6.916988,2.912502,7.000000,5.000000,0.000000,0.000000,0.875670
0.020000,6.979951,2.990188,7.100000,5.000000,0.000000,0.000000,0.903686
0.020000,7.040724,3.069599,7.200000,5.000000,0.000000,0.000000,0.931424
0.020000,7.099283,3.150655,7.300000,5.000000,0.000000,0.000000,0.958815
0.020000,7.155618,3.233273,7.400000,5.000000,0.000000,0.000000,0.985797
0.020000,7.209723,3.317368,7.500000,5.000000,0.000000,0.000000,1.012313
0.020000,7.261601,3.402856,7.600000,5.000000,0.000000,0.000000,1.038315
0.020000,7.311262,3.489650,7.700000,5.000000,0.000000,0.000000,1.063760
0.020000,7.358725,3.577665,7.800000,5.000000,0.000000,0.000000,1.088612
0.020000,7.404014,3.666819,7.900000,5.000000,0.000000,0.000000,1.112844
0.020000,7.447158,3.757030,8.000000,5.000000,0.000000,0.000000,1.136434
0.020000,7.488192,3.848220,8.100000,5.000000,0.000000,0.000000,1.159366
0.020000,7.527156,3.940315,8.200000,5.000000,0.000000,0.000000,1.181631
0.020000,7.564090,4.033242,8.300000,5.000000,0.000000,0.000000,1.203225
0.020000,7.599041,4.126933,8.400000,5.000000,0.000000,0.000000,1.224146
0.020000,7.632056,4.221325,8.500000,5.000000,0.000000,0.000000,1.244400
0.020000,7.663184,4.316355,8.600000,5.000000,0.000000,0.000000,1.263994
0.020000,7.692475,4.411966,8.700000,5.000000,0.000000,0.000000,1.282937
0.020000,7.719981,4.508107,8.800000,5.000000,0.000000,0.000000,1.301242
0.020000,7.745753,4.604729,8.900000,5.000000,0.000000,0.000000,1.318926
0.020000,7.769717,4.701261,8.999462,4.946206,-2.689712,-134.485594,1.335912
0.020000,7.791693,4.796501,9.097207,4.828309,-5.894840,-160.256410,1.352037
0.020000,7.811660,4.889668,9.192491,4.700104,-6.410256,-25.770816,1.367230
0.020000,7.829751,4.980604,9.285211,4.571899,-6.410256,0.000000,1.381532
0.020000,7.846112,5.069262,9.375367,4.443694,-6.410256,-0.000000,1.394996
0.020000,7.860882,5.155602,9.462959,4.315488,-6.410256,0.000000,1.407674
0.020000,7.874187,5.239579,9.547987,4.187283,-6.410256,-0.000000,1.419611
0.020000,7.886146,5.321170,9.630450,4.059078,-6.410256,0.000000,1.430853
0.020000,7.896870,5.400347,9.710350,3.930873,-6.410256,-0.000000,1.441440
0.020000,7.906462,5.477087,9.787685,3.802668,-6.410256,0.000000,1.451411
0.020000,7.915017,5.551365,9.862457,3.674463,-6.410256,-0.000000,1.460800
0.020000,7.922625,5.623169,9.934664,3.546258,-6.410256,0.000000,1.469639
0.020000,7.929368,5.692486,10.004307,3.418053,-6.410256,0.000000,1.477959
0.020000,7.935324,5.759301,10.071386,3.289847,-6.410256,0.000000,1.485788
0.020000,7.940564,5.823601,10.135901,3.161642,-6.410256,-0.000000,1.493151
0.020000,7.945155,5.885380,10.197852,3.033437,-6.410256,0.000000,1.500072
0.020000,7.949159,5.944632,10.257238,2.905232,-6.410256,0.000000,1.506572
0.020000,7.952632,6.001348,10.314061,2.777027,-6.410256,0.000000,1.512672
0.020000,7.955629,6.055527,10.368319,2.648822,-6.410256,0.000000,1.518390
0.020000,7.958198,6.107154,10.420014,2.520617,-6.410256,-0.000000,1.523743
0.020000,7.960386,6.156235,10.469144,2.392412,-6.410256,-0.000000,1.528747
