dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.356994,0.265058,0.000650,0.064982,3.249116,162.455807,6.283062
0.020000,0.357023,0.265058,0.000679,0.001470,-3.175632,-321.237420,6.283091
0.020000,0.357083,0.265058,0.000738,0.002958,0.074440,162.503604,6.283150
0.020000,0.361930,0.265058,0.005586,0.242393,11.971741,594.865058,0.000055
0.020000,0.372449,0.265059,0.016105,0.525929,14.176763,110.251081,0.000176
0.020000,0.385600,0.265062,0.029256,0.657557,6.581414,-379.767446,0.000331
0.020000,0.401386,0.265069,0.045041,0.789276,6.585975,0.228049,0.000521
0.020000,0.419808,0.265081,0.063464,0.921121,6.592229,0.312711,0.000748
0.020000,0.440870,0.265099,0.084526,1.053091,6.598498,0.313455,0.001016
0.020000,0.464574,0.265127,0.108230,1.185224,6.606677,0.408942,0.001326
0.020000,0.490925,0.265167,0.134581,1.317532,6.615388,0.435542,0.001684
0.020000,0.519925,0.265221,0.163581,1.450023,6.624562,0.458725,0.002092
0.020000,0.551580,0.265295,0.195236,1.582758,6.636740,0.608888,0.002556
0.020000,0.585894,0.265392,0.229551,1.715709,6.647518,0.538892,0.003079
0.020000,0.622873,0.265516,0.266529,1.848920,6.660576,0.652915,0.003668
0.020000,0.662521,0.265675,0.306178,1.982423,6.675141,0.728268,0.004327
0.020000,0.704845,0.265873,0.348502,2.116218,6.689752,0.730513,0.005062
0.020000,0.749851,0.266119,0.393509,2.250353,6.706759,0.850381,0.005881
0.020000,0.797547,0.266421,0.441205,2.384826,6.723630,0.843542,0.006791
0.020000,0.847939,0.266789,0.491599,2.519683,6.742850,0.960996,0.007798
0.020000,0.901036,0.267232,0.544698,2.654944,6.763052,1.010113,0.008911
0.020000,0.956846,0.267763,0.600511,2.790628,6.784236,1.059191,0.010138
0.020000,1.015378,0.268396,0.659046,2.926770,6.807068,1.141613,0.011489
0.020000,1.076641,0.269145,0.720314,3.063397,6.831363,1.214729,0.012973
0.020000,1.140646,0.270027,0.784325,3.200552,6.857751,1.319396,0.014601
0.020000,1.207403,0.271061,0.851090,3.338246,6.884683,1.346589,0.016384
0.020000,1.276924,0.272267,0.920621,3.476551,6.915270,1.529358,0.018333
0.020000,1.349220,0.273669,0.992930,3.615472,6.946027,1.537854,0.020462
0.020000,1.424303,0.275292,1.068032,3.755070,6.979891,1.693227,0.022783
0.020000,1.502188,0.277165,1.145939,3.895356,7.014331,1.721997,0.025311
0.020000,1.582888,0.279318,1.226667,4.036421,7.053231,1.944972,0.028060
0.020000,1.666418,0.281786,1.310233,4.178309,7.094393,2.058090,0.031048
0.020000,1.752792,0.284608,1.396654,4.321046,7.136846,2.122646,0.034292
0.020000,1.842029,0.287825,1.485949,4.464725,7.183984,2.356905,0.037810
0.020000,1.934144,0.291484,1.578137,4.609392,7.233325,2.467088,0.041622
0.020000,2.029156,0.295636,1.673239,4.755141,7.287451,2.706286,0.045749
0.020000,2.127084,0.300336,1.771280,4.902014,7.343639,2.809422,0.050215
0.020000,2.227947,0.305648,1.872283,5.050171,7.407865,3.211287,0.055045
0.020000,2.331767,0.311638,1.976275,5.199618,7.472335,3.223485,0.060264
0.020000,2.438565,0.318381,2.083286,5.350510,7.544619,3.614225,0.065902
0.020000,2.548363,0.325961,2.193345,5.502963,7.622660,3.902046,0.071990
0.020000,2.661184,0.334466,2.306487,5.657083,7.705988,4.166385,0.078561
0.020000,2.777054,0.343998,2.422748,5.813050,7.798360,4.618598,0.085652
0.020000,2.895996,0.354666,2.542168,5.971007,7.897851,4.974537,0.093302
0.020000,3.018036,0.366589,2.664788,6.131026,8.000926,5.153755,0.101554
0.020000,3.143199,0.379902,2.790657,6.293459,8.121665,6.036967,0.110456
0.020000,3.271510,0.394752,2.919825,6.458376,8.245867,6.210079,0.120056
0.020000,3.402995,0.411299,3.052347,6.626088,8.385590,6.986153,0.130411
0.020000,3.537675,0.429722,3.188282,6.796748,8.533017,7.371373,0.141581
0.020000,3.675574,0.450219,3.327695,6.970684,8.696764,8.187322,0.153630
0.020000,3.816709,0.473006,3.470658,7.148142,8.872899,8.806763,0.166630
