dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.379217,26.494896,0.000625,0.062500,3.125000,156.250000,6.282266
0.020000,1.379063,26.494896,0.000779,0.007714,-2.739299,-293.214972,6.282420
0.020000,1.378755,26.494896,0.001087,0.015403,0.384450,156.187475,6.282729
0.020000,1.378361,26.494896,0.001482,0.019729,0.216293,-8.407870,0.000004
0.020000,1.387748,26.494899,0.010869,0.469355,22.481326,1113.251681,0.000616
0.020000,1.399487,26.494911,0.022608,0.586947,5.879569,-830.087863,0.001377
0.020000,1.413579,26.494936,0.036701,0.704636,5.884457,0.244401,0.002284
0.020000,1.430029,26.494983,0.053150,0.822477,5.892056,0.379923,0.003335
0.020000,1.448251,26.495054,0.071373,0.911121,4.432190,-72.993255,0.004488
0.020000,1.467072,26.495149,0.090194,0.941073,1.497602,-146.729434,0.005667
0.020000,1.485903,26.495267,0.109026,0.941578,0.025273,-73.616453,0.006834
0.020000,1.504746,26.495407,0.127869,0.942165,0.029337,0.203234,0.007991
0.020000,1.523600,26.495568,0.146724,0.942748,0.029153,-0.009209,0.009137
0.020000,1.542465,26.495751,0.165589,0.943260,0.025617,-0.176826,0.010271
0.020000,1.561340,26.495956,0.184465,0.943800,0.026971,0.067697,0.011395
0.020000,1.580226,26.496182,0.203353,0.944373,0.028664,0.084688,0.012508
0.020000,1.599123,26.496429,0.222251,0.944940,0.028319,-0.017293,0.013610
0.020000,1.618029,26.496696,0.241160,0.945408,0.023426,-0.244601,0.014701
0.020000,1.636946,26.496985,0.260079,0.945972,0.028190,0.238194,0.015781
0.020000,1.655875,26.497293,0.279010,0.946532,0.028017,-0.008659,0.016851
0.020000,1.674813,26.497623,0.297951,0.947051,0.025955,-0.103089,0.017910
0.020000,1.693760,26.497972,0.316902,0.947545,0.024689,-0.063298,0.018959
0.020000,1.712719,26.498341,0.335863,0.948096,0.027563,0.143656,0.019997
0.020000,1.731688,26.498730,0.354836,0.948644,0.027396,-0.008351,0.021024
0.020000,1.750666,26.499139,0.373819,0.949123,0.023919,-0.173843,0.022042
0.020000,1.769654,26.499567,0.392812,0.949636,0.025677,0.087894,0.023049
0.020000,1.788652,26.500015,0.411815,0.950175,0.026960,0.064173,0.024045
0.020000,1.807660,26.500481,0.430829,0.950711,0.026799,-0.008046,0.025032
0.020000,1.826677,26.500967,0.449852,0.951155,0.022189,-0.230498,0.026008
0.020000,1.845704,26.501471,0.468886,0.951683,0.026406,0.210844,0.026974
0.020000,1.864741,26.501994,0.487930,0.952211,0.026382,-0.001183,0.027930
0.020000,1.883788,26.502535,0.506985,0.952717,0.025310,-0.053598,0.028876
0.020000,1.902843,26.503094,0.526048,0.953169,0.022581,-0.136468,0.029812
0.020000,1.921908,26.503672,0.545122,0.953688,0.025980,0.169925,0.030738
0.020000,1.940983,26.504267,0.564206,0.954205,0.025829,-0.007519,0.031655
0.020000,1.960067,26.504880,0.583300,0.954684,0.023957,-0.093602,0.032561
0.020000,1.979159,26.505510,0.602402,0.955144,0.023018,-0.046969,0.033458
0.020000,1.998261,26.506158,0.621515,0.955653,0.025444,0.121339,0.034345
0.020000,2.017373,26.506823,0.640639,0.956159,0.025300,-0.007226,0.035222
0.020000,2.036493,26.507505,0.659771,0.956616,0.022851,-0.122431,0.036090
0.020000,2.055622,26.508204,0.678913,0.957081,0.023253,0.020099,0.036948
0.020000,2.074760,26.508920,0.698064,0.957580,0.024933,0.083990,0.037796
