dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.134440,3.165454,0.000625,0.062500,3.125000,156.250000,6.282802
0.020000,0.134329,3.165454,0.000736,0.005558,-2.847089,-298.604463,6.282913
0.020000,0.134106,3.165454,0.000959,0.011120,0.278065,156.257736,6.283135
0.020000,0.140149,3.165455,0.007001,0.302117,14.549863,713.589865,0.000284
0.020000,0.149703,3.165459,0.016556,0.477732,8.780784,-288.453939,0.000729
0.020000,0.161646,3.165472,0.028498,0.597138,5.970292,-140.524581,0.001286
0.020000,0.175977,3.165495,0.042829,0.716531,5.969611,-0.034077,0.001956
0.020000,0.192695,3.165534,0.059547,0.835897,5.968317,-0.064681,0.002738
0.020000,0.211202,3.165593,0.078055,0.925387,4.474525,-74.689627,0.003605
0.020000,0.230305,3.165670,0.097158,0.955162,1.488734,-149.289544,0.004502
0.020000,0.249407,3.165765,0.116260,0.955088,-0.003726,-74.622999,0.005400
0.020000,0.268507,3.165876,0.135360,0.955015,-0.003646,0.004033,0.006300
0.020000,0.287605,3.166005,0.154459,0.954937,-0.003876,-0.011534,0.007201
0.020000,0.306702,3.166151,0.173556,0.954860,-0.003878,-0.000069,0.008104
0.020000,0.325797,3.166315,0.192651,0.954782,-0.003879,-0.000067,0.009008
0.020000,0.344890,3.166495,0.211746,0.954704,-0.003880,-0.000064,0.009914
0.020000,0.363982,3.166693,0.230838,0.954630,-0.003736,0.007206,0.010821
0.020000,0.383071,3.166909,0.249929,0.954557,-0.003653,0.004160,0.011730
0.020000,0.402160,3.167141,0.269019,0.954479,-0.003885,-0.011589,0.012641
0.020000,0.421246,3.167391,0.288107,0.954401,-0.003886,-0.000055,0.013553
0.020000,0.440331,3.167659,0.307193,0.954323,-0.003887,-0.000053,0.014466
0.020000,0.459413,3.167943,0.326278,0.954246,-0.003888,-0.000050,0.015381
0.020000,0.478494,3.168246,0.345362,0.954172,-0.003707,0.009050,0.016298
0.020000,0.497574,3.168565,0.364444,0.954098,-0.003697,0.000497,0.017216
0.020000,0.516651,3.168903,0.383524,0.954020,-0.003892,-0.009734,0.018136
0.020000,0.535727,3.169257,0.402603,0.953942,-0.003892,-0.000041,0.019057
0.020000,0.554800,3.169630,0.421680,0.953864,-0.003893,-0.000038,0.019979
0.020000,0.573872,3.170020,0.440756,0.953786,-0.003894,-0.000035,0.020904
0.020000,0.592942,3.170427,0.459830,0.953713,-0.003641,0.012651,0.021829
0.020000,0.612010,3.170852,0.478903,0.953638,-0.003775,-0.006708,0.022757
0.020000,0.631076,3.171295,0.497974,0.953560,-0.003897,-0.006091,0.023686
0.020000,0.650140,3.171756,0.517044,0.953482,-0.003897,-0.000025,0.024616
0.020000,0.669202,3.172234,0.536112,0.953404,-0.003898,-0.000023,0.025548
0.020000,0.688262,3.172730,0.555178,0.953326,-0.003898,-0.000020,0.026481
0.020000,0.707320,3.173244,0.574243,0.953255,-0.003541,0.017879,0.027416
0.020000,0.726377,3.173775,0.593307,0.953178,-0.003884,-0.017195,0.028353
0.020000,0.745431,3.174324,0.612369,0.953100,-0.003900,-0.000791,0.029291
0.020000,0.764483,3.174892,0.631429,0.953022,-0.003901,-0.000010,0.030230
0.020000,0.783533,3.175477,0.650488,0.952944,-0.003901,-0.000007,0.031171
0.020000,0.802580,3.176079,0.669546,0.952868,-0.003780,0.006024,0.032114
0.020000,0.821626,3.176700,0.688602,0.952795,-0.003650,0.006515,0.033058
0.020000,0.840670,3.177339,0.707656,0.952717,-0.003902,-0.012612,0.034004
0.020000,0.859711,3.177996,0.726709,0.952639,-0.003902,0.000004,0.034951
0.020000,0.878750,3.178671,0.745760,0.952561,-0.003902,0.000007,0.035900
0.020000,0.897788,3.179363,0.764810,0.952483,-0.003902,0.000010,0.036850
0.020000,0.916822,3.180074,0.783858,0.952410,-0.003617,0.014231,0.037802
0.020000,0.935855,3.180803,0.802904,0.952334,-0.003817,-0.009985,0.038755
0.020000,0.954886,3.181550,0.821950,0.952256,-0.003902,-0.004276,0.039710
0.020000,0.973914,3.182315,0.840993,0.952178,-0.003902,0.000021,0.040666
0.020000,0.992940,3.183099,0.860035,0.952100,-0.003901,0.000024,0.041624
0.020000,1.011963,3.183900,0.879076,0.952024,-0.003795,0.005326,0.042584
0.020000,1.030985,3.184720,0.898115,0.951951,-0.003639,0.007782,0.043545
0.020000,1.050004,3.185557,0.917152,0.951873,-0.003901,-0.013099,0.044508
0.020000,1.069020,3.186414,0.936188,0.951795,-0.003901,0.000035,0.045472
0.020000,1.088035,3.187288,0.955222,0.951717,-0.003900,0.000039,0.046437
0.020000,1.107046,3.188181,0.974255,0.951639,-0.003899,0.000042,0.047404
0.020000,1.126056,3.189092,0.993286,0.951568,-0.003578,0.016062,0.048373
0.020000,1.145063,3.190021,1.012316,0.951491,-0.003854,-0.013832,0.049343
0.020000,1.164068,3.190969,1.031345,0.951413,-0.003898,-0.002174,0.050315
0.020000,1.183070,3.191935,1.050371,0.951335,-0.003897,0.000054,0.051288
0.020000,1.202070,3.192920,1.069396,0.951257,-0.003896,0.000057,0.052263
0.020000,1.221067,3.193923,1.088420,0.951183,-0.003701,0.009750,0.053240
0.020000,1.240061,3.194944,1.107442,0.951108,-0.003727,-0.001298,0.054217
0.020000,1.259054,3.195984,1.126463,0.951030,-0.003894,-0.008356,0.055197
0.020000,1.278043,3.197043,1.145482,0.950953,-0.003892,0.000069,0.056178
0.020000,1.297030,3.198120,1.164499,0.950875,-0.003891,0.000073,0.057160
0.020000,1.316015,3.199216,1.183515,0.950799,-0.003797,0.004673,0.058144
0.020000,1.334996,3.200330,1.202530,0.950726,-0.003622,0.008745,0.059130
0.020000,1.353976,3.201463,1.221543,0.950649,-0.003888,-0.013281,0.060117
0.020000,1.372952,3.202615,1.240554,0.950571,-0.003886,0.000085,0.061105
0.020000,1.391926,3.203785,1.259564,0.950493,-0.003885,0.000089,0.062095
0.020000,1.410897,3.204974,1.278572,0.950416,-0.003869,0.000758,0.063087
0.020000,1.429865,3.206182,1.297579,0.950345,-0.003541,0.016443,0.064080
0.020000,1.448831,3.207408,1.316585,0.950267,-0.003881,-0.017021,0.065075
0.020000,1.467794,3.208653,1.335588,0.950190,-0.003879,0.000101,0.066071
0.020000,1.486754,3.209917,1.354591,0.950112,-0.003877,0.000105,0.067069
0.020000,1.505712,3.211200,1.373591,0.950035,-0.003875,0.000109,0.068068
0.020000,1.524666,3.212502,1.392591,0.949963,-0.003566,0.015410,0.069069
0.020000,1.543618,3.213822,1.411588,0.949887,-0.003829,-0.013117,0.070071
0.020000,1.562567,3.215162,1.430585,0.949809,-0.003870,-0.002059,0.071075
0.020000,1.581513,3.216520,1.449579,0.949732,-0.003868,0.000122,0.072080
0.020000,1.600456,3.217898,1.468572,0.949655,-0.003865,0.000126,0.073087
0.020000,1.619396,3.219294,1.487564,0.949583,-0.003598,0.013368,0.074096
0.020000,1.638334,3.220709,1.506554,0.949507,-0.003782,-0.009214,0.075105
0.020000,1.657268,3.222144,1.525543,0.949430,-0.003859,-0.003875,0.076117
0.020000,1.676199,3.223597,1.544530,0.949353,-0.003857,0.000139,0.077130
0.020000,1.695128,3.225070,1.563515,0.949276,-0.003854,0.000143,0.078144
0.020000,1.714053,3.226561,1.582499,0.949204,-0.003609,0.012236,0.079160
0.020000,1.732975,3.228072,1.601482,0.949129,-0.003752,-0.007154,0.080178
0.020000,1.751895,3.229602,1.620463,0.949052,-0.003847,-0.004756,0.081197
0.020000,1.770811,3.231151,1.639442,0.948975,-0.003844,0.000157,0.082217
0.020000,1.789724,3.232719,1.658420,0.948898,-0.003841,0.000161,0.083239
0.020000,1.808634,3.234307,1.677397,0.948826,-0.003602,0.011936,0.084263
0.020000,1.827541,3.235913,1.696372,0.948751,-0.003738,-0.006780,0.085288
0.020000,1.846444,3.237539,1.715345,0.948674,-0.003833,-0.004782,0.086314
0.020000,1.865345,3.239184,1.734317,0.948598,-0.003830,0.000175,0.087342
0.020000,1.884242,3.240849,1.753288,0.948521,-0.003826,0.000179,0.088372
0.020000,1.903136,3.242533,1.772257,0.948450,-0.003579,0.012388,0.089403
0.020000,1.922027,3.244236,1.791224,0.948375,-0.003737,-0.007933,0.090435
0.020000,1.940915,3.245959,1.810190,0.948299,-0.003818,-0.004031,0.091469
0.020000,1.959799,3.247701,1.829155,0.948222,-0.003814,0.000194,0.092505
0.020000,1.978680,3.249462,1.848118,0.948146,-0.003810,0.000198,0.093542
0.020000,1.997558,3.251243,1.867079,0.948075,-0.003540,0.013510,0.094580
0.020000,2.016432,3.253044,1.886039,0.948000,-0.003749,-0.010450,0.095620
0.020000,2.035303,3.254863,1.904998,0.947924,-0.003801,-0.002586,0.096662
