dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.133673,1.165454,0.000625,0.062500,3.125000,156.250000,6.282802
0.020000,0.133784,1.165454,0.000736,0.005558,-2.847089,-298.604463,6.282913
0.020000,0.134006,1.165454,0.000959,0.011120,0.278065,156.257736,6.283135
0.020000,0.140716,1.165455,0.007668,0.335492,16.218639,797.028679,0.000284
0.020000,0.151162,1.165460,0.018114,0.522266,9.338670,-343.998446,0.000729
0.020000,0.164219,1.165473,0.031171,0.652858,6.529631,-140.451970,0.001286
0.020000,0.179888,1.165499,0.046840,0.783473,6.530753,0.056130,0.001956
0.020000,0.198170,1.165541,0.065122,0.914105,6.531581,0.041398,0.002738
0.020000,0.218412,1.165606,0.085365,1.012111,4.900290,-81.564566,0.003605
0.020000,0.239309,1.165690,0.106261,1.044833,1.636103,-163.209342,0.004502
0.020000,0.260207,1.165794,0.127160,1.044911,0.003904,-81.609975,0.005400
0.020000,0.281106,1.165916,0.148059,1.044991,0.003995,0.004561,0.006300
0.020000,0.302007,1.166057,0.168961,1.045066,0.003745,-0.012477,0.007201
0.020000,0.322909,1.166217,0.189863,1.045141,0.003747,0.000061,0.008104
0.020000,0.343813,1.166396,0.210768,1.045216,0.003748,0.000060,0.009008
0.020000,0.364718,1.166594,0.231674,1.045291,0.003749,0.000058,0.009914
0.020000,0.385624,1.166811,0.252581,1.045369,0.003909,0.008015,0.010821
0.020000,0.406532,1.167046,0.273490,1.045449,0.004003,0.004680,0.011730
0.020000,0.427441,1.167301,0.294400,1.045524,0.003751,-0.012574,0.012641
0.020000,0.448351,1.167575,0.315312,1.045599,0.003752,0.000051,0.013553
0.020000,0.469262,1.167868,0.336226,1.045674,0.003753,0.000050,0.014466
0.020000,0.490175,1.168180,0.357141,1.045749,0.003754,0.000048,0.015381
0.020000,0.511089,1.168511,0.378057,1.045828,0.003955,0.010019,0.016298
0.020000,0.532004,1.168862,0.398976,1.045908,0.003968,0.000644,0.017216
0.020000,0.552920,1.169232,0.419895,1.045983,0.003756,-0.010578,0.018136
0.020000,0.573838,1.169621,0.440816,1.046058,0.003757,0.000041,0.019057
0.020000,0.594757,1.170029,0.461739,1.046133,0.003758,0.000039,0.019979
0.020000,0.615676,1.170457,0.482663,1.046208,0.003758,0.000038,0.020904
0.020000,0.636597,1.170904,0.503589,1.046289,0.004037,0.013952,0.021829
0.020000,0.657519,1.171370,0.524516,1.046367,0.003892,-0.007287,0.022757
0.020000,0.678443,1.171856,0.545445,1.046442,0.003759,-0.006619,0.023686
0.020000,0.699367,1.172362,0.566376,1.046517,0.003760,0.000030,0.024616
0.020000,0.720292,1.172887,0.587307,1.046592,0.003760,0.000029,0.025548
0.020000,0.741218,1.173431,0.608241,1.046667,0.003761,0.000027,0.026481
0.020000,0.762146,1.173995,0.629176,1.046751,0.004155,0.019678,0.027416
0.020000,0.783074,1.174579,0.650112,1.046826,0.003778,-0.018838,0.028353
0.020000,0.804004,1.175182,0.671050,1.046901,0.003761,-0.000834,0.029291
0.020000,0.824934,1.175805,0.691990,1.046977,0.003761,0.000019,0.030230
0.020000,0.845865,1.176448,0.712931,1.047052,0.003762,0.000017,0.031171
0.020000,0.866797,1.177111,0.733873,1.047130,0.003895,0.006641,0.032114
0.020000,0.887730,1.177793,0.754818,1.047210,0.004038,0.007179,0.033058
0.020000,0.908664,1.178495,0.775763,1.047286,0.003761,-0.013848,0.034004
0.020000,0.929599,1.179217,0.796711,1.047361,0.003761,0.000009,0.034951
0.020000,0.950534,1.179959,0.817659,1.047436,0.003762,0.000008,0.035900
0.020000,0.971471,1.180721,0.838610,1.047511,0.003762,0.000006,0.036850
0.020000,0.992408,1.181503,0.859561,1.047593,0.004075,0.015645,0.037802
