dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.211140,25.331383,0.000625,0.062500,3.125000,156.250000,6.277173
0.020000,0.204532,25.331401,0.007233,0.330402,13.395087,513.504352,0.000932
0.020000,0.195790,25.331333,0.015976,0.437146,5.337227,-402.892991,0.014676
0.020000,0.183075,25.331018,0.028694,0.635922,9.938806,230.078939,0.034894
0.020000,0.166884,25.330241,0.044904,0.810484,8.728061,-60.537231,0.061104
0.020000,0.147901,25.328780,0.063944,0.951981,7.074879,-82.659119,0.092644
0.020000,0.126979,25.326458,0.084994,1.052526,5.027214,-102.383232,0.128696
0.020000,0.105116,25.323191,0.107099,1.105260,2.636707,-119.525370,0.168302
0.020000,0.084018,25.319166,0.128578,1.073929,-1.566554,-210.163030,0.209157
0.020000,0.065489,25.314859,0.147601,0.951146,-6.139143,-228.629460,0.248182
0.020000,0.050034,25.310650,0.163619,0.800886,-7.512963,-68.691028,0.284200
0.020000,0.037399,25.306735,0.176847,0.661411,-6.973751,26.960622,0.317429
0.020000,0.027325,25.303258,0.187503,0.532829,-6.429108,27.232170,0.348086
0.020000,0.019564,25.300321,0.195802,0.414909,-5.896009,26.654916,0.376384
0.020000,0.013879,25.297991,0.201946,0.307225,-5.384224,25.589277,0.402529
0.020000,0.010050,25.296309,0.206127,0.209059,-4.908276,23.797388,0.426710
0.020000,0.007882,25.295297,0.208521,0.119673,-4.469312,21.948209,0.449104
0.020000,0.007194,25.294960,0.209287,0.038312,-4.068056,20.062783,0.469869
0.020000,0.007827,25.295292,0.210002,0.035763,-0.127437,197.030952,0.489154
0.020000,0.009641,25.296280,0.212068,0.103265,3.375097,175.126716,0.507089
0.020000,0.012508,25.297907,0.215364,0.164837,3.078578,-14.825967,0.523792
0.020000,0.016319,25.300150,0.219786,0.221089,2.812605,-13.298668,0.539370
0.020000,0.020975,25.302985,0.225237,0.272572,2.574173,-11.921592,0.553920
0.020000,0.026389,25.306387,0.231632,0.319726,2.357697,-10.823801,0.567525
0.020000,0.032486,25.310330,0.238893,0.363047,2.166052,-9.582220,0.580263
0.020000,0.039198,25.314789,0.246951,0.402906,1.992966,-8.654339,0.592205
0.020000,0.046466,25.319739,0.255744,0.439647,1.837055,-7.795543,0.603412
0.020000,0.054236,25.325156,0.265216,0.473583,1.696756,-7.014936,0.613940
0.020000,0.062461,25.331016,0.275315,0.504990,1.570391,-6.318252,0.623841
0.020000,0.071102,25.337297,0.285998,0.534119,1.456449,-5.697075,0.633159
0.020000,0.080121,25.343978,0.297222,0.561191,1.353580,-5.143486,0.641935
0.020000,0.089484,25.351039,0.308949,0.586354,1.258156,-4.771163,0.650208
0.020000,0.099163,25.358461,0.321146,0.609858,1.175220,-4.146798,0.658010
0.020000,0.109132,25.366227,0.333783,0.631847,1.099422,-3.789940,0.665374
0.020000,0.119369,25.374318,0.346831,0.652410,1.028173,-3.562440,0.672326
0.020000,0.129851,25.382720,0.360265,0.671688,0.963898,-3.213737,0.678891
0.020000,0.140562,25.391417,0.374062,0.689874,0.909271,-2.731357,0.685095
0.020000,0.151483,25.400396,0.388200,0.706895,0.851071,-2.909982,0.690956
0.020000,0.162602,25.409643,0.402662,0.723069,0.808688,-2.119172,0.696495
0.020000,0.173903,25.419145,0.417427,0.738247,0.758908,-2.489015,0.701730
0.020000,0.185376,25.428892,0.432481,0.752721,0.723712,-1.759779,0.706676
0.020000,0.197009,25.438872,0.447808,0.766359,0.681876,-2.091794,0.711348
0.020000,0.208793,25.449074,0.463396,0.779384,0.651247,-1.531442,0.715761
0.020000,0.220721,25.459491,0.479231,0.791773,0.619465,-1.589121,0.719926
0.020000,0.232783,25.470111,0.495302,0.803542,0.588433,-1.551578,0.723854
0.020000,0.244973,25.480927,0.511599,0.814842,0.565036,-1.169872,0.727558
0.020000,0.257285,25.491930,0.528112,0.825652,0.540495,-1.227036,0.731045
0.020000,0.269714,25.503113,0.544831,0.835957,0.515224,-1.263583,0.734326
0.020000,0.282254,25.514470,0.561749,0.845910,0.497665,-0.877921,0.737407
0.020000,0.294902,25.525992,0.578859,0.855483,0.478655,-0.950511,0.740298
0.020000,0.307654,25.537675,0.596153,0.864707,0.461210,-0.872264,0.743004
0.020000,0.320506,25.549511,0.613625,0.873585,0.443871,-0.866924,0.745532
0.020000,0.333455,25.561495,0.631269,0.882194,0.430438,-0.671666,0.747888
0.020000,0.346499,25.573623,0.649080,0.890542,0.417428,-0.650479,0.750077
0.020000,0.359636,25.585888,0.667053,0.898646,0.405178,-0.612534,0.752104
0.020000,0.372864,25.598287,0.685183,0.906526,0.394019,-0.557931,0.753974
0.020000,0.386182,25.610815,0.703467,0.914204,0.383885,-0.506696,0.755690
0.020000,0.399588,25.623468,0.721901,0.921691,0.374380,-0.475235,0.757256
0.020000,0.413081,25.636241,0.740481,0.929015,0.366191,-0.409473,0.758676
0.020000,0.426662,25.649131,0.759205,0.936200,0.359217,-0.348710,0.759952
0.020000,0.440329,25.662135,0.778070,0.943252,0.352630,-0.329353,0.761087
0.020000,0.454083,25.675249,0.797074,0.950189,0.346828,-0.290084,0.762083
0.020000,0.467923,25.688470,0.816215,0.957024,0.341780,-0.252420,0.762943
0.020000,0.481851,25.701796,0.835490,0.963773,0.337457,-0.216141,0.763667
0.020000,0.495866,25.715223,0.854899,0.970450,0.333836,-0.181037,0.764258
0.020000,0.509969,25.728749,0.874440,0.977068,0.330898,-0.146913,0.764717
0.020000,0.524162,25.742371,0.894113,0.983641,0.328626,-0.113584,0.765044
0.020000,0.538446,25.756088,0.913917,0.990181,0.327009,-0.080870,0.765241
0.020000,0.552822,25.769897,0.933851,0.996702,0.326037,-0.048601,0.765307
0.020000,0.567292,25.783797,0.953915,1.003216,0.325739,-0.014870,0.765242
0.020000,0.581858,25.797785,0.974110,1.009738,0.326092,0.017651,0.765048
0.020000,0.596522,25.811859,0.994436,1.016279,0.327040,0.047406,0.764722
0.020000,0.611287,25.826019,1.014893,1.022852,0.328633,0.079629,0.764265
0.020000,0.626154,25.840263,1.035482,1.029469,0.330877,0.112222,0.763676
0.020000,0.641127,25.854589,1.056205,1.036145,0.333784,0.145349,0.762953
0.020000,0.656209,25.868997,1.077063,1.042892,0.337368,0.179176,0.762095
0.020000,0.671404,25.883485,1.098057,1.049725,0.341645,0.213875,0.761101
0.020000,0.686714,25.898053,1.119190,1.056658,0.346638,0.249623,0.759968
0.020000,0.702144,25.912699,1.140464,1.063705,0.352370,0.286610,0.758693
0.020000,0.717697,25.927423,1.161882,1.070883,0.358871,0.325031,0.757276
0.020000,0.733380,25.942224,1.183446,1.078214,0.366539,0.383396,0.755711
0.020000,0.749196,25.957102,1.205161,1.085715,0.375082,0.427186,0.753997
0.020000,0.765150,25.972057,1.227028,1.093387,0.383613,0.426540,0.752130
0.020000,0.781249,25.987089,1.249054,1.101259,0.393597,0.499206,0.750105
0.020000,0.797498,26.002196,1.271241,1.109351,0.404566,0.548437,0.747918
0.020000,0.813903,26.017380,1.293594,1.117682,0.416579,0.600637,0.745564
0.020000,0.830472,26.032641,1.316120,1.126282,0.429991,0.670633,0.743038
0.020000,0.847212,26.047978,1.338824,1.135211,0.446429,0.821896,0.740334
0.020000,0.864131,26.063393,1.361712,1.144413,0.460116,0.684318,0.737446
0.020000,0.881238,26.078885,1.384791,1.153955,0.477102,0.849305,0.734367
0.020000,0.898541,26.094456,1.408069,1.163866,0.495549,0.922384,0.731089
0.020000,0.916051,26.110106,1.431554,1.174261,0.519754,1.210222,0.727604
0.020000,0.933779,26.125837,1.455255,1.185030,0.538426,0.933612,0.723904
0.020000,0.951735,26.141648,1.479180,1.196264,0.561725,1.164952,0.719978
0.020000,0.969934,26.157542,1.503342,1.208105,0.592056,1.516538,0.715816
0.020000,0.988387,26.173520,1.527751,1.220464,0.617963,1.295351,0.711407
0.020000,1.007109,26.189582,1.552419,1.233411,0.647307,1.467186,0.706739
0.020000,1.026118,26.205733,1.577363,1.247165,0.687702,2.019744,0.701796
0.020000,1.045427,26.221971,1.602593,1.261493,0.716393,1.434586,0.696565
0.020000,1.065060,26.238301,1.628129,1.276798,0.765267,2.443688,0.691030
0.020000,1.085032,26.254722,1.653985,1.292809,0.800578,1.765554,0.685173
0.020000,1.105370,26.271238,1.680184,1.309980,0.858537,2.897970,0.678974
0.020000,1.126093,26.287851,1.706745,1.328017,0.901846,2.165419,0.672413
0.020000,1.147232,26.304563,1.733692,1.347353,0.966799,3.247678,0.665467
0.020000,1.168815,26.321376,1.761050,1.367905,1.027603,3.040191,0.658109
0.020000,1.190871,26.338291,1.788846,1.389801,1.094786,3.359118,0.650312
0.020000,1.213438,26.355312,1.817112,1.413289,1.174418,3.981599,0.642046
0.020000,1.236554,26.372440,1.845882,1.438522,1.261628,4.360518,0.633276
0.020000,1.260261,26.389676,1.875193,1.465534,1.350617,4.449469,0.623966
0.020000,1.284606,26.407022,1.905085,1.494617,1.454162,5.177242,0.614073
0.020000,1.309642,26.424477,1.935605,1.525987,1.568507,5.717235,0.603553
0.020000,1.335426,26.442040,1.966803,1.559885,1.694894,6.319366,0.592356
0.020000,1.362022,26.459711,1.998734,1.596580,1.834713,6.990950,0.580424
0.020000,1.389503,26.477485,2.031462,1.636370,1.989510,7.739864,0.567696
0.020000,1.417947,26.495355,2.065053,1.679594,2.161228,8.585879,0.554103
0.020000,1.447447,26.513315,2.099591,1.726872,2.363862,10.131698,0.539566
0.020000,1.478099,26.531350,2.135155,1.778195,2.566171,10.115447,0.524002
0.020000,1.510014,26.549443,2.171841,1.834324,2.806463,12.014605,0.507315
0.020000,1.543319,26.567569,2.209760,1.895924,3.079985,13.676093,0.489396
0.020000,1.578151,26.585695,2.249025,1.963280,3.367811,14.391328,0.470130
0.020000,1.614662,26.603776,2.289769,2.037166,3.694300,16.324424,0.449385
0.020000,1.653029,26.621757,2.332140,2.118585,4.070952,18.832578,0.427013
0.020000,1.693437,26.639561,2.376297,2.207814,4.461426,19.523740,0.402856
0.020000,1.736093,26.657088,2.422413,2.305820,4.900327,21.945038,0.376738
0.020000,1.781220,26.674212,2.470680,2.413326,5.375299,23.748605,0.348469
0.020000,1.829059,26.690772,2.521303,2.531173,5.892314,25.850766,0.317844
0.020000,1.879854,26.706559,2.574495,2.659620,6.422388,26.503698,0.284650
0.020000,1.933850,26.721314,2.630471,2.798788,6.958376,26.799382,0.248670
0.020000,1.991288,26.734718,2.689453,2.949073,7.514273,27.794864,0.209685
0.020000,2.052362,26.746380,2.751630,3.108871,7.989896,23.781109,0.167503
