dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.451455,2.032970,0.000641,0.064103,3.205128,160.256410,6.281682
0.020000,0.451108,2.032970,0.000989,0.017374,-2.336435,-277.078157,6.282029
0.020000,0.450413,2.032971,0.001683,0.034748,0.868704,160.256951,6.282724
0.020000,0.453662,2.032972,0.004933,0.162463,6.385760,275.852778,0.000582
0.020000,0.462528,2.032984,0.013798,0.443271,14.040382,382.731130,0.001972
0.020000,0.473608,2.033015,0.024879,0.554043,5.538591,-425.089546,0.003712
0.020000,0.486903,2.033078,0.038174,0.664748,5.535277,-0.165721,0.005802
0.020000,0.502411,2.033187,0.053682,0.775395,5.532345,-0.146592,0.008242
0.020000,0.520130,2.033358,0.071402,0.886000,5.530260,-0.104241,0.011035
0.020000,0.540060,2.033609,0.091333,0.996568,5.528390,-0.093533,0.014180
0.020000,0.562198,2.033962,0.113474,1.107052,5.524199,-0.209553,0.017681
0.020000,0.586543,2.034439,0.137824,1.217487,5.521766,-0.121609,0.021536
0.020000,0.613091,2.035067,0.164380,1.327791,5.515164,-0.330123,0.025749
0.020000,0.641841,2.035873,0.193141,1.438069,5.513916,-0.062375,0.030321
0.020000,0.672791,2.036888,0.224107,1.548310,5.512067,-0.092469,0.035253
0.020000,0.705937,2.038145,0.257277,1.658464,5.507678,-0.219471,0.040545
0.020000,0.741273,2.039679,0.292647,1.768512,5.502394,-0.264198,0.046200
0.020000,0.778800,2.041527,0.330219,1.878596,5.504232,0.091940,0.052218
0.020000,0.818511,2.043729,0.369991,1.988603,5.500319,-0.195676,0.058599
0.020000,0.860403,2.046329,0.411963,2.098615,5.500590,0.013536,0.065345
0.020000,0.904470,2.049370,0.456135,2.208611,5.499834,-0.037768,0.072455
0.020000,0.950708,2.052900,0.502508,2.318623,5.500580,0.037270,0.079929
0.020000,0.999111,2.056967,0.551082,2.428683,5.503010,0.121540,0.087765
0.020000,1.049673,2.061625,0.601858,2.538823,5.506991,0.199045,0.095963
0.020000,1.102389,2.066927,0.654839,2.649057,5.511730,0.236954,0.104519
0.020000,1.157251,2.072930,0.710029,2.759480,5.521120,0.469503,0.113432
0.020000,1.214252,2.079691,0.767430,2.870065,5.529233,0.405641,0.122698
0.020000,1.273386,2.087272,0.827047,2.980867,5.540107,0.543684,0.132310
0.020000,1.334645,2.095736,0.888888,3.092026,5.557990,0.894128,0.142265
0.020000,1.398018,2.105146,0.952957,3.203441,5.570749,0.637961,0.152555
0.020000,1.463500,2.115570,1.019263,3.315309,5.593397,1.132411,0.163171
0.020000,1.531081,2.127076,1.087816,3.427649,5.616971,1.178722,0.174105
0.020000,1.600750,2.139734,1.158626,3.540490,5.642052,1.254024,0.185346
0.020000,1.672499,2.153617,1.231705,3.653987,5.674841,1.639446,0.196881
0.020000,1.746317,2.168795,1.307068,3.768132,5.707287,1.622325,0.208698
0.020000,1.822194,2.185345,1.384729,3.883043,5.745537,1.912481,0.220780
0.020000,1.900120,2.203341,1.464705,3.998827,5.789188,2.182547,0.233111
0.020000,1.980082,2.222858,1.547015,4.115499,5.833615,2.221377,0.245672
0.020000,2.062071,2.243974,1.631680,4.233204,5.885244,2.581416,0.258443
0.020000,2.145536,2.266616,1.718161,4.324070,4.543295,-67.097458,0.271320
0.020000,2.229394,2.290524,1.805360,4.359979,1.795429,-137.393261,0.284120
0.020000,2.313106,2.315546,1.892732,4.368572,0.429678,-68.287570,0.296747
0.020000,2.396671,2.341669,1.980286,4.377696,0.456185,1.325343,0.309193
0.020000,2.480091,2.368883,2.068032,4.387291,0.479741,1.177836,0.321447
0.020000,2.563364,2.397173,2.155979,4.397370,0.503957,1.210759,0.333499
0.020000,2.646491,2.426526,2.244137,4.407875,0.525254,1.064884,0.345341
0.020000,2.729473,2.456927,2.332512,4.418781,0.545299,1.002212,0.356964
0.020000,2.812311,2.488361,2.421114,4.430076,0.564781,0.974116,0.368362
0.020000,2.895005,2.520813,2.509948,4.441699,0.581146,0.818259,0.379528
0.020000,2.977557,2.554267,2.599021,4.453653,0.597687,0.827050,0.390454
0.020000,3.059969,2.588704,2.688338,4.465881,0.611388,0.685031,0.401136
