dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.449952,1.032971,0.000641,0.064103,3.205128,160.256410,6.281682
0.020000,0.449952,1.032971,0.003205,0.192308,6.410256,160.256410,6.282029
0.020000,0.449952,1.032971,0.008333,0.320513,6.410256,-0.000000,6.282724
0.020000,0.454244,1.032972,0.016026,0.448718,6.410256,0.000000,0.000582
0.020000,0.464500,1.032985,0.026282,0.576923,6.410256,0.000000,0.001972
0.020000,0.477321,1.033022,0.039103,0.705128,6.410256,-0.000000,0.003712
0.020000,0.492705,1.033095,0.054487,0.833333,6.410256,0.000000,0.005802
0.020000,0.510653,1.033221,0.072436,0.961538,6.410256,0.000000,0.008242
0.020000,0.531165,1.033419,0.092949,1.089744,6.410256,0.000000,0.011035
0.020000,0.554240,1.033710,0.116026,1.217949,6.410256,-0.000000,0.014180
0.020000,0.579878,1.034118,0.141667,1.346154,6.410256,0.000000,0.017681
0.020000,0.608078,1.034671,0.169872,1.474359,6.410256,0.000000,0.021536
0.020000,0.638838,1.035399,0.200641,1.602564,6.410256,-0.000000,0.025749
0.020000,0.672158,1.036333,0.233974,1.730769,6.410256,0.000000,0.030321
0.020000,0.708036,1.037510,0.269872,1.858974,6.410256,0.000000,0.035253
0.020000,0.746471,1.038967,0.308333,1.987179,6.410256,-0.000000,0.040545
0.020000,0.787457,1.040746,0.349359,2.115385,6.410256,0.000000,0.046200
0.020000,0.830994,1.042890,0.392949,2.243590,6.410256,-0.000000,0.052218
0.020000,0.877077,1.045446,0.439103,2.371795,6.410256,0.000000,0.058599
0.020000,0.925701,1.048463,0.487821,2.500000,6.410256,0.000000,0.065345
0.020000,0.976862,1.051994,0.539103,2.628205,6.410256,0.000000,0.072455
0.020000,1.030552,1.056092,0.592949,2.756410,6.410256,0.000000,0.079929
0.020000,1.086764,1.060816,0.649359,2.884615,6.410256,-0.000000,0.087765
0.020000,1.145489,1.066226,0.708333,3.012821,6.410256,0.000000,0.095963
0.020000,1.206718,1.072385,0.769872,3.141026,6.410256,-0.000000,0.104519
0.020000,1.270440,1.079356,0.833974,3.269231,6.410256,0.000000,0.113432
0.020000,1.336642,1.087209,0.900641,3.397436,6.410256,0.000000,0.122698
0.020000,1.405310,1.096012,0.969872,3.525641,6.410256,-0.000000,0.132310
0.020000,1.476430,1.105838,1.041667,3.653846,6.410256,-0.000000,0.142265
0.020000,1.549982,1.116760,1.116026,3.782051,6.410256,0.000000,0.152555
0.020000,1.625948,1.128853,1.192949,3.910256,6.410256,0.000000,0.163171
0.020000,1.704307,1.142194,1.272436,4.038462,6.410256,0.000000,0.174105
0.020000,1.785036,1.156862,1.354487,4.166667,6.410256,0.000000,0.185346
0.020000,1.868111,1.172935,1.439103,4.294872,6.410256,-0.000000,0.196881
0.020000,1.953503,1.190494,1.526282,4.423077,6.410256,0.000000,0.208698
0.020000,2.041185,1.209618,1.616026,4.551282,6.410256,-0.000000,0.220780
