dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000004,0.000400,0.020000,1.000000,6.282187
0.020000,0.000000,0.000000,0.000020,0.001200,0.040000,1.000000,6.282187
0.020000,0.000000,0.000000,0.000056,0.002400,0.060000,1.000000,6.282189
0.020000,0.000000,0.000000,0.000120,0.004000,0.080000,1.000000,6.282192
0.020000,0.000000,0.000000,0.000220,0.006000,0.100000,1.000000,6.282197
0.020000,0.000000,0.000000,0.000364,0.008400,0.120000,1.000000,6.282204
0.020000,0.000000,0.000000,0.000560,0.011200,0.140000,1.000000,6.282214
0.020000,0.000000,0.000000,0.000816,0.014400,0.160000,1.000000,6.282227
0.020000,0.000000,0.000000,0.001140,0.018000,0.180000,1.000000,6.282243
0.020000,0.000000,0.000000,0.001540,0.022000,0.200000,1.000000,6.282263
0.020000,0.000000,0.000000,0.002024,0.026400,0.220000,1.000000,6.282287
0.020000,0.000000,0.000000,0.002600,0.031200,0.240000,1.000000,6.282316
0.020000,0.000000,0.000000,0.003276,0.036400,0.260000,1.000000,6.282350
0.020000,0.000000,0.000000,0.004060,0.042000,0.280000,1.000000,6.282389
0.020000,0.000000,0.000000,0.004960,0.048000,0.300000,1.000000,6.282434
0.020000,0.000000,0.000000,0.005984,0.054400,0.320000,1.000000,6.282485
0.020000,0.000000,0.000000,0.007140,0.061200,0.340000,1.000000,6.282543
0.020000,0.000000,0.000000,0.008436,0.068400,0.360000,1.000000,6.282607
0.020000,0.000000,0.000000,0.009880,0.076000,0.380000,1.000000,6.282680
0.020000,0.000000,0.000000,0.011480,0.084000,0.400000,1.000000,6.282759
0.020000,0.000000,0.000000,0.013244,0.092400,0.420000,1.000000,6.282848
0.020000,0.000000,0.000000,0.015180,0.101200,0.440000,1.000000,6.282944
0.020000,0.000000,0.000000,0.017296,0.110400,0.460000,1.000000,6.283050
0.020000,0.000000,0.000000,0.019600,0.120000,0.480000,1.000000,6.283165
0.020000,0.002101,0.000000,0.022100,0.130000,0.500000,1.000000,0.000105
0.020000,0.004806,0.000001,0.024804,0.140400,0.520000,1.000000,0.000240
0.020000,0.007722,0.000001,0.027720,0.151200,0.540000,1.000000,0.000386
0.020000,0.010858,0.000003,0.030856,0.162400,0.560000,1.000000,0.000543
0.020000,0.014222,0.000005,0.034220,0.174000,0.580000,1.000000,0.000712
0.020000,0.017821,0.000008,0.037820,0.186000,0.600000,1.000000,0.000892
0.020000,0.021665,0.000012,0.041664,0.198400,0.620000,1.000000,0.001085
0.020000,0.025762,0.000017,0.045760,0.211200,0.640000,1.000000,0.001291
0.020000,0.030118,0.000023,0.050116,0.224400,0.660000,1.000000,0.001509
0.020000,0.034742,0.000030,0.054740,0.238000,0.680000,1.000000,0.001742
0.020000,0.039640,0.000039,0.059640,0.252000,0.700000,1.000000,0.001988
0.020000,0.044826,0.000050,0.064824,0.266400,0.720000,1.000000,0.002249
0.020000,0.050302,0.000063,0.070300,0.281200,0.740000,1.000000,0.002525
0.020000,0.056077,0.000079,0.076076,0.296400,0.760000,1.000000,0.002816
0.020000,0.062161,0.000097,0.082160,0.312000,0.780000,1.000000,0.003123
0.020000,0.068562,0.000118,0.088560,0.328000,0.800000,1.000000,0.003446
0.020000,0.075286,0.000142,0.095284,0.344400,0.820000,1.000000,0.003786
0.020000,0.082341,0.000170,0.102340,0.361200,0.840000,1.000000,0.004143
0.020000,0.089738,0.000202,0.109736,0.378400,0.860000,1.000000,0.004517
0.020000,0.097481,0.000239,0.117480,0.396000,0.880000,1.000000,0.004910
0.020000,0.105582,0.000280,0.125580,0.414000,0.900000,1.000000,0.005321
0.020000,0.114045,0.000327,0.134044,0.432400,0.920000,1.000000,0.005751
0.020000,0.122881,0.000380,0.142880,0.451200,0.940000,1.000000,0.006201
0.020000,0.132097,0.000439,0.152096,0.470400,0.960000,1.000000,0.006671
0.020000,0.141700,0.000506,0.161700,0.490000,0.980000,1.000000,0.007161
0.020000,0.151701,0.000580,0.171700,0.510000,1.000000,1.000000,0.007672
0.020000,0.162095,0.000662,0.182096,0.529600,0.980000,-1.000000,0.008204
0.020000,0.172880,0.000754,0.192880,0.548800,0.960000,-1.000000,0.008757
0.020000,0.184043,0.000855,0.204044,0.567600,0.940000,-1.000000,0.009331
0.020000,0.195578,0.000966,0.215580,0.586000,0.920000,-1.000000,0.009924
0.020000,0.207479,0.001087,0.227480,0.604000,0.900000,-1.000000,0.010538
0.020000,0.219732,0.001220,0.239736,0.621600,0.880000,-1.000000,0.011171
0.020000,0.232337,0.001365,0.252340,0.638800,0.860000,-1.000000,0.011823
0.020000,0.245280,0.001523,0.265284,0.655600,0.840000,-1.000000,0.012494
0.020000,0.258553,0.001693,0.278560,0.672000,0.820000,-1.000000,0.013183
0.020000,0.272153,0.001877,0.292160,0.688000,0.800000,-1.000000,0.013891
0.020000,0.286068,0.002076,0.306076,0.703600,0.780000,-1.000000,0.014617
0.020000,0.300289,0.002289,0.320300,0.718800,0.760000,-1.000000,0.015360
0.020000,0.314812,0.002517,0.334824,0.733600,0.740000,-1.000000,0.016121
0.020000,0.329627,0.002762,0.349640,0.748000,0.720000,-1.000000,0.016899
0.020000,0.344725,0.003023,0.364740,0.762000,0.700000,-1.000000,0.017693
0.020000,0.360097,0.003301,0.380116,0.775600,0.680000,-1.000000,0.018504
0.020000,0.375737,0.003597,0.395760,0.788800,0.660000,-1.000000,0.019331
0.020000,0.391639,0.003912,0.411664,0.801600,0.640000,-1.000000,0.020174
0.020000,0.407793,0.004244,0.427820,0.814000,0.620000,-1.000000,0.021032
0.020000,0.424189,0.004596,0.444220,0.826000,0.600000,-1.000000,0.021905
0.020000,0.440820,0.004968,0.460856,0.837600,0.580000,-1.000000,0.022794
0.020000,0.457679,0.005360,0.477720,0.848800,0.560000,-1.000000,0.023696
0.020000,0.474757,0.005773,0.494804,0.859600,0.540000,-1.000000,0.024613
0.020000,0.492048,0.006206,0.512100,0.870000,0.520000,-1.000000,0.025544
0.020000,0.509543,0.006662,0.529600,0.880000,0.500000,-1.000000,0.026488
0.020000,0.527233,0.007139,0.547296,0.889600,0.480000,-1.000000,0.027445
0.020000,0.545110,0.007638,0.565180,0.898800,0.460000,-1.000000,0.028415
0.020000,0.563167,0.008160,0.583244,0.907600,0.440000,-1.000000,0.029398
0.020000,0.581395,0.008705,0.601480,0.916000,0.420000,-1.000000,0.030393
0.020000,0.599786,0.009274,0.619880,0.924000,0.400000,-1.000000,0.031399
0.020000,0.618333,0.009866,0.638436,0.931600,0.380000,-1.000000,0.032417
0.020000,0.637026,0.010482,0.657140,0.938800,0.360000,-1.000000,0.033446
0.020000,0.655859,0.011122,0.675984,0.945600,0.340000,-1.000000,0.034486
0.020000,0.674824,0.011786,0.694960,0.952000,0.320000,-1.000000,0.035536
0.020000,0.693911,0.012475,0.714060,0.958000,0.300000,-1.000000,0.036596
0.020000,0.713114,0.013188,0.733276,0.963600,0.280000,-1.000000,0.037666
0.020000,0.732424,0.013926,0.752600,0.968800,0.260000,-1.000000,0.038745
0.020000,0.751833,0.014689,0.772024,0.973600,0.240000,-1.000000,0.039832
0.020000,0.771333,0.015477,0.791540,0.978000,0.220000,-1.000000,0.040929
0.020000,0.790916,0.016290,0.811140,0.982000,0.200000,-1.000000,0.042033
0.020000,0.810574,0.017127,0.830816,0.985600,0.180000,-1.000000,0.043145
0.020000,0.830300,0.017990,0.850560,0.988800,0.160000,-1.000000,0.044264
0.020000,0.850084,0.018877,0.870364,0.991600,0.140000,-1.000000,0.045390
0.020000,0.869919,0.019790,0.890220,0.994000,0.120000,-1.000000,0.046523
0.020000,0.889797,0.020726,0.910120,0.996000,0.100000,-1.000000,0.047662
0.020000,0.909709,0.021688,0.930056,0.997600,0.080000,-1.000000,0.048806
0.020000,0.929649,0.022673,0.950020,0.998800,0.060000,-1.000000,0.049955
0.020000,0.949607,0.023682,0.970004,0.999600,0.040000,-1.000000,0.051109
0.020000,0.969577,0.024715,0.990000,1.000000,0.020000,-1.000000,0.052268
0.020000,0.989548,0.025772,1.010000,1.000000,0.000000,-1.000000,0.053430
0.020000,1.009519,0.026852,1.030000,1.000000,0.000000,0.000000,0.054596
0.020000,1.029488,0.027955,1.050000,1.000000,0.000000,0.000000,0.055766
0.020000,1.049456,0.029081,1.070000,1.000000,0.000000,0.000000,0.056939
0.020000,1.069422,0.030231,1.090000,1.000000,0.000000,0.000000,0.058116
0.020000,1.089388,0.031404,1.110000,1.000000,0.000000,0.000000,0.059297
0.020000,1.109353,0.032601,1.130000,1.000000,0.000000,0.000000,0.060481
