dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000999,1.000000,0.000004,0.000400,0.020000,1.000000,6.282187
0.020000,0.000998,1.000000,0.000005,0.000040,-0.018004,-1.900200,6.282187
0.020000,0.000996,1.000000,0.000007,0.000090,0.002495,1.024951,6.282189
0.020000,0.000993,1.000000,0.000010,0.000160,0.003493,0.049902,6.282192
0.020000,0.000988,1.000000,0.000015,0.000250,0.004491,0.049905,6.282197
0.020000,0.000981,1.000000,0.000022,0.000359,0.005489,0.049909,6.282204
0.020000,0.000971,1.000000,0.000032,0.000489,0.006488,0.049915,6.282214
0.020000,0.000958,1.000000,0.000045,0.000639,0.007486,0.049923,6.282227
0.020000,0.000942,1.000000,0.000061,0.000808,0.008485,0.049935,6.282243
0.020000,0.000922,1.000000,0.000081,0.000998,0.009484,0.049949,6.282263
0.020000,0.000898,1.000000,0.000105,0.001208,0.010483,0.049967,6.282287
0.020000,0.000869,1.000000,0.000134,0.001437,0.011483,0.049989,6.282316
0.020000,0.000836,1.000000,0.000167,0.001687,0.012483,0.050016,6.282350
0.020000,0.000796,1.000000,0.000206,0.001957,0.013484,0.050047,6.282389
0.020000,0.000751,1.000000,0.000251,0.002247,0.014486,0.050083,6.282434
0.020000,0.000700,1.000000,0.000302,0.002556,0.015488,0.050125,6.282485
0.020000,0.000643,1.000000,0.000360,0.002886,0.016492,0.050174,6.282543
0.020000,0.000578,1.000000,0.000425,0.003236,0.017496,0.050228,6.282607
0.020000,0.000506,1.000000,0.000497,0.003606,0.018502,0.050289,6.282680
0.020000,0.000426,1.000000,0.000577,0.003996,0.019509,0.050358,6.282759
0.020000,0.000338,1.000000,0.000665,0.004407,0.020518,0.050434,6.282848
0.020000,0.000241,1.000000,0.000762,0.004837,0.021528,0.050518,6.282944
0.020000,0.000135,1.000000,0.000868,0.005288,0.022541,0.050611,6.283050
0.020000,0.000020,1.000000,0.000983,0.005759,0.023555,0.050712,6.283165
0.020000,0.001996,1.000000,0.002959,0.098794,4.651736,231.409058,0.000105
0.020000,0.004565,1.000001,0.005528,0.128479,1.484235,-158.375044,0.000240
0.020000,0.007336,1.000001,0.008299,0.138529,0.502523,-49.085582,0.000386
0.020000,0.010315,1.000003,0.011278,0.148954,0.521266,0.937124,0.000543
0.020000,0.013510,1.000005,0.014473,0.159754,0.539975,0.935461,0.000712
0.020000,0.016929,1.000008,0.017892,0.170927,0.558649,0.933676,0.000892
0.020000,0.020580,1.000011,0.021543,0.182552,0.581259,1.130500,0.001085
0.020000,0.024471,1.000016,0.025434,0.194584,0.601626,1.018362,0.001291
0.020000,0.028609,1.000022,0.029572,0.206885,0.615041,0.670771,0.001509
0.020000,0.033000,1.000029,0.033963,0.219557,0.633564,0.926128,0.001742
0.020000,0.037652,1.000037,0.038615,0.232597,0.652037,0.923662,0.001988
0.020000,0.042577,1.000048,0.043540,0.246237,0.682003,1.498293,0.002249
0.020000,0.047778,1.000060,0.048741,0.260043,0.690269,0.413280,0.002525
0.020000,0.053262,1.000075,0.054225,0.274199,0.707834,0.878248,0.002816
0.020000,0.059038,1.000092,0.060001,0.288828,0.731437,1.180159,0.003123
0.020000,0.065116,1.000112,0.066079,0.303911,0.754137,1.135020,0.003446
0.020000,0.071500,1.000135,0.072463,0.319175,0.763180,0.452161,0.003786
0.020000,0.078198,1.000162,0.079161,0.334918,0.787187,1.200340,0.004143
0.020000,0.085221,1.000192,0.086184,0.351136,0.810863,1.183791,0.004517
0.020000,0.092571,1.000227,0.093534,0.367495,0.817983,0.355999,0.004910
0.020000,0.100260,1.000266,0.101224,0.384488,0.849665,1.584116,0.005321
0.020000,0.108294,1.000310,0.109257,0.401685,0.859836,0.508520,0.005751
0.020000,0.116679,1.000361,0.117643,0.419282,0.879823,0.999383,0.006201
0.020000,0.125426,1.000417,0.126390,0.437360,0.903898,1.203746,0.006671
0.020000,0.134539,1.000480,0.135503,0.455626,0.913321,0.471147,0.007161
0.020000,0.144029,1.000550,0.144993,0.474507,0.944050,1.536462,0.007672
0.020000,0.153891,1.000629,0.154856,0.493133,0.931293,-0.637871,0.008204
0.020000,0.164123,1.000715,0.165087,0.511597,0.923218,-0.403747,0.008757
0.020000,0.174712,1.000811,0.175678,0.529514,0.895844,-1.368713,0.009331
0.020000,0.185654,1.000916,0.186620,0.547103,0.879457,-0.819351,0.009924
0.020000,0.196941,1.001032,0.197907,0.564380,0.863835,-0.781090,0.010538
0.020000,0.208562,1.001158,0.209529,0.581063,0.834165,-1.483476,0.011171
0.020000,0.220514,1.001296,0.221482,0.597677,0.830679,-0.174345,0.011823
0.020000,0.232787,1.001445,0.233755,0.613657,0.798985,-1.584655,0.012494
0.020000,0.245370,1.001606,0.246340,0.629224,0.778383,-1.030147,0.013183
0.020000,0.258263,1.001781,0.259234,0.644702,0.773900,-0.224149,0.013891
0.020000,0.271452,1.001969,0.272424,0.659527,0.741227,-1.633623,0.014617
0.020000,0.284930,1.002171,0.285904,0.673969,0.722110,-0.955836,0.015360
0.020000,0.298691,1.002388,0.299667,0.688164,0.709740,-0.618528,0.016121
0.020000,0.312729,1.002619,0.313706,0.701966,0.690136,-0.980192,0.016899
