dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000999,-1.000000,0.000004,0.000400,0.020000,1.000000,6.282187
0.020000,-0.000998,-1.000000,0.000005,0.000040,-0.018004,-1.900200,6.282187
0.020000,-0.000996,-1.000000,0.000007,0.000090,0.002495,1.024951,6.282189
0.020000,-0.000993,-1.000000,0.000010,0.000160,0.003493,0.049902,6.282192
0.020000,-0.000988,-1.000000,0.000015,0.000250,0.004491,0.049905,6.282197
0.020000,-0.000981,-1.000000,0.000022,0.000359,0.005489,0.049909,6.282204
0.020000,-0.000971,-1.000000,0.000032,0.000489,0.006488,0.049915,6.282214
0.020000,-0.000958,-1.000000,0.000045,0.000639,0.007486,0.049923,6.282227
0.020000,-0.000942,-1.000000,0.000061,0.000808,0.008485,0.049935,6.282243
0.020000,-0.000922,-1.000000,0.000081,0.000998,0.009484,0.049949,6.282263
0.020000,-0.000898,-1.000000,0.000105,0.001208,0.010483,0.049967,6.282287
0.020000,-0.000869,-1.000000,0.000134,0.001437,0.011483,0.049989,6.282316
0.020000,-0.000836,-1.000000,0.000167,0.001687,0.012483,0.050016,6.282350
0.020000,-0.000796,-1.000000,0.000206,0.001957,0.013484,0.050047,6.282389
0.020000,-0.000751,-1.000000,0.000251,0.002247,0.014486,0.050083,6.282434
0.020000,-0.000700,-1.000000,0.000302,0.002556,0.015488,0.050125,6.282485
0.020000,-0.000643,-1.000000,0.000360,0.002886,0.016492,0.050174,6.282543
0.020000,-0.000578,-1.000000,0.000425,0.003236,0.017496,0.050228,6.282607
0.020000,-0.000506,-1.000000,0.000497,0.003606,0.018502,0.050289,6.282680
0.020000,-0.000426,-1.000000,0.000577,0.003996,0.019509,0.050358,6.282759
0.020000,-0.000338,-1.000000,0.000665,0.004407,0.020518,0.050434,6.282848
0.020000,-0.000241,-1.000000,0.000762,0.004837,0.021528,0.050518,6.282944
0.020000,-0.000135,-1.000000,0.000868,0.005288,0.022541,0.050611,6.283050
0.020000,-0.000020,-1.000000,0.000983,0.005759,0.023555,0.050712,6.283165
0.020000,0.002206,-1.000000,0.003209,0.111300,5.277052,262.674842,0.000105
0.020000,0.005046,-0.999999,0.006049,0.142010,1.535491,-187.078031,0.000240
0.020000,0.008109,-0.999998,0.009112,0.153125,0.555773,-48.985881,0.000386
0.020000,0.011402,-0.999997,0.012405,0.164657,0.576566,1.039608,0.000543
0.020000,0.014934,-0.999995,0.015937,0.176603,0.597331,1.038250,0.000712
0.020000,0.018713,-0.999992,0.019716,0.188965,0.618066,1.036792,0.000892
0.020000,0.022750,-0.999988,0.023753,0.201828,0.643166,1.254959,0.001085
0.020000,0.027053,-0.999983,0.028055,0.215144,0.665798,1.131615,0.001291
0.020000,0.031628,-0.999976,0.032631,0.228759,0.680756,0.747923,0.001509
0.020000,0.036484,-0.999968,0.037486,0.242787,0.701374,1.030909,0.001742
0.020000,0.041628,-0.999959,0.042631,0.257226,0.721952,1.028898,0.001988
0.020000,0.047075,-0.999947,0.048077,0.272331,0.755257,1.665208,0.002249
0.020000,0.052827,-0.999933,0.053830,0.287622,0.764578,0.466091,0.002525
0.020000,0.058893,-0.999917,0.059896,0.303306,0.784201,0.981114,0.002816
0.020000,0.065283,-0.999898,0.066286,0.319517,0.810521,1.316009,0.003123
0.020000,0.072008,-0.999876,0.073011,0.336234,0.835864,1.267136,0.003446
0.020000,0.079071,-0.999851,0.080074,0.353156,0.846117,0.512652,0.003786
0.020000,0.086483,-0.999821,0.087487,0.370615,0.872946,1.341478,0.004143
0.020000,0.094255,-0.999788,0.095259,0.388604,0.899435,1.324426,0.004517
0.020000,0.102391,-0.999749,0.103394,0.406756,0.907624,0.409473,0.004910
0.020000,0.110903,-0.999706,0.111906,0.425617,0.943024,1.769999,0.005321
0.020000,0.119797,-0.999656,0.120800,0.444710,0.954640,0.580805,0.005751
0.020000,0.129082,-0.999601,0.130085,0.464253,0.977150,1.125504,0.006201
0.020000,0.138768,-0.999539,0.139772,0.484337,1.004217,1.353333,0.006671
0.020000,0.148861,-0.999469,0.149865,0.504639,1.015089,0.543576,0.007161
0.020000,0.159373,-0.999391,0.160377,0.525631,1.049590,1.725058,0.007672
0.020000,0.170300,-0.999304,0.171304,0.546350,1.035950,-0.682009,0.008204
0.020000,0.181637,-0.999208,0.182642,0.566900,1.027511,-0.421947,0.008757
0.020000,0.193374,-0.999102,0.194380,0.586854,0.997696,-1.490745,0.009331
0.020000,0.205502,-0.998985,0.206509,0.606455,0.980060,-0.881764,0.009924
0.020000,0.218016,-0.998857,0.219023,0.625721,0.963280,-0.839005,0.010538
0.020000,0.230902,-0.998717,0.231910,0.644339,0.930928,-1.617629,0.011171
0.020000,0.244159,-0.998565,0.245168,0.662891,0.927611,-0.165845,0.011823
0.020000,0.257773,-0.998399,0.258783,0.680752,0.893016,-1.729751,0.012494
0.020000,0.271735,-0.998220,0.272746,0.698166,0.870716,-1.114975,0.013183
0.020000,0.286044,-0.998026,0.287056,0.715492,0.866306,-0.220493,0.013891
0.020000,0.300685,-0.997818,0.301698,0.732104,0.830614,-1.784622,0.014617
0.020000,0.315649,-0.997593,0.316664,0.748304,0.809958,-1.032795,0.015360
