dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.264282,4.307420,0.000650,0.064989,3.249453,162.472675,0.000000
0.020000,0.264283,4.307420,0.000650,0.000005,-3.249180,-324.931660,0.000000
0.020000,0.264996,4.307420,0.001363,0.035654,1.782428,251.580374,6.283185
0.020000,0.272795,4.307420,0.009162,0.389951,17.714839,796.620539,6.283185
0.020000,0.283193,4.307420,0.019561,0.519934,6.499177,-560.783055,6.283185
0.020000,0.296192,4.307420,0.032559,0.649918,6.499175,-0.000110,6.283184
0.020000,0.311790,4.307419,0.048157,0.779901,6.499173,-0.000138,6.283183
0.020000,0.329987,4.307419,0.066355,0.909885,6.499169,-0.000165,6.283183
0.020000,0.350785,4.307419,0.087152,1.039868,6.499165,-0.000193,6.283182
0.020000,0.374182,4.307419,0.110549,1.169851,6.499161,-0.000220,6.283181
0.020000,0.400178,4.307419,0.136546,1.299834,6.499156,-0.000248,6.283180
0.020000,0.428775,4.307419,0.165142,1.429817,6.499150,-0.000276,6.283179
0.020000,0.459971,4.307419,0.196338,1.559800,6.499144,-0.000303,6.283177
0.020000,0.493767,4.307418,0.230134,1.689783,6.499138,-0.000331,6.283176
0.020000,0.530162,4.307418,0.266529,1.819766,6.499131,-0.000358,6.283175
0.020000,0.569157,4.307418,0.305524,1.949748,6.499123,-0.000386,6.283173
0.020000,0.610751,4.307417,0.347119,2.079730,6.499115,-0.000413,6.283171
0.020000,0.654946,4.307416,0.391313,2.209712,6.499106,-0.000441,6.283170
0.020000,0.701740,4.307416,0.438107,2.339694,6.499096,-0.000469,6.283168
0.020000,0.751133,4.307415,0.487500,2.469676,6.499087,-0.000496,6.283166
0.020000,0.803126,4.307414,0.539494,2.599658,6.499076,-0.000524,6.283164
0.020000,0.857719,4.307413,0.594086,2.729639,6.499065,-0.000551,6.283162
0.020000,0.914911,4.307411,0.651279,2.859620,6.499053,-0.000579,6.283160
0.020000,0.974703,4.307410,0.711071,2.989601,6.499041,-0.000606,6.283158
0.020000,1.037095,4.307408,0.773462,3.119581,6.499029,-0.000634,6.283156
0.020000,1.102086,4.307406,0.838454,3.249562,6.499015,-0.000661,6.283154
0.020000,1.169677,4.307404,0.906045,3.379542,6.499002,-0.000689,6.283152
0.020000,1.239868,4.307401,0.976235,3.509522,6.498987,-0.000717,6.283149
0.020000,1.312658,4.307399,1.049025,3.639501,6.498972,-0.000744,6.283147
0.020000,1.388047,4.307396,1.124415,3.769480,6.498957,-0.000772,6.283145
0.020000,1.466036,4.307392,1.202404,3.899459,6.498941,-0.000799,6.283143
0.020000,1.546625,4.307389,1.282993,4.029437,6.498924,-0.000827,6.283140
0.020000,1.629813,4.307385,1.366181,4.159416,6.498907,-0.000854,6.283138
0.020000,1.715601,4.307381,1.451969,4.289393,6.498890,-0.000882,6.283136
0.020000,1.803989,4.307376,1.540356,4.419371,6.498872,-0.000910,6.283133
0.020000,1.894976,4.307371,1.631343,4.549348,6.498853,-0.000937,6.283131
0.020000,1.988562,4.307366,1.724930,4.679325,6.498834,-0.000965,6.283129
0.020000,2.084748,4.307361,1.821116,4.809301,6.498814,-0.000992,6.283127
0.020000,2.183534,4.307355,1.919901,4.939277,6.498793,-0.001020,6.283125
0.020000,2.284919,4.307349,2.021286,5.069252,6.498772,-0.001047,6.283123
0.020000,2.388903,4.307342,2.125271,5.199227,6.498751,-0.001075,6.283120
0.020000,2.495487,4.307335,2.231855,5.329202,6.498729,-0.001102,6.283119
0.020000,2.604671,4.307328,2.341038,5.459176,6.498706,-0.001130,6.283117
0.020000,2.716454,4.307320,2.452821,5.589149,6.498683,-0.001158,6.283115
0.020000,2.830836,4.307312,2.567204,5.719123,6.498659,-0.001185,6.283113
0.020000,2.947818,4.307303,2.684186,5.849095,6.498635,-0.001213,6.283112
0.020000,3.067399,4.307294,2.803767,5.979068,6.498610,-0.001240,6.283110
0.020000,3.189580,4.307285,2.925948,6.109039,6.498585,-0.001268,6.283109
0.020000,3.314360,4.307275,3.050728,6.239010,6.498559,-0.001295,6.283108
0.020000,3.441740,4.307265,3.178108,6.368981,6.498533,-0.001323,6.283107
0.020000,3.571719,4.307255,3.308087,6.498951,6.498506,-0.001350,6.283106
0.020000,3.704298,4.307244,3.440665,6.628921,6.498478,-0.001378,6.283105
0.020000,3.839475,4.307234,3.575843,6.758890,6.498450,-0.001406,6.283104
0.020000,3.977253,4.307222,3.713620,6.888858,6.498421,-0.001433,6.283104
0.020000,4.116979,4.307211,3.853347,6.986331,4.873665,-81.237811,6.283104
0.020000,4.256811,4.307200,3.993178,6.991587,0.262796,-230.543444,6.283104
0.020000,4.394903,4.307188,4.131271,6.904627,-4.348045,-230.542047,6.283104
0.020000,4.530502,4.307177,4.266869,6.779905,-6.236071,-94.401313,6.283105
0.020000,4.663500,4.307167,4.399867,6.649918,-6.499369,-13.164909,6.283105
0.020000,4.793898,4.307156,4.530266,6.519931,-6.499341,0.001410,6.283106
0.020000,4.921697,4.307146,4.658065,6.389945,-6.499313,0.001383,6.283107
0.020000,5.046897,4.307137,4.783264,6.259959,-6.499286,0.001355,6.283109
0.020000,5.169496,4.307127,4.905863,6.129974,-6.499260,0.001327,6.283110
0.020000,5.289496,4.307118,5.025863,5.999989,-6.499234,0.001300,6.283111
0.020000,5.406896,4.307110,5.143263,5.870005,-6.499208,0.001272,6.283113
0.020000,5.521696,4.307102,5.258064,5.740021,-6.499183,0.001245,6.283114
0.020000,5.633897,4.307094,5.370265,5.610038,-6.499159,0.001217,6.283116
0.020000,5.743498,4.307086,5.479866,5.480055,-6.499135,0.001190,6.283118
0.020000,5.850500,4.307079,5.586867,5.350073,-6.499112,0.001162,6.283120
0.020000,5.954901,4.307072,5.691269,5.220091,-6.499089,0.001134,6.283122
