dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.264283,3.307420,0.000650,0.064989,3.249453,162.472675,0.000000
0.020000,0.264283,3.307420,0.003249,0.194967,6.498907,162.472675,0.000000
0.020000,0.264996,3.307420,0.008449,0.324945,6.498907,-0.000000,6.283185
0.020000,0.272794,3.307420,0.016247,0.454923,6.498907,0.000000,6.283185
0.020000,0.283193,3.307420,0.026646,0.584902,6.498907,-0.000000,6.283185
0.020000,0.296190,3.307420,0.039643,0.714880,6.498907,0.000000,6.283184
0.020000,0.311788,3.307419,0.055241,0.844858,6.498907,0.000000,6.283183
0.020000,0.329985,3.307419,0.073438,0.974836,6.498907,0.000000,6.283183
0.020000,0.350781,3.307419,0.094234,1.104814,6.498907,0.000000,6.283182
0.020000,0.374177,3.307419,0.117630,1.234792,6.498907,-0.000000,6.283181
0.020000,0.400173,3.307419,0.143626,1.364770,6.498907,0.000000,6.283180
0.020000,0.428768,3.307419,0.172221,1.494749,6.498907,0.000000,6.283179
0.020000,0.459963,3.307419,0.203416,1.624727,6.498907,0.000000,6.283177
0.020000,0.493757,3.307418,0.237210,1.754705,6.498907,0.000000,6.283176
0.020000,0.530151,3.307418,0.273604,1.884683,6.498907,0.000000,6.283175
0.020000,0.569144,3.307418,0.312597,2.014661,6.498907,-0.000000,6.283173
0.020000,0.610737,3.307417,0.354190,2.144639,6.498907,0.000000,6.283171
0.020000,0.654930,3.307416,0.398383,2.274617,6.498907,-0.000000,6.283170
0.020000,0.701722,3.307416,0.445175,2.404596,6.498907,0.000000,6.283168
0.020000,0.751114,3.307415,0.494567,2.534574,6.498907,-0.000000,6.283166
0.020000,0.803105,3.307414,0.546558,2.664552,6.498907,0.000000,6.283164
0.020000,0.857696,3.307413,0.601149,2.794530,6.498907,-0.000000,6.283162
0.020000,0.914886,3.307411,0.658339,2.924508,6.498907,0.000000,6.283160
0.020000,0.974676,3.307410,0.718129,3.054486,6.498907,0.000000,6.283158
0.020000,1.037066,3.307408,0.780519,3.184464,6.498907,0.000000,6.283156
0.020000,1.102055,3.307406,0.845508,3.314443,6.498907,0.000000,6.283154
0.020000,1.169643,3.307404,0.913096,3.444421,6.498907,0.000000,6.283152
0.020000,1.239832,3.307401,0.983285,3.574399,6.498907,0.000000,6.283149
0.020000,1.312619,3.307399,1.056072,3.704377,6.498907,-0.000000,6.283147
0.020000,1.388007,3.307396,1.131460,3.834355,6.498907,0.000000,6.283145
0.020000,1.465994,3.307392,1.209447,3.964333,6.498907,-0.000000,6.283143
0.020000,1.546580,3.307389,1.290033,4.094311,6.498907,0.000000,6.283140
0.020000,1.629766,3.307385,1.373219,4.224290,6.498907,-0.000000,6.283138
0.020000,1.715552,3.307381,1.459005,4.354268,6.498907,0.000000,6.283136
0.020000,1.803937,3.307376,1.547390,4.484246,6.498907,-0.000000,6.283133
0.020000,1.894921,3.307371,1.638374,4.614224,6.498907,0.000000,6.283131
0.020000,1.988506,3.307366,1.731959,4.744202,6.498907,-0.000000,6.283129
0.020000,2.084690,3.307361,1.828143,4.874180,6.498907,0.000000,6.283127
0.020000,2.183473,3.307355,1.926926,5.004158,6.498907,-0.000000,6.283125
0.020000,2.284856,3.307349,2.028309,5.134137,6.498907,0.000000,6.283123
0.020000,2.388838,3.307342,2.132291,5.264115,6.498907,-0.000000,6.283120
0.020000,2.495420,3.307335,2.238873,5.394093,6.498907,0.000000,6.283119
0.020000,2.604602,3.307328,2.348055,5.524071,6.498907,0.000000,6.283117
0.020000,2.716383,3.307320,2.459836,5.654049,6.498907,0.000000,6.283115
0.020000,2.830764,3.307312,2.574217,5.784027,6.498907,0.000000,6.283113
0.020000,2.947744,3.307303,2.691197,5.914005,6.498907,-0.000000,6.283112
0.020000,3.067324,3.307294,2.810777,6.043983,6.498907,0.000000,6.283110
0.020000,3.189504,3.307285,2.932957,6.173962,6.498907,-0.000000,6.283109
0.020000,3.314283,3.307275,3.057736,6.303940,6.498907,0.000000,6.283108
0.020000,3.441661,3.307265,3.185114,6.433918,6.498907,-0.000000,6.283107
0.020000,3.571639,3.307255,3.315092,6.563896,6.498907,0.000000,6.283106
0.020000,3.704217,3.307244,3.447670,6.693874,6.498907,-0.000000,6.283105
0.020000,3.839394,3.307234,3.582847,6.823852,6.498907,-0.000000,6.283104
0.020000,3.977171,3.307222,3.720624,6.953830,6.498907,0.000000,6.283104
0.020000,4.116898,3.307211,3.860351,7.018820,3.249453,-162.472675,6.283104
0.020000,4.256730,3.307200,4.000183,6.964364,-2.722799,-298.612621,6.283104
0.020000,4.394822,3.307188,4.138275,6.844919,-5.972252,-162.472675,6.283104
0.020000,4.530421,3.307177,4.273874,6.714940,-6.498907,-26.332728,6.283105
0.020000,4.663420,3.307167,4.406873,6.584962,-6.498907,0.000000,6.283105
0.020000,4.793820,3.307156,4.537272,6.454984,-6.498907,0.000000,6.283106
0.020000,4.921619,3.307146,4.665072,6.325006,-6.498907,0.000000,6.283107
0.020000,5.046820,3.307137,4.790273,6.195028,-6.498907,0.000000,6.283109
0.020000,5.169421,3.307127,4.912873,6.065050,-6.498907,0.000000,6.283110
0.020000,5.289422,3.307118,5.032875,5.935072,-6.498907,0.000000,6.283111
0.020000,5.406823,3.307110,5.150276,5.805093,-6.498907,0.000000,6.283113
0.020000,5.521625,3.307102,5.265078,5.675115,-6.498907,0.000000,6.283114
0.020000,5.633828,3.307094,5.377281,5.545137,-6.498907,0.000000,6.283116
0.020000,5.743431,3.307086,5.486884,5.415159,-6.498907,0.000000,6.283118
0.020000,5.850434,3.307079,5.593887,5.285181,-6.498907,0.000000,6.283120
0.020000,5.954838,3.307072,5.698291,5.155203,-6.498907,0.000000,6.283122
0.020000,6.056642,3.307066,5.800095,5.025225,-6.498907,0.000000,6.283124
0.020000,6.155847,3.307060,5.899300,4.895246,-6.498907,0.000000,6.283126
0.020000,6.252452,3.307055,5.995905,4.765268,-6.498907,0.000000,6.283128
0.020000,6.346458,3.307049,6.089911,4.635290,-6.498907,0.000000,6.283131
0.020000,6.437864,3.307044,6.181317,4.505312,-6.498907,0.000000,6.283133
0.020000,6.526670,3.307040,6.270123,4.375334,-6.498907,-0.000000,6.283135
0.020000,6.612877,3.307036,6.356330,4.245356,-6.498907,0.000000,6.283137
0.020000,6.696485,3.307032,6.439938,4.115378,-6.498907,0.000000,6.283140
0.020000,6.777492,3.307028,6.520945,3.985399,-6.498907,0.000000,6.283142
0.020000,6.855901,3.307025,6.599354,3.855421,-6.498907,0.000000,6.283144
0.020000,6.931709,3.307022,6.675162,3.725443,-6.498907,0.000000,6.283147
0.020000,7.004918,3.307019,6.748371,3.595465,-6.498907,-0.000000,6.283149
0.020000,7.075528,3.307017,6.818981,3.465487,-6.498907,0.000000,6.283151
