dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.031390,26.912651,0.000649,0.064935,3.246753,162.337662,0.000806
0.020000,0.031492,26.912652,0.000751,0.005107,-2.991410,-311.908141,0.000704
0.020000,0.031696,26.912652,0.000956,0.010218,0.255545,162.347714,0.000500
0.020000,0.032003,26.912652,0.001263,0.015337,0.255947,0.020118,0.000193
0.020000,0.037903,26.912651,0.007162,0.294977,13.982007,686.302987,6.282969
0.020000,0.051402,26.912645,0.020661,0.674942,18.998246,250.811982,6.282456
0.020000,0.067603,26.912628,0.036863,0.810087,6.757244,-612.050099,6.281840
0.020000,0.086506,26.912596,0.055765,0.945127,6.752010,-0.261740,6.281120
0.020000,0.108111,26.912542,0.077370,1.080250,6.756133,0.206146,6.280294
0.020000,0.132419,26.912461,0.101679,1.215422,6.758603,0.123545,6.279362
0.020000,0.159431,26.912343,0.128691,1.350610,6.759415,0.040566,6.278323
0.020000,0.189149,26.912182,0.158409,1.485918,6.765399,0.299209,6.277176
0.020000,0.221574,26.911967,0.190835,1.621311,6.769639,0.211990,6.275919
0.020000,0.256707,26.911687,0.225969,1.756668,6.767867,-0.088583,6.274552
0.020000,0.294547,26.911333,0.263811,1.892097,6.771476,0.180427,6.273072
0.020000,0.335100,26.910890,0.304367,2.027795,6.784867,0.669569,6.271478
0.020000,0.378365,26.910347,0.347635,2.163411,6.780788,-0.203953,6.269768
0.020000,0.424343,26.909688,0.393617,2.299127,6.785799,0.250541,6.267941
0.020000,0.473038,26.908898,0.442319,2.435080,6.797680,0.594048,6.265994
0.020000,0.524450,26.907961,0.493740,2.571038,6.797901,0.011069,6.263924
0.020000,0.578580,26.906859,0.547880,2.707027,6.799435,0.076689,6.261730
0.020000,0.635433,26.905573,0.604748,2.843376,6.817438,0.900163,6.259409
0.020000,0.695008,26.904083,0.664342,2.979700,6.816236,-0.060109,6.256958
0.020000,0.757308,26.902369,0.726665,3.116181,6.824009,0.388633,6.254375
0.020000,0.822335,26.900406,0.791722,3.252850,6.833477,0.473410,6.251656
0.020000,0.890092,26.898172,0.859516,3.389674,6.841207,0.386527,6.248797
0.020000,0.960579,26.895642,0.930048,3.526618,6.847181,0.298700,6.245796
0.020000,1.033802,26.892788,1.003326,3.663903,6.864279,0.854903,6.242649
0.020000,1.109758,26.889582,1.079350,3.801199,6.864773,0.024681,6.239351
0.020000,1.188454,26.885994,1.158128,3.938894,6.884740,0.998324,6.235899
0.020000,1.269889,26.881993,1.239661,4.076652,6.887921,0.159049,6.232288
0.020000,1.354065,26.877546,1.323955,4.214697,6.902238,0.715896,6.228514
0.020000,1.440986,26.872618,1.411015,4.352992,6.914771,0.626635,6.224571
0.020000,1.530650,26.867171,1.500845,4.491502,6.925497,0.536313,6.220454
0.020000,1.623064,26.861167,1.593453,4.630406,6.945211,0.985701,6.216158
0.020000,1.718225,26.854566,1.688843,4.769486,6.953985,0.438654,6.211677
0.020000,1.816137,26.847323,1.787023,4.908985,6.974957,1.048607,6.207004
0.020000,1.916799,26.839393,1.887997,5.048699,6.985704,0.537368,6.202134
0.020000,2.020213,26.830729,1.991773,5.188808,7.005446,0.987106,6.197059
0.020000,2.126379,26.821281,2.098358,5.329275,7.023349,0.895139,6.191772
0.020000,2.235295,26.810995,2.207760,5.470063,7.039397,0.802389,6.186265
0.020000,2.346966,26.799815,2.319989,5.611451,7.069402,1.500249,6.180531
0.020000,2.461385,26.787684,2.435048,5.752988,7.076824,0.371113,6.174560
0.020000,2.578555,26.774538,2.552953,5.895256,7.113436,1.830594,6.168344
0.020000,2.698471,26.760314,2.673710,6.037832,7.128755,0.765942,6.161873
0.020000,2.821129,26.744942,2.797328,6.180901,7.153473,1.235921,6.155137
0.020000,2.946529,26.728351,2.923820,6.324609,7.185407,1.596679,6.148126
0.020000,3.074662,26.710465,3.053196,6.468801,7.209603,1.209808,6.140828
0.020000,3.205523,26.691203,3.185467,6.613555,7.237702,1.404971,6.133232
0.020000,3.339104,26.670481,3.320646,6.758918,7.268139,1.521821,6.125325
0.020000,3.475397,26.648212,3.458746,6.905009,7.304561,1.821103,6.117094
0.020000,3.614391,26.624301,3.599782,7.051789,7.338990,1.721480,6.108527
0.020000,3.756072,26.598651,3.743766,7.199218,7.371438,1.622396,6.099607
