dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.032196,25.912652,0.000641,0.064103,3.205128,160.256410,0.000807
0.020000,0.032196,25.912652,0.003205,0.192308,6.410256,160.256410,0.000706
0.020000,0.032196,25.912652,0.008333,0.320513,6.410256,-0.000000,0.000504
0.020000,0.032196,25.912652,0.016026,0.448718,6.410256,0.000000,0.000201
0.020000,0.037345,25.912651,0.026282,0.576923,6.410256,0.000000,6.282982
0.020000,0.050165,25.912645,0.039103,0.705128,6.410256,-0.000000,6.282476
0.020000,0.065550,25.912630,0.054487,0.833333,6.410256,0.000000,6.281868
0.020000,0.083499,25.912600,0.072436,0.961538,6.410256,0.000000,6.281157
0.020000,0.104012,25.912550,0.092949,1.089744,6.410256,0.000000,6.280342
0.020000,0.127089,25.912474,0.116026,1.217949,6.410256,-0.000000,6.279422
0.020000,0.152729,25.912364,0.141667,1.346154,6.410256,0.000000,6.278397
0.020000,0.180933,25.912213,0.169872,1.474359,6.410256,0.000000,6.277265
0.020000,0.211703,25.912012,0.200641,1.602564,6.410256,-0.000000,6.276025
0.020000,0.245034,25.911751,0.233974,1.730769,6.410256,0.000000,6.274675
0.020000,0.280930,25.911419,0.269872,1.858974,6.410256,0.000000,6.273215
0.020000,0.319390,25.911005,0.308333,1.987179,6.410256,-0.000000,6.271642
0.020000,0.360413,25.910497,0.349359,2.115385,6.410256,0.000000,6.269956
0.020000,0.403998,25.909881,0.392949,2.243590,6.410256,-0.000000,6.268153
0.020000,0.450145,25.909143,0.439103,2.371795,6.410256,0.000000,6.266232
0.020000,0.498856,25.908268,0.487821,2.500000,6.410256,0.000000,6.264191
0.020000,0.550127,25.907238,0.539103,2.628205,6.410256,0.000000,6.262027
0.020000,0.603961,25.906037,0.592949,2.756410,6.410256,0.000000,6.259738
0.020000,0.660352,25.904647,0.649359,2.884615,6.410256,-0.000000,6.257321
0.020000,0.719305,25.903047,0.708333,3.012821,6.410256,0.000000,6.254774
0.020000,0.780816,25.901216,0.769872,3.141026,6.410256,-0.000000,6.252093
0.020000,0.844885,25.899133,0.833974,3.269231,6.410256,0.000000,6.249276
0.020000,0.911511,25.896775,0.900641,3.397436,6.410256,0.000000,6.246318
0.020000,0.980691,25.894116,0.969872,3.525641,6.410256,-0.000000,6.243216
0.020000,1.052423,25.891131,1.041667,3.653846,6.410256,-0.000000,6.239967
0.020000,1.126706,25.887792,1.116026,3.782051,6.410256,0.000000,6.236566
0.020000,1.203540,25.884071,1.192949,3.910256,6.410256,0.000000,6.233009
0.020000,1.282920,25.879937,1.272436,4.038462,6.410256,0.000000,6.229292
0.020000,1.364843,25.875358,1.354487,4.166667,6.410256,0.000000,6.225409
0.020000,1.449306,25.870301,1.439103,4.294872,6.410256,-0.000000,6.221356
0.020000,1.536308,25.864731,1.526282,4.423077,6.410256,0.000000,6.217127
0.020000,1.625843,25.858610,1.616026,4.551282,6.410256,-0.000000,6.212716
0.020000,1.717907,25.851899,1.708333,4.679487,6.410256,0.000000,6.208119
0.020000,1.812493,25.844558,1.803205,4.807692,6.410256,-0.000000,6.203327
0.020000,1.909599,25.836544,1.900641,4.935897,6.410256,0.000000,6.198335
0.020000,2.008578,25.827868,2.000000,5.000000,3.205128,-160.256410,6.193169
0.020000,2.108150,25.818617,2.100000,5.000000,0.000000,-160.256410,6.187892
0.020000,2.207670,25.808836,2.200000,5.000000,0.000000,0.000000,6.182534
0.020000,2.307136,25.798518,2.300000,5.000000,0.000000,0.000000,6.177096
0.020000,2.406544,25.787655,2.400000,5.000000,0.000000,0.000000,6.171574
0.020000,2.505889,25.776239,2.500000,5.000000,0.000000,0.000000,6.165967
0.020000,2.605170,25.764262,2.600000,5.000000,0.000000,0.000000,6.160275
0.020000,2.704380,25.751716,2.700000,5.000000,0.000000,0.000000,6.154495
0.020000,2.803515,25.738592,2.800000,5.000000,0.000000,0.000000,6.148626
0.020000,2.902569,25.724883,2.900000,5.000000,0.000000,0.000000,6.142666
0.020000,3.001542,25.710578,3.000000,5.000000,0.000000,0.000000,6.136613
0.020000,3.100424,25.695670,3.100000,5.000000,0.000000,0.000000,6.130466
0.020000,3.199211,25.680150,3.200000,5.000000,0.000000,0.000000,6.124224
0.020000,3.297901,25.664008,3.300000,5.000000,0.000000,0.000000,6.117883
0.020000,3.396484,25.647237,3.400000,5.000000,0.000000,0.000000,6.111444
0.020000,3.494956,25.629826,3.500000,5.000000,0.000000,0.000000,6.104904
0.020000,3.593312,25.611766,3.600000,5.000000,0.000000,0.000000,6.098262
0.020000,3.691544,25.593048,3.700000,5.000000,0.000000,0.000000,6.091515
0.020000,3.789648,25.573663,3.800000,5.000000,0.000000,0.000000,6.084662
0.020000,3.887614,25.553601,3.900000,5.000000,0.000000,0.000000,6.077701
0.020000,3.985438,25.532851,4.000000,5.000000,0.000000,0.000000,6.070631
0.020000,4.083111,25.511406,4.100000,5.000000,0.000000,0.000000,6.063450
0.020000,4.180625,25.489254,4.200000,5.000000,0.000000,0.000000,6.056156
0.020000,4.277976,25.466386,4.300000,5.000000,0.000000,0.000000,6.048748
0.020000,4.375151,25.442792,4.400000,5.000000,0.000000,0.000000,6.041224
0.020000,4.472147,25.418461,4.500000,5.000000,0.000000,0.000000,6.033581
0.020000,4.568952,25.393384,4.600000,5.000000,0.000000,0.000000,6.025819
0.020000,4.665556,25.367551,4.700000,5.000000,0.000000,0.000000,6.017937
0.020000,4.761953,25.340951,4.800000,5.000000,0.000000,0.000000,6.009931
0.020000,4.858133,25.313574,4.900000,5.000000,0.000000,0.000000,6.001802
0.020000,4.954085,25.285410,5.000000,5.000000,0.000000,0.000000,5.993547
0.020000,5.049799,25.256450,5.100000,5.000000,0.000000,0.000000,5.985166
0.020000,5.145264,25.226682,5.200000,5.000000,0.000000,0.000000,5.976656
0.020000,5.240472,25.196096,5.300000,5.000000,0.000000,0.000000,5.968016
0.020000,5.335410,25.164683,5.400000,5.000000,0.000000,0.000000,5.959246
0.020000,5.430067,25.132432,5.500000,5.000000,0.000000,0.000000,5.950343
0.020000,5.524430,25.099333,5.600000,5.000000,0.000000,0.000000,5.941308
0.020000,5.618488,25.065377,5.700000,5.000000,0.000000,0.000000,5.932139
0.020000,5.712228,25.030554,5.800000,5.000000,0.000000,0.000000,5.922835
0.020000,5.805638,24.994854,5.900000,5.000000,0.000000,0.000000,5.913396
0.020000,5.898704,24.958267,6.000000,5.000000,0.000000,0.000000,5.903821
0.020000,5.991413,24.920785,6.100000,5.000000,0.000000,0.000000,5.894110
0.020000,6.083752,24.882398,6.200000,5.000000,0.000000,0.000000,5.884262
0.020000,6.175705,24.843097,6.300000,5.000000,0.000000,0.000000,5.874277
0.020000,6.267258,24.802873,6.400000,5.000000,0.000000,0.000000,5.864155
0.020000,6.358396,24.761719,6.500000,5.000000,0.000000,0.000000,5.853896
0.020000,6.449104,24.719626,6.600000,5.000000,0.000000,0.000000,5.843501
0.020000,6.539367,24.676586,6.700000,5.000000,0.000000,0.000000,5.832970
0.020000,6.629170,24.632591,6.800000,5.000000,0.000000,0.000000,5.822304
0.020000,6.718495,24.587636,6.900000,5.000000,0.000000,0.000000,5.811504
0.020000,6.807325,24.541712,7.000000,5.000000,0.000000,0.000000,5.800571
0.020000,6.895645,24.494815,7.100000,5.000000,0.000000,0.000000,5.789507
0.020000,6.983439,24.446937,7.200000,5.000000,0.000000,0.000000,5.778313
0.020000,7.070687,24.398074,7.300000,5.000000,0.000000,0.000000,5.766992
0.020000,7.157374,24.348221,7.400000,5.000000,0.000000,0.000000,5.755544
0.020000,7.243480,24.297374,7.500000,5.000000,0.000000,0.000000,5.743973
0.020000,7.328990,24.245528,7.600000,5.000000,0.000000,0.000000,5.732282
0.020000,7.413885,24.192681,7.700000,5.000000,0.000000,0.000000,5.720473
0.020000,7.498146,24.138831,7.800000,5.000000,0.000000,0.000000,5.708549
0.020000,7.581757,24.083975,7.900000,5.000000,0.000000,0.000000,5.696514
0.020000,7.664698,24.028112,8.000000,5.000000,0.000000,0.000000,5.684373
0.020000,7.746952,23.971242,8.100000,5.000000,0.000000,0.000000,5.672128
0.020000,7.828500,23.913365,8.200000,5.000000,0.000000,0.000000,5.659784
0.020000,7.909325,23.854483,8.300000,5.000000,0.000000,0.000000,5.647346
0.020000,7.989409,23.794596,8.400000,5.000000,0.000000,0.000000,5.634818
0.020000,8.068733,23.733707,8.500000,5.000000,0.000000,0.000000,5.622206
0.020000,8.147281,23.671819,8.600000,5.000000,0.000000,0.000000,5.609515
0.020000,8.225035,23.608936,8.700000,5.000000,0.000000,0.000000,5.596750
0.020000,8.301977,23.545064,8.800000,5.000000,0.000000,0.000000,5.583918
0.020000,8.378092,23.480207,8.900000,5.000000,0.000000,0.000000,5.571023
0.020000,8.453362,23.414372,9.000000,5.000000,0.000000,0.000000,5.558073
0.020000,8.527772,23.347566,9.100000,5.000000,0.000000,0.000000,5.545074
0.020000,8.601305,23.279796,9.200000,5.000000,0.000000,0.000000,5.532032
0.020000,8.673947,23.211072,9.300000,5.000000,0.000000,0.000000,5.518954
0.020000,8.745683,23.141403,9.400000,5.000000,0.000000,0.000000,5.505846
0.020000,8.816499,23.070799,9.500000,5.000000,0.000000,0.000000,5.492716
0.020000,8.886381,22.999270,9.600000,5.000000,0.000000,0.000000,5.479571
0.020000,8.955316,22.926829,9.700000,5.000000,0.000000,0.000000,5.466416
0.020000,9.023293,22.853487,9.800000,5.000000,0.000000,0.000000,5.453260
0.020000,9.090299,22.779257,9.900000,5.000000,0.000000,0.000000,5.440110
0.020000,9.156323,22.704153,10.000000,5.000000,0.000000,0.000000,5.426972
0.020000,9.221356,22.628189,10.100000,5.000000,0.000000,0.000000,5.413853
0.020000,9.285387,22.551379,10.200000,5.000000,0.000000,0.000000,5.400760
0.020000,9.348409,22.473738,10.300000,5.000000,0.000000,0.000000,5.387700
0.020000,9.410413,22.395281,10.400000,5.000000,0.000000,0.000000,5.374680
0.020000,9.471391,22.316026,10.500000,5.000000,0.000000,0.000000,5.361707
0.020000,9.531339,22.235988,10.600000,5.000000,0.000000,0.000000,5.348785
0.020000,9.590250,22.155183,10.700000,5.000000,0.000000,0.000000,5.335923
0.020000,9.648119,22.073630,10.800000,5.000000,0.000000,0.000000,5.323126
0.020000,9.704943,21.991344,10.900000,5.000000,0.000000,0.000000,5.310399
0.020000,9.760718,21.908344,11.000000,5.000000,0.000000,0.000000,5.297749
0.020000,9.815442,21.824647,11.100000,5.000000,0.000000,0.000000,5.285180
0.020000,9.869113,21.740272,11.200000,5.000000,0.000000,0.000000,5.272699
0.020000,9.921731,21.655236,11.300000,5.000000,0.000000,0.000000,5.260309
0.020000,9.973296,21.569556,11.400000,5.000000,0.000000,0.000000,5.248016
0.020000,10.023808,21.483251,11.500000,5.000000,0.000000,0.000000,5.235824
0.020000,10.073268,21.396340,11.600000,5.000000,0.000000,0.000000,5.223736
0.020000,10.121679,21.308841,11.700000,5.000000,0.000000,0.000000,5.211758
0.020000,10.169043,21.220770,11.800000,5.000000,0.000000,0.000000,5.199892
0.020000,10.215364,21.132146,11.900000,5.000000,0.000000,0.000000,5.188142
0.020000,10.260646,21.042987,12.000000,5.000000,0.000000,0.000000,5.176511
0.020000,10.304893,20.953309,12.100000,5.000000,0.000000,0.000000,5.165001
0.020000,10.348111,20.863131,12.200000,5.000000,0.000000,0.000000,5.153616
0.020000,10.390305,20.772469,12.300000,5.000000,0.000000,0.000000,5.142356
0.020000,10.431482,20.681341,12.400000,5.000000,0.000000,0.000000,5.131226
0.020000,10.471647,20.589762,12.500000,5.000000,0.000000,0.000000,5.120225
0.020000,10.510809,20.497749,12.600000,5.000000,0.000000,0.000000,5.109356
0.020000,10.548975,20.405319,12.700000,5.000000,0.000000,0.000000,5.098619
0.020000,10.586152,20.312487,12.800000,5.000000,0.000000,0.000000,5.088017
0.020000,10.622348,20.219270,12.900000,5.000000,0.000000,0.000000,5.077550
0.020000,10.657574,20.125680,13.000000,5.000000,0.000000,0.000000,5.067218
0.020000,10.691837,20.031733,13.100000,5.000000,0.000000,0.000000,5.057021
0.020000,10.725148,19.937444,13.200000,5.000000,0.000000,0.000000,5.046961
0.020000,10.757513,19.842828,13.300000,5.000000,0.000000,0.000000,5.037037
0.020000,10.788946,19.747896,13.400000,5.000000,0.000000,0.000000,5.027249
0.020000,10.819454,19.652664,13.500000,5.000000,0.000000,0.000000,5.017597
0.020000,10.849047,19.557145,13.600000,5.000000,0.000000,0.000000,5.008081
0.020000,10.877738,19.461347,13.700000,5.000000,0.000000,0.000000,4.998699
0.020000,10.905534,19.365290,13.800000,5.000000,0.000000,0.000000,4.989452
0.020000,10.932448,19.268978,13.900000,5.000000,0.000000,0.000000,4.980337
0.020000,10.958488,19.172431,14.000000,5.000000,0.000000,0.000000,4.971356
0.020000,10.983667,19.075652,14.100000,5.000000,0.000000,0.000000,4.962506
0.020000,11.007995,18.978658,14.200000,5.000000,0.000000,0.000000,4.953787
0.020000,11.031483,18.881456,14.300000,5.000000,0.000000,0.000000,4.945197
0.020000,11.054141,18.784055,14.400000,5.000000,0.000000,0.000000,4.936735
0.020000,11.075980,18.686471,14.500000,5.000000,0.000000,0.000000,4.928400
0.020000,11.097011,18.588708,14.600000,5.000000,0.000000,0.000000,4.920190
0.020000,11.117246,18.490776,14.700000,5.000000,0.000000,0.000000,4.912104
0.020000,11.136693,18.392685,14.800000,5.000000,0.000000,0.000000,4.904141
0.020000,11.155365,18.294445,14.900000,5.000000,0.000000,0.000000,4.896298
0.020000,11.173271,18.196062,15.000000,5.000000,0.000000,0.000000,4.888575
0.020000,11.190423,18.097544,15.100000,5.000000,0.000000,0.000000,4.880970
0.020000,11.206832,17.998900,15.200000,5.000000,0.000000,0.000000,4.873481
0.020000,11.222506,17.900136,15.300000,5.000000,0.000000,0.000000,4.866106
0.020000,11.237458,17.801260,15.400000,5.000000,0.000000,0.000000,4.858844
0.020000,11.251696,17.702279,15.500000,5.000000,0.000000,0.000000,4.851694
0.020000,11.265232,17.603200,15.600000,5.000000,0.000000,0.000000,4.844652
0.020000,11.278075,17.504028,15.700000,5.000000,0.000000,0.000000,4.837719
0.020000,11.290235,17.404771,15.800000,5.000000,0.000000,0.000000,4.830891
0.020000,11.301675,17.305859,15.899572,4.957209,-2.139555,-106.977758,4.824197
0.020000,11.312301,17.208361,15.997647,4.850315,-5.344683,-160.256410,4.817702
0.020000,11.322065,17.113134,16.093372,4.722110,-6.410256,-53.278652,4.811457
0.020000,11.331001,17.020406,16.186532,4.593905,-6.410256,0.000000,4.805467
0.020000,11.339162,16.930177,16.277128,4.465700,-6.410256,-0.000000,4.799723
0.020000,11.346598,16.842458,16.365160,4.337495,-6.410256,0.000000,4.794217
0.020000,11.353359,16.757258,16.450628,4.209290,-6.410256,-0.000000,4.788942
0.020000,11.359490,16.674582,16.533531,4.081084,-6.410256,0.000000,4.783890
0.020000,11.365035,16.594436,16.613871,3.952879,-6.410256,-0.000000,4.779055
0.020000,11.370036,16.516822,16.691646,3.824674,-6.410256,0.000000,4.774430
0.020000,11.374533,16.441744,16.766858,3.696469,-6.410256,-0.000000,4.770009
0.020000,11.378564,16.369209,16.839505,3.568264,-6.410256,0.000000,4.765786
0.020000,11.382163,16.299219,16.909588,3.440059,-6.410256,0.000000,4.761756
0.020000,11.385365,16.231776,16.977108,3.311854,-6.410256,0.000000,4.757913
0.020000,11.388202,16.166883,17.042063,3.183649,-6.410256,-0.000000,4.754253
0.020000,11.390704,16.104543,17.104454,3.055443,-6.410256,0.000000,4.750770
0.020000,11.392901,16.044755,17.164280,2.927238,-6.410256,0.000000,4.747461
0.020000,11.394819,15.987525,17.221543,2.799033,-6.410256,0.000000,4.744322
0.020000,11.396484,15.932851,17.276242,2.670828,-6.410256,0.000000,4.741347
0.020000,11.397920,15.880738,17.328376,2.542623,-6.410256,-0.000000,4.738535
0.020000,11.399150,15.831182,17.377947,2.414418,-6.410256,-0.000000,4.735881
0.020000,11.400195,15.784186,17.424953,2.286213,-6.410256,0.000000,4.733382
0.020000,11.401076,15.739753,17.469395,2.158008,-6.410256,0.000000,4.731036
0.020000,11.401811,15.697882,17.511273,2.029802,-6.410256,0.000000,4.728838
0.020000,11.402417,15.658574,17.550587,1.901597,-6.410256,0.000000,4.726788
0.020000,11.402911,15.621826,17.587337,1.773392,-6.410256,0.000000,4.724882
0.020000,11.403308,15.587643,17.621523,1.645187,-6.410256,0.000000,4.723118
0.020000,11.403622,15.556021,17.653145,1.516982,-6.410256,0.000000,4.721495
0.020000,11.403865,15.526967,17.682202,1.388777,-6.410256,0.000000,4.720009
0.020000,11.404049,15.500474,17.708696,1.260572,-6.410256,0.000000,4.718661
0.020000,11.404184,15.476545,17.732625,1.132367,-6.410256,0.000000,4.717447
0.020000,11.404281,15.455180,17.753990,1.004161,-6.410256,0.000000,4.716367
0.020000,11.404347,15.436379,17.772791,0.875956,-6.410256,-0.000000,4.715419
0.020000,11.404389,15.420139,17.789029,0.747751,-6.410256,0.000000,4.714603
