dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.033002,24.912652,0.000649,0.064935,3.246753,162.337662,0.000806
0.020000,0.032900,24.912652,0.000751,0.005107,-2.991410,-311.908141,0.000704
0.020000,0.032696,24.912652,0.000956,0.010218,0.255545,162.347714,0.000500
0.020000,0.032389,24.912652,0.001263,0.015337,0.255947,0.020118,0.000193
0.020000,0.037470,24.912651,0.006343,0.254033,11.934816,583.943439,6.282969
0.020000,0.049944,24.912645,0.018817,0.623692,18.482958,327.407087,6.282456
0.020000,0.064913,24.912630,0.033786,0.748459,6.238330,-612.231396,6.281840
0.020000,0.082374,24.912600,0.051248,0.873065,6.230293,-0.401844,6.281120
0.020000,0.102328,24.912551,0.071201,0.997672,6.230350,0.002845,6.280294
0.020000,0.124772,24.912475,0.093646,1.122238,6.228318,-0.101587,6.279362
0.020000,0.149706,24.912367,0.118580,1.246722,6.224182,-0.206796,6.278323
0.020000,0.177130,24.912218,0.146004,1.371206,6.224237,0.002735,6.277176
0.020000,0.207042,24.912019,0.175917,1.495648,6.222081,-0.107775,6.275919
0.020000,0.239440,24.911762,0.208316,1.619923,6.213769,-0.415611,6.274552
0.020000,0.274321,24.911435,0.243198,1.744119,6.209794,-0.198762,6.273072
0.020000,0.311687,24.911027,0.280566,1.868403,6.214184,0.219518,6.271478
0.020000,0.351532,24.910527,0.320415,1.992439,6.201806,-0.618912,6.269768
0.020000,0.393855,24.909920,0.362743,2.116381,6.197119,-0.234328,6.267941
0.020000,0.438656,24.909194,0.407549,2.240342,6.198040,0.046027,6.265994
0.020000,0.485930,24.908332,0.454831,2.364092,6.187491,-0.527434,6.263924
0.020000,0.535673,24.907319,0.504584,2.487640,6.177395,-0.504823,6.261730
0.020000,0.587885,24.906138,0.556810,2.611273,6.181635,0.212012,6.259409
0.020000,0.642560,24.904771,0.611502,2.734621,6.167401,-0.711700,6.256958
0.020000,0.699695,24.903199,0.668659,2.857832,6.160555,-0.342307,6.254375
0.020000,0.759287,24.901400,0.728277,2.980919,6.154364,-0.309534,6.251656
0.020000,0.821329,24.899355,0.790354,3.103832,6.145642,-0.436092,6.248797
0.020000,0.885818,24.897040,0.854884,3.226519,6.134338,-0.565217,6.245796
0.020000,0.952751,24.894431,0.921867,3.349162,6.132184,-0.107677,6.242649
0.020000,1.022118,24.891503,0.991296,3.471438,6.113778,-0.920329,6.239351
0.020000,1.093917,24.888230,1.063170,3.593679,6.112041,-0.086847,6.235899
0.020000,1.168138,24.884583,1.137481,3.715555,6.093803,-0.911868,6.232288
0.020000,1.244776,24.880534,1.214226,3.837245,6.084499,-0.465249,6.228514
0.020000,1.323823,24.876052,1.293399,3.958690,6.072268,-0.611520,6.224571
0.020000,1.405270,24.871105,1.374996,4.079831,6.057040,-0.761400,6.220454
0.020000,1.489109,24.865658,1.459012,4.200802,6.048546,-0.424691,6.216158
0.020000,1.575329,24.859677,1.545439,4.321374,6.028621,-0.996263,6.211677
0.020000,1.663922,24.853124,1.634274,4.441738,6.018180,-0.522026,6.207004
0.020000,1.754874,24.845959,1.725508,4.561674,5.996826,-1.067725,6.202134
0.020000,1.848173,24.838143,1.819134,4.681312,5.981871,-0.747737,6.197059
0.020000,1.943807,24.829632,1.915146,4.800580,5.963420,-0.922546,6.191772
0.020000,2.041759,24.820381,2.013534,4.919408,5.941384,-1.101799,6.186265
0.020000,2.142018,24.810344,2.114294,5.038005,5.929871,-0.575649,6.180531
0.020000,2.244562,24.799472,2.217412,5.155924,5.895958,-1.695648,6.174560
0.020000,2.349377,24.787712,2.322885,5.273645,5.886003,-0.497788,6.168344
0.020000,2.456441,24.775013,2.430700,5.390737,5.854629,-1.568668,6.161873
0.020000,2.565733,24.761316,2.540846,5.507322,5.829242,-1.269353,6.155137
0.020000,2.677231,24.746564,2.653316,5.623476,5.807715,-1.076362,6.148126
0.020000,2.790909,24.730696,2.768096,5.739009,5.776622,-1.554635,6.140828
0.020000,2.906739,24.713647,2.885175,5.853933,5.746230,-1.519627,6.133232
0.020000,3.024693,24.695350,3.004539,5.968234,5.715017,-1.560623,6.125325
0.020000,3.144740,24.675735,3.126179,6.081955,5.686074,-1.447165,6.117094
0.020000,3.266847,24.654729,3.250079,6.195000,5.652242,-1.691604,6.108527
0.020000,3.390974,24.632257,3.376224,6.307269,5.613472,-1.938511,6.099607
0.020000,3.517082,24.608239,3.504599,6.418740,5.573514,-1.997873,6.090321
0.020000,3.645130,24.582591,3.635190,6.529547,5.540374,-1.657014,6.080652
0.020000,3.775070,24.555229,3.767979,6.639476,5.496429,-2.197260,6.070585
0.020000,3.906851,24.526062,3.902949,6.748505,5.451453,-2.248796,6.060102
0.020000,4.040419,24.494996,4.040083,6.856680,5.408735,-2.135880,6.049184
0.020000,4.175717,24.461935,4.179362,6.963960,5.364028,-2.235386,6.037814
0.020000,4.312681,24.426777,4.320766,7.070178,5.310919,-2.655408,6.025972
0.020000,4.451242,24.389419,4.464274,7.175432,5.262699,-2.410997,6.013638
0.020000,4.591327,24.349751,4.609868,7.279689,5.212843,-2.492801,6.000790
0.020000,4.732858,24.307662,4.757525,7.382846,5.157851,-2.749623,5.987410
0.020000,4.875750,24.263036,4.907223,7.484897,5.102522,-2.766439,5.973473
0.020000,5.019911,24.215752,5.058941,7.585892,5.049783,-2.636943,5.958959
0.020000,5.165245,24.165687,5.212656,7.685781,4.994412,-2.768583,5.943844
0.020000,5.311647,24.112715,5.368347,7.784512,4.936578,-2.891704,5.928108
0.020000,5.459006,24.056704,5.525991,7.882229,4.885823,-2.537728,5.911728
0.020000,5.607200,23.997524,5.685565,7.978715,4.824299,-3.076178,5.894681
0.020000,5.756106,23.935036,5.847051,8.074278,4.778158,-2.307071,5.876948
0.020000,5.905587,23.869102,6.010428,8.168832,4.727711,-2.522357,5.858509
0.020000,6.055502,23.799581,6.175678,8.262515,4.684138,-2.178644,5.839346
0.020000,6.205699,23.726333,6.342784,8.355290,4.638757,-2.269057,5.819442
0.020000,6.356020,23.649211,6.511734,8.447506,4.610808,-1.397457,5.798784
0.020000,6.506298,23.568074,6.682517,8.539134,4.581396,-1.470569,5.777363
0.020000,6.656359,23.482777,6.855125,8.630442,4.565397,-0.799956,5.755170
0.020000,6.806021,23.393176,7.029560,8.721712,4.563503,-0.094713,5.732205
0.020000,6.954617,23.299441,7.205249,8.784475,3.138154,-71.267438,5.708549
0.020000,7.101036,23.202107,7.381069,8.790982,0.325355,-140.639978,5.684373
0.020000,7.244700,23.101468,7.556476,8.770337,-1.032238,-67.879645,5.659784
0.020000,7.385523,22.997525,7.731505,8.751473,-0.943246,4.449616,5.634818
0.020000,7.523422,22.890282,7.906197,8.734593,-0.843967,4.963937,5.609515
0.020000,7.658320,22.779750,8.080595,8.719890,-0.735138,5.441475,5.583918
0.020000,7.790143,22.665947,8.254745,8.707539,-0.617551,5.879310,5.558073
0.020000,7.918823,22.548894,8.428699,8.697688,-0.492564,6.249356,5.532032
0.020000,8.044298,22.428621,8.602508,8.690460,-0.361397,6.558375,5.505846
0.020000,8.166511,22.305161,8.776228,8.685954,-0.225323,6.803704,5.479571
0.020000,8.285412,22.178556,8.949912,8.684228,-0.086301,6.951090,5.453260
0.020000,8.400956,22.048851,9.123618,8.685305,0.053884,7.009262,5.426972
0.020000,8.512806,21.916462,9.296931,8.665648,-0.982868,-51.837616,5.400831
0.020000,8.620321,21.782287,9.468868,8.596839,-3.440438,-122.878487,5.375046
0.020000,8.723171,21.646993,9.638817,8.497437,-4.970103,-76.483245,5.349763
0.020000,8.821410,21.510827,9.806722,8.395268,-5.108467,-6.918237,5.325033
0.020000,8.915157,21.373958,9.972618,8.294787,-5.024066,4.220067,5.300891
0.020000,9.004534,21.236556,10.136531,8.195676,-4.955524,3.427123,5.277363
0.020000,9.089665,21.098786,10.298482,8.097515,-4.908035,2.374430,5.254470
0.020000,9.170682,20.960807,10.458487,8.000281,-4.861702,2.316674,5.232229
0.020000,9.247712,20.822777,10.616557,7.903509,-4.838605,1.154849,5.210650
0.020000,9.320889,20.684845,10.772698,7.807025,-4.824204,0.720028,5.189739
0.020000,9.390344,20.547158,10.926912,7.710707,-4.815907,0.414830,5.169497
0.020000,9.456210,20.409856,11.079195,7.614152,-4.827746,-0.591922,5.149923
0.020000,9.518618,20.273071,11.229544,7.517450,-4.835097,-0.367576,5.131012
0.020000,9.577701,20.136933,11.377950,7.420318,-4.856631,-1.076688,5.112754
0.020000,9.633588,20.001561,11.524404,7.322702,-4.880776,-1.207241,5.095141
0.020000,9.686405,19.867075,11.668891,7.224305,-4.919866,-1.954497,5.078160
0.020000,9.736281,19.733580,11.811398,7.125368,-4.946848,-1.349121,5.061795
0.020000,9.783338,19.601182,11.951911,7.025637,-4.986552,-1.985181,5.046034
0.020000,9.827698,19.469975,12.090413,6.925133,-5.025160,-1.930392,5.030858
0.020000,9.869478,19.340055,12.226886,6.823642,-5.074565,-2.470242,5.016252
0.020000,9.908795,19.211503,12.361316,6.721492,-5.107496,-1.646576,5.002198
0.020000,9.945759,19.084402,12.493683,6.618327,-5.158267,-2.538526,4.988679
0.020000,9.980481,18.958829,12.623967,6.514242,-5.204228,-2.298065,4.975677
0.020000,10.013065,18.834853,12.752154,6.409351,-5.244545,-2.015856,4.963175
0.020000,10.043615,18.712536,12.878229,6.303730,-5.281097,-1.827611,4.951154
0.020000,10.072228,18.591944,13.002169,6.196983,-5.337346,-2.812438,4.939599
0.020000,10.099001,18.473132,13.123960,6.089569,-5.370687,-1.667046,4.928492
0.020000,10.124026,18.356151,13.243587,5.981359,-5.410502,-1.990757,4.917817
0.020000,10.147391,18.241054,13.361032,5.872264,-5.454723,-2.211034,4.907559
0.020000,10.169182,18.127884,13.476281,5.762410,-5.492708,-1.899261,4.897701
0.020000,10.189481,18.016684,13.589319,5.651892,-5.525914,-1.660317,4.888230
0.020000,10.208368,17.907493,13.700132,5.540654,-5.561888,-1.798689,4.879130
0.020000,10.225919,17.800347,13.808705,5.428651,-5.600142,-1.912695,4.870389
0.020000,10.242205,17.695282,13.915025,5.316003,-5.632395,-1.612631,4.861993
0.020000,10.257298,17.592326,14.019081,5.202832,-5.658572,-1.308866,4.853929
0.020000,10.271264,17.491510,14.120860,5.088914,-5.695878,-1.865295,4.846185
0.020000,10.284169,17.392858,14.220352,4.974622,-5.714628,-0.937505,4.838750
0.020000,10.296072,17.296401,14.317542,4.859475,-5.757368,-2.136993,4.831613
0.020000,10.307033,17.202155,14.412422,4.744029,-5.772256,-0.744430,4.824764
0.020000,10.317110,17.110144,14.504983,4.628047,-5.799138,-1.344063,4.818191
0.020000,10.326355,17.020391,14.595212,4.511427,-5.830970,-1.591636,4.811886
0.020000,10.334820,16.932906,14.683105,4.394656,-5.838568,-0.379875,4.805840
0.020000,10.342555,16.847714,14.768648,4.277157,-5.874953,-1.819246,4.800044
0.020000,10.349607,16.764823,14.851838,4.159489,-5.883406,-0.422634,4.794490
0.020000,10.356021,16.684252,14.932664,4.041314,-5.908732,-1.266311,4.789169
0.020000,10.361839,16.606013,15.011118,3.922725,-5.929444,-1.035632,4.784076
0.020000,10.367103,16.530119,15.087195,3.803813,-5.945593,-0.807419,4.779202
0.020000,10.371851,16.456579,15.160888,3.684669,-5.957239,-0.582313,4.774541
0.020000,10.376121,16.385405,15.232191,3.565133,-5.976773,-0.976705,4.770087
0.020000,10.379948,16.316605,15.301096,3.445285,-5.992384,-0.780543,4.765833
0.020000,10.383365,16.250191,15.367599,3.325115,-6.008496,-0.805607,4.761775
0.020000,10.386405,16.186167,15.431695,3.204799,-6.015804,-0.365393,4.757907
0.020000,10.389098,16.124542,15.493378,3.084170,-6.031489,-0.784244,4.754224
0.020000,10.391473,16.065324,15.552644,2.963304,-6.043282,-0.589655,4.750720
0.020000,10.393557,16.008516,15.609490,2.842279,-6.051237,-0.397767,4.747393
0.020000,10.395376,15.954128,15.663908,2.720921,-6.067921,-0.834168,4.744237
0.020000,10.396953,15.902164,15.715896,2.599398,-6.076123,-0.410128,4.741248
0.020000,10.398313,15.852628,15.765451,2.477737,-6.083077,-0.347700,4.738423
0.020000,10.399477,15.805523,15.812571,2.355980,-6.087817,-0.237007,4.735759
0.020000,10.400465,15.760855,15.857249,2.233933,-6.102396,-0.728942,4.733251
0.020000,10.401296,15.718629,15.899483,2.111713,-6.110953,-0.427837,4.730898
0.020000,10.401989,15.678849,15.939270,1.989338,-6.118760,-0.390369,4.728696
0.020000,10.402559,15.641515,15.976608,1.866875,-6.123174,-0.220683,4.726642
0.020000,10.403023,15.606630,16.011496,1.744414,-6.123021,0.007664,4.724735
0.020000,10.403395,15.574198,16.043931,1.621739,-6.133762,-0.537075,4.722971
0.020000,10.403688,15.544220,16.073910,1.498943,-6.139827,-0.303254,4.721349
0.020000,10.403914,15.516701,16.101430,1.375999,-6.147192,-0.368257,4.719867
