dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.357117,1.265058,0.000650,0.064982,3.249116,162.455807,6.283062
0.020000,0.357117,1.265058,0.003249,0.194947,6.498232,162.455807,6.283091
0.020000,0.357117,1.265058,0.008448,0.324912,6.498232,-0.000000,6.283150
0.020000,0.361876,1.265058,0.016246,0.454876,6.498232,0.000000,0.000055
0.020000,0.372273,1.265059,0.026643,0.584841,6.498232,-0.000000,0.000176
0.020000,0.385269,1.265062,0.039639,0.714806,6.498232,0.000000,0.000331
0.020000,0.400865,1.265069,0.055235,0.844770,6.498232,-0.000000,0.000521
0.020000,0.419060,1.265080,0.073430,0.974735,6.498232,0.000000,0.000748
0.020000,0.439854,1.265099,0.094224,1.104699,6.498232,-0.000000,0.001016
0.020000,0.463248,1.265126,0.117618,1.234664,6.498232,0.000000,0.001326
0.020000,0.489241,1.265165,0.143611,1.364629,6.498232,0.000000,0.001684
0.020000,0.517833,1.265219,0.172203,1.494593,6.498232,-0.000000,0.002092
0.020000,0.549024,1.265292,0.203395,1.624558,6.498232,0.000000,0.002556
0.020000,0.582815,1.265387,0.237185,1.754523,6.498232,0.000000,0.003079
0.020000,0.619205,1.265510,0.273576,1.884487,6.498232,0.000000,0.003668
0.020000,0.658194,1.265665,0.312565,2.014452,6.498232,-0.000000,0.004327
0.020000,0.699782,1.265860,0.354154,2.144417,6.498232,0.000000,0.005062
0.020000,0.743970,1.266102,0.398342,2.274381,6.498232,-0.000000,0.005881
0.020000,0.790756,1.266398,0.445129,2.404346,6.498232,0.000000,0.006791
0.020000,0.840141,1.266758,0.494515,2.534311,6.498232,0.000000,0.007798
0.020000,0.892125,1.267192,0.546501,2.664275,6.498232,0.000000,0.008911
0.020000,0.946708,1.267712,0.601086,2.794240,6.498232,0.000000,0.010138
0.020000,1.003889,1.268330,0.658271,2.924205,6.498232,0.000000,0.011489
0.020000,1.063668,1.269061,0.718055,3.054169,6.498232,0.000000,0.012973
0.020000,1.126046,1.269921,0.780438,3.184134,6.498232,0.000000,0.014601
0.020000,1.191020,1.270927,0.845420,3.314098,6.498232,-0.000000,0.016384
0.020000,1.258591,1.272099,0.913002,3.444063,6.498232,0.000000,0.018333
0.020000,1.328759,1.273460,0.983183,3.574028,6.498232,0.000000,0.020462
0.020000,1.401523,1.275033,1.055963,3.703992,6.498232,0.000000,0.022783
0.020000,1.476880,1.276844,1.131342,3.833957,6.498232,0.000000,0.025311
0.020000,1.554831,1.278924,1.209321,3.963922,6.498232,0.000000,0.028060
0.020000,1.635374,1.281304,1.289899,4.093886,6.498232,0.000000,0.031048
0.020000,1.718507,1.284020,1.373076,4.223851,6.498232,0.000000,0.034292
0.020000,1.804228,1.287110,1.458853,4.353816,6.498232,-0.000000,0.037810
0.020000,1.892535,1.290618,1.547229,4.483780,6.498232,0.000000,0.041622
0.020000,1.983423,1.294589,1.638204,4.613745,6.498232,-0.000000,0.045749
0.020000,2.076890,1.299076,1.731779,4.743710,6.498232,0.000000,0.050215
0.020000,2.172931,1.304133,1.827953,4.873674,6.498232,0.000000,0.055045
0.020000,2.271540,1.309822,1.926726,5.003639,6.498232,-0.000000,0.060264
0.020000,2.372710,1.316211,2.028098,5.133604,6.498232,0.000000,0.065902
0.020000,2.476435,1.323371,2.132070,5.263568,6.498232,-0.000000,0.071990
0.020000,2.582704,1.331382,2.238641,5.393533,6.498232,0.000000,0.078561
0.020000,2.691507,1.340332,2.347811,5.523497,6.498232,-0.000000,0.085652
0.020000,2.802830,1.350316,2.459581,5.653462,6.498232,0.000000,0.093302
0.020000,2.916656,1.361437,2.573950,5.783427,6.498232,0.000000,0.101554
0.020000,3.032968,1.373808,2.690918,5.913391,6.498232,-0.000000,0.110456
0.020000,3.151742,1.387554,2.810485,6.043356,6.498232,0.000000,0.120056
0.020000,3.272953,1.402807,2.932652,6.173321,6.498232,-0.000000,0.130411
0.020000,3.396567,1.419716,3.057418,6.303285,6.498232,0.000000,0.141581
0.020000,3.522548,1.438441,3.184784,6.433250,6.498232,-0.000000,0.153630
0.020000,3.650850,1.459155,3.314748,6.563215,6.498232,0.000000,0.166630
0.020000,3.781420,1.482050,3.447312,6.693179,6.498232,-0.000000,0.180657
0.020000,3.914197,1.507331,3.582475,6.823144,6.498232,0.000000,0.195794
0.020000,4.049105,1.535224,3.720238,6.953109,6.498232,0.000000,0.212132
0.020000,4.186055,1.565973,3.860600,7.083073,6.498232,-0.000000,0.229766
0.020000,4.324944,1.599843,4.003561,7.213038,6.498232,0.000000,0.248801
0.020000,4.465648,1.637118,4.149121,7.343002,6.498232,-0.000000,0.269344
0.020000,4.608022,1.678108,4.297281,7.472967,6.498232,0.000000,0.291511
0.020000,4.751894,1.723141,4.448040,7.602932,6.498232,-0.000000,0.315421
0.020000,4.897063,1.772571,4.601398,7.732896,6.498232,0.000000,0.341192
0.020000,5.043295,1.826769,4.757356,7.862861,6.498232,0.000000,0.368945
0.020000,5.190315,1.886128,4.915913,7.992826,6.498232,-0.000000,0.398791
0.020000,5.337807,1.951053,5.077069,8.122790,6.498232,0.000000,0.430832
