dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.357149,0.265058,0.000641,0.064103,3.205128,160.256410,0.000031
0.020000,0.357141,0.265058,0.000649,0.000385,-3.185862,-319.549523,0.000024
0.020000,0.357126,0.265058,0.000664,0.000748,0.018150,160.200633,0.000009
0.020000,0.361775,0.265058,0.005312,0.232437,11.584422,578.313560,6.283173
0.020000,0.372005,0.265057,0.015542,0.511503,13.953298,118.443813,6.283146
0.020000,0.384796,0.265057,0.028333,0.639545,6.402131,-377.558350,6.283117
0.020000,0.400150,0.265055,0.043687,0.767700,6.407748,0.280838,6.283086
0.020000,0.418069,0.265053,0.061607,0.895988,6.414379,0.331567,6.283057
0.020000,0.438558,0.265050,0.082096,1.024433,6.422233,0.392691,6.283033
0.020000,0.461619,0.265047,0.105157,1.153055,6.431107,0.443730,6.283017
0.020000,0.487257,0.265042,0.130794,1.281878,6.441152,0.502227,6.283013
0.020000,0.515475,0.265038,0.159013,1.410923,6.452279,0.556332,6.283027
0.020000,0.546279,0.265033,0.189817,1.540215,6.464590,0.615549,6.283062
0.020000,0.579675,0.265030,0.223213,1.669774,6.477934,0.667243,6.283124
0.020000,0.615667,0.265030,0.259205,1.799623,6.492445,0.725527,0.000034
0.020000,0.654263,0.265033,0.297801,1.929785,6.508131,0.784305,0.000168
0.020000,0.695469,0.265044,0.339007,2.060285,6.525007,0.843815,0.000348
0.020000,0.739292,0.265064,0.382829,2.191145,6.542989,0.899093,0.000581
0.020000,0.785739,0.265098,0.429277,2.322388,6.562131,0.957078,0.000875
0.020000,0.834820,0.265149,0.478358,2.454037,6.582459,1.016396,0.001238
0.020000,0.886543,0.265224,0.530081,2.586131,6.604685,1.111321,0.001678
0.020000,0.940916,0.265330,0.584454,2.718672,6.627045,1.118005,0.002205
0.020000,0.997950,0.265473,0.641488,2.851706,6.651742,1.234824,0.002829
0.020000,1.057655,0.265663,0.701193,2.985258,6.677591,1.292480,0.003560
0.020000,1.120041,0.265911,0.763580,3.119347,6.704431,1.341965,0.004409
