dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.378298,25.494896,0.000625,0.062500,3.125000,156.250000,6.282266
0.020000,1.378298,25.494896,0.003125,0.187500,6.250000,156.250000,6.282420
0.020000,1.378298,25.494896,0.008125,0.312500,6.250000,0.000000,6.282729
0.020000,1.378365,25.494896,0.015625,0.437500,6.250000,0.000000,0.000004
0.020000,1.388364,25.494899,0.025625,0.562500,6.250000,0.000000,0.000616
0.020000,1.400864,25.494912,0.038125,0.687500,6.250000,0.000000,0.001377
0.020000,1.415864,25.494939,0.053125,0.812500,6.250000,0.000000,0.002284
0.020000,1.433363,25.494988,0.070625,0.937500,6.250000,0.000000,0.003335
0.020000,1.452739,25.495064,0.090000,1.000000,3.125000,-156.250000,0.004488
0.020000,1.472739,25.495166,0.110000,1.000000,0.000000,-156.250000,0.005667
0.020000,1.492738,25.495291,0.130000,1.000000,0.000000,0.000000,0.006834
0.020000,1.512737,25.495439,0.150000,1.000000,0.000000,0.000000,0.007991
0.020000,1.532737,25.495610,0.170000,1.000000,0.000000,0.000000,0.009137
0.020000,1.552736,25.495804,0.190000,1.000000,0.000000,0.000000,0.010271
0.020000,1.572734,25.496021,0.210000,1.000000,0.000000,0.000000,0.011395
0.020000,1.592733,25.496260,0.230000,1.000000,0.000000,0.000000,0.012508
0.020000,1.612732,25.496521,0.250000,1.000000,0.000000,0.000000,0.013610
0.020000,1.632729,25.496804,0.270000,1.000000,0.000000,0.000000,0.014701
0.020000,1.652727,25.497109,0.290000,1.000000,0.000000,0.000000,0.015781
0.020000,1.672725,25.497435,0.310000,1.000000,0.000000,0.000000,0.016851
0.020000,1.692722,25.497783,0.330000,1.000000,0.000000,0.000000,0.017910
0.020000,1.712718,25.498152,0.350000,1.000000,0.000000,0.000000,0.018959
0.020000,1.732714,25.498541,0.370000,1.000000,0.000000,0.000000,0.019997
0.020000,1.752711,25.498951,0.390000,1.000000,0.000000,0.000000,0.021024
0.020000,1.772706,25.499382,0.410000,1.000000,0.000000,0.000000,0.022042
0.020000,1.792700,25.499833,0.430000,1.000000,0.000000,0.000000,0.023049
0.020000,1.812695,25.500304,0.450000,1.000000,0.000000,0.000000,0.024045
0.020000,1.832689,25.500795,0.470000,1.000000,0.000000,0.000000,0.025032
0.020000,1.852682,25.501305,0.490000,1.000000,0.000000,0.000000,0.026008
0.020000,1.872675,25.501835,0.510000,1.000000,0.000000,0.000000,0.026974
0.020000,1.892668,25.502384,0.530000,1.000000,0.000000,0.000000,0.027930
0.020000,1.912660,25.502952,0.550000,1.000000,0.000000,0.000000,0.028876
0.020000,1.932651,25.503539,0.570000,1.000000,0.000000,0.000000,0.029812
0.020000,1.952642,25.504144,0.590000,1.000000,0.000000,0.000000,0.030738
0.020000,1.972632,25.504768,0.610000,1.000000,0.000000,0.000000,0.031655
0.020000,1.992622,25.505410,0.630000,1.000000,0.000000,0.000000,0.032561
0.020000,2.012611,25.506070,0.650000,1.000000,0.000000,0.000000,0.033458
0.020000,2.032599,25.506748,0.670000,1.000000,0.000000,0.000000,0.034345
0.020000,2.052588,25.507443,0.690000,1.000000,0.000000,0.000000,0.035222
0.020000,2.072575,25.508156,0.710000,1.000000,0.000000,0.000000,0.036090
0.020000,2.092561,25.508887,0.730000,1.000000,0.000000,0.000000,0.036948
0.020000,2.112547,25.509634,0.750000,1.000000,0.000000,0.000000,0.037796
0.020000,2.132533,25.510398,0.770000,1.000000,0.000000,0.000000,0.038635
0.020000,2.152518,25.511179,0.790000,1.000000,0.000000,0.000000,0.039465
0.020000,2.172502,25.511976,0.810000,1.000000,0.000000,0.000000,0.040285
0.020000,2.192485,25.512790,0.830000,1.000000,0.000000,0.000000,0.041095
0.020000,2.212468,25.513620,0.850000,1.000000,0.000000,0.000000,0.041897
0.020000,2.232450,25.514465,0.870000,1.000000,0.000000,0.000000,0.042689
0.020000,2.252431,25.515326,0.890000,1.000000,0.000000,0.000000,0.043472
0.020000,2.272412,25.516203,0.910000,1.000000,0.000000,0.000000,0.044245
0.020000,2.292393,25.517096,0.930000,1.000000,0.000000,0.000000,0.045010
0.020000,2.312372,25.518003,0.950000,1.000000,0.000000,0.000000,0.045765
0.020000,2.332350,25.518926,0.970000,1.000000,0.000000,0.000000,0.046511
0.020000,2.352329,25.519863,0.990000,1.000000,0.000000,0.000000,0.047248
0.020000,2.372306,25.520815,1.010000,1.000000,0.000000,0.000000,0.047976
0.020000,2.392283,25.521781,1.030000,1.000000,0.000000,0.000000,0.048695
0.020000,2.412258,25.522762,1.050000,1.000000,0.000000,0.000000,0.049406
0.020000,2.432234,25.523756,1.070000,1.000000,0.000000,0.000000,0.050107
0.020000,2.452209,25.524765,1.090000,1.000000,0.000000,0.000000,0.050799
0.020000,2.472182,25.525787,1.110000,1.000000,0.000000,0.000000,0.051483
0.020000,2.492155,25.526823,1.130000,1.000000,0.000000,0.000000,0.052158
0.020000,2.512128,25.527873,1.150000,1.000000,0.000000,0.000000,0.052824
0.020000,2.532100,25.528935,1.170000,1.000000,0.000000,0.000000,0.053481
0.020000,2.552071,25.530011,1.190000,1.000000,0.000000,0.000000,0.054130
0.020000,2.572041,25.531099,1.210000,1.000000,0.000000,0.000000,0.054770
0.020000,2.592011,25.532201,1.230000,1.000000,0.000000,0.000000,0.055401
0.020000,2.611980,25.533314,1.250000,1.000000,0.000000,0.000000,0.056024
0.020000,2.631948,25.534440,1.270000,1.000000,0.000000,0.000000,0.056638
0.020000,2.651916,25.535578,1.290000,1.000000,0.000000,0.000000,0.057243
0.020000,2.671882,25.536729,1.310000,1.000000,0.000000,0.000000,0.057840
0.020000,2.691849,25.537891,1.330000,1.000000,0.000000,0.000000,0.058429
0.020000,2.711815,25.539064,1.350000,1.000000,0.000000,0.000000,0.059009
0.020000,2.731779,25.540250,1.370000,1.000000,0.000000,0.000000,0.059581
0.020000,2.751743,25.541446,1.390000,1.000000,0.000000,0.000000,0.060144
0.020000,2.771707,25.542654,1.410000,1.000000,0.000000,0.000000,0.060699
0.020000,2.791670,25.543873,1.430000,1.000000,0.000000,0.000000,0.061246
0.020000,2.811632,25.545102,1.450000,1.000000,0.000000,0.000000,0.061784
0.020000,2.831593,25.546342,1.470000,1.000000,0.000000,0.000000,0.062314
0.020000,2.851554,25.547593,1.490000,1.000000,0.000000,0.000000,0.062836
0.020000,2.871515,25.548854,1.510000,1.000000,0.000000,0.000000,0.063350
0.020000,2.891474,25.550125,1.530000,1.000000,0.000000,0.000000,0.063855
0.020000,2.911433,25.551407,1.550000,1.000000,0.000000,0.000000,0.064353
0.020000,2.931391,25.552698,1.570000,1.000000,0.000000,0.000000,0.064842
0.020000,2.951349,25.553998,1.590000,1.000000,0.000000,0.000000,0.065323
0.020000,2.971306,25.555309,1.610000,1.000000,0.000000,0.000000,0.065796
0.020000,2.991262,25.556628,1.630000,1.000000,0.000000,0.000000,0.066260
0.020000,3.011218,25.557957,1.650000,1.000000,0.000000,0.000000,0.066717
0.020000,3.031174,25.559295,1.670000,1.000000,0.000000,0.000000,0.067166
0.020000,3.051128,25.560642,1.690000,1.000000,0.000000,0.000000,0.067607
0.020000,3.071082,25.561997,1.710000,1.000000,0.000000,0.000000,0.068040
0.020000,3.091035,25.563361,1.730000,1.000000,0.000000,0.000000,0.068464
0.020000,3.110989,25.564733,1.750000,1.000000,0.000000,0.000000,0.068881
0.020000,3.130941,25.566114,1.770000,1.000000,0.000000,0.000000,0.069290
0.020000,3.150892,25.567503,1.790000,1.000000,0.000000,0.000000,0.069691
0.020000,3.170844,25.568899,1.810000,1.000000,0.000000,0.000000,0.070085
0.020000,3.190794,25.570304,1.830000,1.000000,0.000000,0.000000,0.070470
0.020000,3.210745,25.571716,1.850000,1.000000,0.000000,0.000000,0.070847
0.020000,3.230694,25.573135,1.870000,1.000000,0.000000,0.000000,0.071217
0.020000,3.250643,25.574562,1.890000,1.000000,0.000000,0.000000,0.071579
0.020000,3.270592,25.575996,1.910000,1.000000,0.000000,0.000000,0.071933
0.020000,3.290540,25.577437,1.930000,1.000000,0.000000,0.000000,0.072280
0.020000,3.310487,25.578885,1.950000,1.000000,0.000000,0.000000,0.072618
0.020000,3.330434,25.580339,1.970000,1.000000,0.000000,0.000000,0.072949
0.020000,3.350381,25.581800,1.990000,1.000000,0.000000,0.000000,0.073272
0.020000,3.370327,25.583267,2.010000,1.000000,0.000000,0.000000,0.073588
0.020000,3.390273,25.584741,2.030000,1.000000,0.000000,0.000000,0.073895
0.020000,3.410218,25.586220,2.050000,1.000000,0.000000,0.000000,0.074196
0.020000,3.430162,25.587706,2.070000,1.000000,0.000000,0.000000,0.074488
0.020000,3.450107,25.589197,2.090000,1.000000,0.000000,0.000000,0.074773
0.020000,3.470051,25.590694,2.110000,1.000000,0.000000,0.000000,0.075050
0.020000,3.489994,25.592196,2.130000,1.000000,0.000000,0.000000,0.075320
0.020000,3.509937,25.593704,2.150000,1.000000,0.000000,0.000000,0.075582
0.020000,3.529880,25.595217,2.170000,1.000000,0.000000,0.000000,0.075836
0.020000,3.549823,25.596734,2.190000,1.000000,0.000000,0.000000,0.076083
0.020000,3.569765,25.598257,2.210000,1.000000,0.000000,0.000000,0.076322
0.020000,3.589706,25.599784,2.230000,1.000000,0.000000,0.000000,0.076554
0.020000,3.609647,25.601316,2.250000,1.000000,0.000000,0.000000,0.076778
0.020000,3.629588,25.602852,2.270000,1.000000,0.000000,0.000000,0.076995
0.020000,3.649529,25.604393,2.290000,1.000000,0.000000,0.000000,0.077204
0.020000,3.669469,25.605937,2.310000,1.000000,0.000000,0.000000,0.077406
0.020000,3.689409,25.607486,2.330000,1.000000,0.000000,0.000000,0.077600
0.020000,3.709349,25.609038,2.350000,1.000000,0.000000,0.000000,0.077787
0.020000,3.729288,25.610594,2.370000,1.000000,0.000000,0.000000,0.077966
0.020000,3.749227,25.612154,2.390000,1.000000,0.000000,0.000000,0.078138
0.020000,3.769166,25.613716,2.410000,1.000000,0.000000,0.000000,0.078303
0.020000,3.789105,25.615282,2.430000,1.000000,0.000000,0.000000,0.078459
0.020000,3.809043,25.616852,2.450000,1.000000,0.000000,0.000000,0.078609
0.020000,3.828981,25.618424,2.470000,1.000000,0.000000,0.000000,0.078751
0.020000,3.848919,25.619998,2.490000,1.000000,0.000000,0.000000,0.078886
0.020000,3.868857,25.621576,2.510000,1.000000,0.000000,0.000000,0.079013
0.020000,3.888794,25.623155,2.530000,1.000000,0.000000,0.000000,0.079133
0.020000,3.908732,25.624738,2.550000,1.000000,0.000000,0.000000,0.079245
0.020000,3.928669,25.626322,2.570000,1.000000,0.000000,0.000000,0.079350
0.020000,3.948606,25.627908,2.590000,1.000000,0.000000,0.000000,0.079448
0.020000,3.968543,25.629496,2.610000,1.000000,0.000000,0.000000,0.079538
0.020000,3.988480,25.631086,2.630000,1.000000,0.000000,0.000000,0.079621
0.020000,4.008416,25.632678,2.650000,1.000000,0.000000,0.000000,0.079696
0.020000,4.028353,25.634271,2.670000,1.000000,0.000000,0.000000,0.079764
0.020000,4.048289,25.635865,2.690000,1.000000,0.000000,0.000000,0.079825
