dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.377379,24.494896,0.000625,0.062500,3.125000,156.250000,6.282266
0.020000,1.377533,24.494896,0.000779,0.007714,-2.739299,-293.214972,6.282420
0.020000,1.377842,24.494896,0.001087,0.015403,0.384450,156.187475,6.282729
0.020000,1.378369,24.494896,0.001614,0.026355,0.547605,8.157766,0.000004
0.020000,1.388980,24.494899,0.012225,0.530552,25.209825,1233.110974,0.000616
0.020000,1.402241,24.494912,0.025486,0.663046,6.624714,-929.255539,0.001377
0.020000,1.418148,24.494942,0.041394,0.795367,6.616045,-0.433441,0.002284
0.020000,1.436698,24.494994,0.059944,0.927521,6.607712,-0.416649,0.003335
0.020000,1.457226,24.495074,0.080472,1.026411,4.944499,-83.160680,0.004488
0.020000,1.478406,24.495182,0.101652,1.058975,1.628194,-165.815220,0.005667
0.020000,1.499572,24.495314,0.122819,1.058354,-0.031038,-82.961590,0.006834
0.020000,1.520728,24.495471,0.143976,1.057831,-0.026139,0.244927,0.007991
0.020000,1.541874,24.495652,0.165122,1.057311,-0.026027,0.005585,0.009137
0.020000,1.563007,24.495857,0.186256,1.056717,-0.029672,-0.182236,0.010271
0.020000,1.584129,24.496086,0.207379,1.056161,-0.027834,0.091924,0.011395
0.020000,1.605240,24.496338,0.228492,1.055648,-0.025626,0.110379,0.012508
0.020000,1.626341,24.496614,0.249595,1.055134,-0.025707,-0.004037,0.013610
0.020000,1.647430,24.496912,0.270685,1.054517,-0.030858,-0.257546,0.014701
0.020000,1.668507,24.497234,0.291766,1.054012,-0.025236,0.281083,0.015781
0.020000,1.689575,24.497577,0.312836,1.053510,-0.025133,0.005149,0.016851
0.020000,1.710631,24.497943,0.333895,1.052967,-0.027132,-0.099930,0.017910
0.020000,1.731675,24.498331,0.354943,1.052402,-0.028241,-0.055458,0.018959
0.020000,1.752710,24.498741,0.375981,1.051907,-0.024758,0.174144,0.019997
0.020000,1.773733,24.499172,0.397010,1.051414,-0.024660,0.004905,0.021024
0.020000,1.794745,24.499625,0.418027,1.050849,-0.028227,-0.178370,0.022042
0.020000,1.815747,24.500099,0.439033,1.050329,-0.025995,0.111587,0.023049
0.020000,1.836738,24.500593,0.460030,1.049843,-0.024299,0.084807,0.024045
0.020000,1.857719,24.501108,0.481017,1.049359,-0.024206,0.004666,0.025032
0.020000,1.878687,24.501643,0.501993,1.048779,-0.029019,-0.240631,0.026008
0.020000,1.899646,24.502199,0.522959,1.048297,-0.024096,0.246123,0.026974
0.020000,1.920594,24.502774,0.543915,1.047820,-0.023860,0.011808,0.027930
0.020000,1.941533,24.503369,0.564862,1.047324,-0.024779,-0.045949,0.028876
0.020000,1.962459,24.503983,0.585797,1.046774,-0.027516,-0.136848,0.029812
0.020000,1.983375,24.504616,0.606723,1.046303,-0.023525,0.199558,0.030738
0.020000,2.004282,24.505269,0.627640,1.045835,-0.023439,0.004260,0.031655
0.020000,2.025178,24.505940,0.648546,1.045330,-0.025241,-0.090085,0.032561
0.020000,2.046063,24.506630,0.669443,1.044809,-0.026018,-0.038865,0.033458
0.020000,2.066938,24.507338,0.690330,1.044347,-0.023118,0.145007,0.034345
0.020000,2.087803,24.508064,0.711207,1.043886,-0.023038,0.004033,0.035222
0.020000,2.108657,24.508808,0.732075,1.043377,-0.025471,-0.121691,0.036090
0.020000,2.129501,24.509569,0.752932,1.042881,-0.024794,0.033893,0.036948
0.020000,2.150335,24.510348,0.773781,1.042426,-0.022730,0.103163,0.037796
0.020000,2.171159,24.511144,0.794620,1.041973,-0.022654,0.003811,0.038635
0.020000,2.191972,24.511958,0.815450,1.041463,-0.025495,-0.142024,0.039465
0.020000,2.212775,24.512788,0.836269,1.040987,-0.023816,0.083933,0.040285
0.020000,2.233569,24.513634,0.857080,1.040540,-0.022360,0.072774,0.041095
0.020000,2.254353,24.514497,0.877882,1.040094,-0.022289,0.003594,0.041897
0.020000,2.275126,24.515376,0.898674,1.039587,-0.025335,-0.152323,0.042689
0.020000,2.295889,24.516271,0.919456,1.039126,-0.023060,0.113736,0.043472
0.020000,2.316643,24.517182,0.940230,1.038686,-0.022008,0.052601,0.044245
0.020000,2.337387,24.518108,0.960995,1.038247,-0.021941,0.003380,0.045010
0.020000,2.358121,24.519050,0.981750,1.037747,-0.025017,-0.153810,0.045765
0.020000,2.378845,24.520007,1.002496,1.037297,-0.022502,0.125738,0.046511
0.020000,2.399559,24.520979,1.023233,1.036863,-0.021674,0.041426,0.047248
0.020000,2.420264,24.521965,1.043962,1.036431,-0.021610,0.003171,0.047976
0.020000,2.440959,24.522966,1.064681,1.035940,-0.024564,-0.147677,0.048695
0.020000,2.461644,24.523982,1.085391,1.035497,-0.022117,0.122327,0.049406
