dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.134056,2.165454,0.000625,0.062500,3.125000,156.250000,6.282802
0.020000,0.134056,2.165454,0.003125,0.187500,6.250000,156.250000,6.282913
0.020000,0.134056,2.165454,0.008125,0.312500,6.250000,0.000000,6.283135
0.020000,0.140432,2.165455,0.015625,0.437500,6.250000,0.000000,0.000284
0.020000,0.150432,2.165460,0.025625,0.562500,6.250000,0.000000,0.000729
0.020000,0.162932,2.165472,0.038125,0.687500,6.250000,0.000000,0.001286
0.020000,0.177932,2.165497,0.053125,0.812500,6.250000,0.000000,0.001956
0.020000,0.195432,2.165538,0.070625,0.937500,6.250000,0.000000,0.002738
0.020000,0.214807,2.165599,0.090000,1.000000,3.125000,-156.250000,0.003605
0.020000,0.234807,2.165680,0.110000,1.000000,0.000000,-156.250000,0.004502
0.020000,0.254807,2.165779,0.130000,1.000000,0.000000,0.000000,0.005400
0.020000,0.274807,2.165896,0.150000,1.000000,0.000000,0.000000,0.006300
0.020000,0.294806,2.166031,0.170000,1.000000,0.000000,0.000000,0.007201
0.020000,0.314806,2.166184,0.190000,1.000000,0.000000,0.000000,0.008104
0.020000,0.334805,2.166355,0.210000,1.000000,0.000000,0.000000,0.009008
0.020000,0.354804,2.166545,0.230000,1.000000,0.000000,0.000000,0.009914
0.020000,0.374803,2.166752,0.250000,1.000000,0.000000,0.000000,0.010821
0.020000,0.394802,2.166977,0.270000,1.000000,0.000000,0.000000,0.011730
0.020000,0.414800,2.167221,0.290000,1.000000,0.000000,0.000000,0.012641
0.020000,0.434798,2.167483,0.310000,1.000000,0.000000,0.000000,0.013553
0.020000,0.454796,2.167763,0.330000,1.000000,0.000000,0.000000,0.014466
0.020000,0.474794,2.168062,0.350000,1.000000,0.000000,0.000000,0.015381
0.020000,0.494792,2.168379,0.370000,1.000000,0.000000,0.000000,0.016298
0.020000,0.514789,2.168714,0.390000,1.000000,0.000000,0.000000,0.017216
0.020000,0.534786,2.169067,0.410000,1.000000,0.000000,0.000000,0.018136
0.020000,0.554782,2.169439,0.430000,1.000000,0.000000,0.000000,0.019057
0.020000,0.574778,2.169829,0.450000,1.000000,0.000000,0.000000,0.019979
0.020000,0.594774,2.170238,0.470000,1.000000,0.000000,0.000000,0.020904
0.020000,0.614770,2.170665,0.490000,1.000000,0.000000,0.000000,0.021829
0.020000,0.634765,2.171111,0.510000,1.000000,0.000000,0.000000,0.022757
0.020000,0.654759,2.171576,0.530000,1.000000,0.000000,0.000000,0.023686
0.020000,0.674753,2.172059,0.550000,1.000000,0.000000,0.000000,0.024616
0.020000,0.694747,2.172560,0.570000,1.000000,0.000000,0.000000,0.025548
0.020000,0.714740,2.173080,0.590000,1.000000,0.000000,0.000000,0.026481
0.020000,0.734733,2.173619,0.610000,1.000000,0.000000,0.000000,0.027416
0.020000,0.754725,2.174177,0.630000,1.000000,0.000000,0.000000,0.028353
0.020000,0.774717,2.174753,0.650000,1.000000,0.000000,0.000000,0.029291
0.020000,0.794708,2.175348,0.670000,1.000000,0.000000,0.000000,0.030230
0.020000,0.814699,2.175962,0.690000,1.000000,0.000000,0.000000,0.031171
0.020000,0.834689,2.176595,0.710000,1.000000,0.000000,0.000000,0.032114
0.020000,0.854678,2.177247,0.730000,1.000000,0.000000,0.000000,0.033058
0.020000,0.874667,2.177917,0.750000,1.000000,0.000000,0.000000,0.034004
0.020000,0.894655,2.178607,0.770000,1.000000,0.000000,0.000000,0.034951
0.020000,0.914642,2.179315,0.790000,1.000000,0.000000,0.000000,0.035900
0.020000,0.934629,2.180042,0.810000,1.000000,0.000000,0.000000,0.036850
0.020000,0.954615,2.180789,0.830000,1.000000,0.000000,0.000000,0.037802
0.020000,0.974601,2.181554,0.850000,1.000000,0.000000,0.000000,0.038755
0.020000,0.994585,2.182338,0.870000,1.000000,0.000000,0.000000,0.039710
0.020000,1.014569,2.183142,0.890000,1.000000,0.000000,0.000000,0.040666
0.020000,1.034552,2.183965,0.910000,1.000000,0.000000,0.000000,0.041624
0.020000,1.054534,2.184807,0.930000,1.000000,0.000000,0.000000,0.042584
0.020000,1.074516,2.185668,0.950000,1.000000,0.000000,0.000000,0.043545
0.020000,1.094497,2.186548,0.970000,1.000000,0.000000,0.000000,0.044508
0.020000,1.114476,2.187447,0.990000,1.000000,0.000000,0.000000,0.045472
0.020000,1.134455,2.188366,1.010000,1.000000,0.000000,0.000000,0.046437
0.020000,1.154433,2.189304,1.030000,1.000000,0.000000,0.000000,0.047404
0.020000,1.174410,2.190261,1.050000,1.000000,0.000000,0.000000,0.048373
0.020000,1.194386,2.191238,1.070000,1.000000,0.000000,0.000000,0.049343
0.020000,1.214362,2.192234,1.090000,1.000000,0.000000,0.000000,0.050315
0.020000,1.234336,2.193250,1.110000,1.000000,0.000000,0.000000,0.051288
0.020000,1.254309,2.194285,1.130000,1.000000,0.000000,0.000000,0.052263
0.020000,1.274281,2.195340,1.150000,1.000000,0.000000,0.000000,0.053240
0.020000,1.294252,2.196414,1.170000,1.000000,0.000000,0.000000,0.054217
0.020000,1.314222,2.197507,1.190000,1.000000,0.000000,0.000000,0.055197
0.020000,1.334191,2.198620,1.210000,1.000000,0.000000,0.000000,0.056178
0.020000,1.354159,2.199753,1.230000,1.000000,0.000000,0.000000,0.057160
0.020000,1.374126,2.200906,1.250000,1.000000,0.000000,0.000000,0.058144
0.020000,1.394092,2.202078,1.270000,1.000000,0.000000,0.000000,0.059130
0.020000,1.414056,2.203269,1.290000,1.000000,0.000000,0.000000,0.060117
0.020000,1.434019,2.204481,1.310000,1.000000,0.000000,0.000000,0.061105
0.020000,1.453981,2.205712,1.330000,1.000000,0.000000,0.000000,0.062095
0.020000,1.473942,2.206963,1.350000,1.000000,0.000000,0.000000,0.063087
0.020000,1.493902,2.208234,1.370000,1.000000,0.000000,0.000000,0.064080
0.020000,1.513860,2.209525,1.390000,1.000000,0.000000,0.000000,0.065075
0.020000,1.533817,2.210835,1.410000,1.000000,0.000000,0.000000,0.066071
0.020000,1.553773,2.212166,1.430000,1.000000,0.000000,0.000000,0.067069
0.020000,1.573727,2.213516,1.450000,1.000000,0.000000,0.000000,0.068068
0.020000,1.593680,2.214886,1.470000,1.000000,0.000000,0.000000,0.069069
0.020000,1.613632,2.216276,1.490000,1.000000,0.000000,0.000000,0.070071
0.020000,1.633582,2.217687,1.510000,1.000000,0.000000,0.000000,0.071075
0.020000,1.653531,2.219117,1.530000,1.000000,0.000000,0.000000,0.072080
0.020000,1.673478,2.220567,1.550000,1.000000,0.000000,0.000000,0.073087
0.020000,1.693424,2.222038,1.570000,1.000000,0.000000,0.000000,0.074096
0.020000,1.713368,2.223529,1.590000,1.000000,0.000000,0.000000,0.075105
0.020000,1.733311,2.225039,1.610000,1.000000,0.000000,0.000000,0.076117
0.020000,1.753253,2.226570,1.630000,1.000000,0.000000,0.000000,0.077130
0.020000,1.773192,2.228121,1.650000,1.000000,0.000000,0.000000,0.078144
0.020000,1.793130,2.229693,1.670000,1.000000,0.000000,0.000000,0.079160
0.020000,1.813067,2.231285,1.690000,1.000000,0.000000,0.000000,0.080178
0.020000,1.833002,2.232897,1.710000,1.000000,0.000000,0.000000,0.081197
0.020000,1.852935,2.234529,1.730000,1.000000,0.000000,0.000000,0.082217
0.020000,1.872867,2.236182,1.750000,1.000000,0.000000,0.000000,0.083239
0.020000,1.892797,2.237855,1.770000,1.000000,0.000000,0.000000,0.084263
0.020000,1.912725,2.239548,1.790000,1.000000,0.000000,0.000000,0.085288
0.020000,1.932651,2.241262,1.810000,1.000000,0.000000,0.000000,0.086314
0.020000,1.952576,2.242996,1.830000,1.000000,0.000000,0.000000,0.087342
0.020000,1.972499,2.244751,1.850000,1.000000,0.000000,0.000000,0.088372
0.020000,1.992420,2.246527,1.870000,1.000000,0.000000,0.000000,0.089403
0.020000,2.012339,2.248323,1.890000,1.000000,0.000000,0.000000,0.090435
0.020000,2.032256,2.250139,1.910000,1.000000,0.000000,0.000000,0.091469
0.020000,2.052172,2.251976,1.930000,1.000000,0.000000,0.000000,0.092505
0.020000,2.072085,2.253834,1.950000,1.000000,0.000000,0.000000,0.093542
0.020000,2.091997,2.255713,1.970000,1.000000,0.000000,0.000000,0.094580
0.020000,2.111907,2.257612,1.990000,1.000000,0.000000,0.000000,0.095620
0.020000,2.131814,2.259532,2.010000,1.000000,0.000000,0.000000,0.096662
0.020000,2.151720,2.261472,2.030000,1.000000,0.000000,0.000000,0.097705
0.020000,2.171623,2.263433,2.050000,1.000000,0.000000,0.000000,0.098749
0.020000,2.191525,2.265416,2.070000,1.000000,0.000000,0.000000,0.099795
0.020000,2.211424,2.267419,2.090000,1.000000,0.000000,0.000000,0.100843
0.020000,2.231322,2.269443,2.110000,1.000000,0.000000,0.000000,0.101892
0.020000,2.251217,2.271487,2.130000,1.000000,0.000000,0.000000,0.102942
0.020000,2.271110,2.273553,2.150000,1.000000,0.000000,0.000000,0.103994
0.020000,2.291001,2.275640,2.170000,1.000000,0.000000,0.000000,0.105048
0.020000,2.310890,2.277747,2.190000,1.000000,0.000000,0.000000,0.106102
0.020000,2.330776,2.279876,2.210000,1.000000,0.000000,0.000000,0.107159
0.020000,2.350660,2.282025,2.230000,1.000000,0.000000,0.000000,0.108217
0.020000,2.370542,2.284196,2.250000,1.000000,0.000000,0.000000,0.109276
0.020000,2.390421,2.286388,2.270000,1.000000,0.000000,0.000000,0.110337
0.020000,2.410299,2.288601,2.290000,1.000000,0.000000,0.000000,0.111399
0.020000,2.430174,2.290834,2.310000,1.000000,0.000000,0.000000,0.112463
0.020000,2.450046,2.293090,2.330000,1.000000,0.000000,0.000000,0.113528
0.020000,2.469916,2.295366,2.350000,1.000000,0.000000,0.000000,0.114595
0.020000,2.489784,2.297663,2.370000,1.000000,0.000000,0.000000,0.115663
0.020000,2.509649,2.299982,2.390000,1.000000,0.000000,0.000000,0.116732
0.020000,2.529511,2.302322,2.410000,1.000000,0.000000,0.000000,0.117803
0.020000,2.549371,2.304683,2.430000,1.000000,0.000000,0.000000,0.118876
0.020000,2.569229,2.307066,2.450000,1.000000,0.000000,0.000000,0.119950
0.020000,2.589084,2.309470,2.470000,1.000000,0.000000,0.000000,0.121025
0.020000,2.608937,2.311895,2.490000,1.000000,0.000000,0.000000,0.122102
0.020000,2.628786,2.314342,2.510000,1.000000,0.000000,0.000000,0.123181
0.020000,2.648633,2.316810,2.530000,1.000000,0.000000,0.000000,0.124260
0.020000,2.668478,2.319299,2.550000,1.000000,0.000000,0.000000,0.125342
0.020000,2.688320,2.321810,2.570000,1.000000,0.000000,0.000000,0.126424
0.020000,2.708159,2.324343,2.590000,1.000000,0.000000,0.000000,0.127508
0.020000,2.727995,2.326897,2.610000,1.000000,0.000000,0.000000,0.128594
0.020000,2.747828,2.329473,2.630000,1.000000,0.000000,0.000000,0.129681
0.020000,2.767659,2.332070,2.650000,1.000000,0.000000,0.000000,0.130769
0.020000,2.787487,2.334688,2.670000,1.000000,0.000000,0.000000,0.131859
0.020000,2.807312,2.337329,2.690000,1.000000,0.000000,0.000000,0.132951
0.020000,2.827134,2.339991,2.710000,1.000000,0.000000,0.000000,0.134043
0.020000,2.846953,2.342675,2.730000,1.000000,0.000000,0.000000,0.135137
0.020000,2.866769,2.345380,2.750000,1.000000,0.000000,0.000000,0.136233
0.020000,2.886582,2.348107,2.770000,1.000000,0.000000,0.000000,0.137330
0.020000,2.906392,2.350856,2.790000,1.000000,0.000000,0.000000,0.138428
0.020000,2.926200,2.353626,2.810000,1.000000,0.000000,0.000000,0.139528
0.020000,2.946004,2.356419,2.830000,1.000000,0.000000,0.000000,0.140629
0.020000,2.965805,2.359233,2.850000,1.000000,0.000000,0.000000,0.141732
0.020000,2.985603,2.362069,2.870000,1.000000,0.000000,0.000000,0.142836
0.020000,3.005397,2.364927,2.890000,1.000000,0.000000,0.000000,0.143942
0.020000,3.025189,2.367807,2.910000,1.000000,0.000000,0.000000,0.145049
0.020000,3.044977,2.370709,2.930000,1.000000,0.000000,0.000000,0.146157
0.020000,3.064762,2.373633,2.950000,1.000000,0.000000,0.000000,0.147266
0.020000,3.084544,2.376578,2.970000,1.000000,0.000000,0.000000,0.148378
0.020000,3.104323,2.379546,2.990000,1.000000,0.000000,0.000000,0.149490
0.020000,3.124098,2.382536,3.010000,1.000000,0.000000,0.000000,0.150604
0.020000,3.143870,2.385547,3.030000,1.000000,0.000000,0.000000,0.151719
0.020000,3.163639,2.388581,3.050000,1.000000,0.000000,0.000000,0.152836
0.020000,3.183404,2.391637,3.070000,1.000000,0.000000,0.000000,0.153954
0.020000,3.203166,2.394715,3.090000,1.000000,0.000000,0.000000,0.155073
0.020000,3.222924,2.397815,3.110000,1.000000,0.000000,0.000000,0.156194
0.020000,3.242679,2.400937,3.130000,1.000000,0.000000,0.000000,0.157316
0.020000,3.262430,2.404082,3.150000,1.000000,0.000000,0.000000,0.158439
0.020000,3.282178,2.407248,3.170000,1.000000,0.000000,0.000000,0.159564
0.020000,3.301922,2.410437,3.190000,1.000000,0.000000,0.000000,0.160691
0.020000,3.321662,2.413648,3.210000,1.000000,0.000000,0.000000,0.161818
0.020000,3.341399,2.416882,3.230000,1.000000,0.000000,0.000000,0.162947
0.020000,3.361132,2.420138,3.250000,1.000000,0.000000,0.000000,0.164077
0.020000,3.380862,2.423416,3.270000,1.000000,0.000000,0.000000,0.165209
0.020000,3.400588,2.426716,3.290000,1.000000,0.000000,0.000000,0.166342
0.020000,3.420310,2.430039,3.310000,1.000000,0.000000,0.000000,0.167476
0.020000,3.440028,2.433384,3.330000,1.000000,0.000000,0.000000,0.168612
0.020000,3.459743,2.436751,3.350000,1.000000,0.000000,0.000000,0.169749
0.020000,3.479453,2.440141,3.370000,1.000000,0.000000,0.000000,0.170887
0.020000,3.499160,2.443553,3.390000,1.000000,0.000000,0.000000,0.172027
0.020000,3.518863,2.446988,3.410000,1.000000,0.000000,0.000000,0.173168
0.020000,3.538562,2.450446,3.430000,1.000000,0.000000,0.000000,0.174311
0.020000,3.558257,2.453925,3.450000,1.000000,0.000000,0.000000,0.175454
0.020000,3.577948,2.457428,3.470000,1.000000,0.000000,0.000000,0.176599
0.020000,3.597634,2.460953,3.490000,1.000000,0.000000,0.000000,0.177745
0.020000,3.617317,2.464500,3.510000,1.000000,0.000000,0.000000,0.178893
0.020000,3.636996,2.468070,3.530000,1.000000,0.000000,0.000000,0.180042
0.020000,3.656671,2.471663,3.550000,1.000000,0.000000,0.000000,0.181192
0.020000,3.676341,2.475278,3.570000,1.000000,0.000000,0.000000,0.182344
0.020000,3.696008,2.478917,3.590000,1.000000,0.000000,0.000000,0.183496
0.020000,3.715670,2.482577,3.610000,1.000000,0.000000,0.000000,0.184651
0.020000,3.735328,2.486261,3.630000,1.000000,0.000000,0.000000,0.185806
0.020000,3.754981,2.489967,3.650000,1.000000,0.000000,0.000000,0.186963
0.020000,3.774631,2.493696,3.670000,1.000000,0.000000,0.000000,0.188121
0.020000,3.794276,2.497447,3.690000,1.000000,0.000000,0.000000,0.189280
0.020000,3.813916,2.501222,3.710000,1.000000,0.000000,0.000000,0.190440
0.020000,3.833552,2.505019,3.730000,1.000000,0.000000,0.000000,0.191602
0.020000,3.853184,2.508839,3.750000,1.000000,0.000000,0.000000,0.192765
0.020000,3.872811,2.512682,3.770000,1.000000,0.000000,0.000000,0.193929
0.020000,3.892434,2.516548,3.790000,1.000000,0.000000,0.000000,0.195095
0.020000,3.912053,2.520436,3.810000,1.000000,0.000000,0.000000,0.196262
0.020000,3.931666,2.524348,3.830000,1.000000,0.000000,0.000000,0.197430
0.020000,3.951276,2.528282,3.850000,1.000000,0.000000,0.000000,0.198599
0.020000,3.970880,2.532240,3.870000,1.000000,0.000000,0.000000,0.199770
0.020000,3.990480,2.536220,3.890000,1.000000,0.000000,0.000000,0.200941
0.020000,4.010075,2.540223,3.910000,1.000000,0.000000,0.000000,0.202114
0.020000,4.029666,2.544250,3.930000,1.000000,0.000000,0.000000,0.203289
0.020000,4.049252,2.548299,3.950000,1.000000,0.000000,0.000000,0.204464
0.020000,4.068833,2.552371,3.970000,1.000000,0.000000,0.000000,0.205641
0.020000,4.088409,2.556467,3.990000,1.000000,0.000000,0.000000,0.206819
0.020000,4.107980,2.560585,4.010000,1.000000,0.000000,0.000000,0.207998
0.020000,4.127547,2.564727,4.030000,1.000000,0.000000,0.000000,0.209178
0.020000,4.147108,2.568892,4.050000,1.000000,0.000000,0.000000,0.210360
0.020000,4.166665,2.573079,4.070000,1.000000,0.000000,0.000000,0.211542
0.020000,4.186217,2.577290,4.090000,1.000000,0.000000,0.000000,0.212726
0.020000,4.205763,2.581524,4.110000,1.000000,0.000000,0.000000,0.213911
0.020000,4.225305,2.585782,4.130000,1.000000,0.000000,0.000000,0.215098
0.020000,4.244841,2.590062,4.150000,1.000000,0.000000,0.000000,0.216285
0.020000,4.264373,2.594366,4.170000,1.000000,0.000000,0.000000,0.217474
0.020000,4.283899,2.598693,4.190000,1.000000,0.000000,0.000000,0.218664
0.020000,4.303420,2.603043,4.210000,1.000000,0.000000,0.000000,0.219855
0.020000,4.322936,2.607416,4.230000,1.000000,0.000000,0.000000,0.221047
0.020000,4.342447,2.611813,4.250000,1.000000,0.000000,0.000000,0.222240
0.020000,4.361953,2.616233,4.270000,1.000000,0.000000,0.000000,0.223434
0.020000,4.381453,2.620676,4.290000,1.000000,0.000000,0.000000,0.224630
0.020000,4.400948,2.625143,4.310000,1.000000,0.000000,0.000000,0.225827
0.020000,4.420437,2.629633,4.330000,1.000000,0.000000,0.000000,0.227025
0.020000,4.439921,2.634146,4.350000,1.000000,0.000000,0.000000,0.228224
0.020000,4.459400,2.638682,4.370000,1.000000,0.000000,0.000000,0.229424
0.020000,4.478873,2.643242,4.390000,1.000000,0.000000,0.000000,0.230625
0.020000,4.498341,2.647826,4.410000,1.000000,0.000000,0.000000,0.231827
0.020000,4.517803,2.652433,4.430000,1.000000,0.000000,0.000000,0.233031
0.020000,4.537260,2.657063,4.450000,1.000000,0.000000,0.000000,0.234236
0.020000,4.556711,2.661717,4.470000,1.000000,0.000000,0.000000,0.235441
0.020000,4.576156,2.666394,4.490000,1.000000,0.000000,0.000000,0.236648
0.020000,4.595596,2.671095,4.510000,1.000000,0.000000,0.000000,0.237856
0.020000,4.615030,2.675819,4.530000,1.000000,0.000000,0.000000,0.239065
0.020000,4.634458,2.680566,4.550000,1.000000,0.000000,0.000000,0.240275
0.020000,4.653881,2.685337,4.570000,1.000000,0.000000,0.000000,0.241486
0.020000,4.673298,2.690132,4.590000,1.000000,0.000000,0.000000,0.242698
0.020000,4.692709,2.694950,4.610000,1.000000,0.000000,0.000000,0.243912
0.020000,4.712114,2.699792,4.630000,1.000000,0.000000,0.000000,0.245126
0.020000,4.731513,2.704658,4.650000,1.000000,0.000000,0.000000,0.246341
0.020000,4.750906,2.709546,4.670000,1.000000,0.000000,0.000000,0.247558
0.020000,4.770293,2.714459,4.690000,1.000000,0.000000,0.000000,0.248775
0.020000,4.789675,2.719395,4.710000,1.000000,0.000000,0.000000,0.249994
0.020000,4.809050,2.724355,4.730000,1.000000,0.000000,0.000000,0.251213
0.020000,4.828419,2.729338,4.750000,1.000000,0.000000,0.000000,0.252434
0.020000,4.847782,2.734345,4.770000,1.000000,0.000000,0.000000,0.253655
0.020000,4.867139,2.739376,4.790000,1.000000,0.000000,0.000000,0.254878
0.020000,4.886490,2.744431,4.810000,1.000000,0.000000,0.000000,0.256102
0.020000,4.905835,2.749509,4.830000,1.000000,0.000000,0.000000,0.257326
0.020000,4.925173,2.754610,4.850000,1.000000,0.000000,0.000000,0.258552
0.020000,4.944505,2.759736,4.870000,1.000000,0.000000,0.000000,0.259779
0.020000,4.963831,2.764885,4.890000,1.000000,0.000000,0.000000,0.261006
0.020000,4.983150,2.770058,4.910000,1.000000,0.000000,0.000000,0.262235
0.020000,5.002463,2.775255,4.930000,1.000000,0.000000,0.000000,0.263465
0.020000,5.021770,2.780475,4.950000,1.000000,0.000000,0.000000,0.264695
0.020000,5.041070,2.785719,4.970000,1.000000,0.000000,0.000000,0.265927
0.020000,5.060364,2.790987,4.990000,1.000000,0.000000,0.000000,0.267159
0.020000,5.079651,2.796279,5.010000,1.000000,0.000000,0.000000,0.268393
0.020000,5.098932,2.801594,5.030000,1.000000,0.000000,0.000000,0.269627
0.020000,5.118206,2.806934,5.050000,1.000000,0.000000,0.000000,0.270862
0.020000,5.137473,2.812297,5.070000,1.000000,0.000000,0.000000,0.272099
0.020000,5.156734,2.817684,5.090000,1.000000,0.000000,0.000000,0.273336
0.020000,5.175988,2.823095,5.110000,1.000000,0.000000,0.000000,0.274574
0.020000,5.195236,2.828529,5.130000,1.000000,0.000000,0.000000,0.275813
0.020000,5.214477,2.833988,5.150000,1.000000,0.000000,0.000000,0.277053
0.020000,5.233710,2.839470,5.170000,1.000000,0.000000,0.000000,0.278294
0.020000,5.252938,2.844977,5.190000,1.000000,0.000000,0.000000,0.279536
0.020000,5.272158,2.850507,5.210000,1.000000,0.000000,0.000000,0.280778
0.020000,5.291371,2.856061,5.230000,1.000000,0.000000,0.000000,0.282022
0.020000,5.310578,2.861639,5.250000,1.000000,0.000000,0.000000,0.283266
0.020000,5.329777,2.867240,5.270000,1.000000,0.000000,0.000000,0.284512
0.020000,5.348970,2.872866,5.290000,1.000000,0.000000,0.000000,0.285758
0.020000,5.368155,2.878516,5.310000,1.000000,0.000000,0.000000,0.287005
0.020000,5.387333,2.884189,5.330000,1.000000,0.000000,0.000000,0.288253
0.020000,5.406505,2.889887,5.350000,1.000000,0.000000,0.000000,0.289502
0.020000,5.425669,2.895608,5.370000,1.000000,0.000000,0.000000,0.290751
0.020000,5.444826,2.901354,5.390000,1.000000,0.000000,0.000000,0.292002
