dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.205128,24.331401,0.000625,0.062500,3.125000,156.250000,6.277173
0.020000,0.205465,24.331401,0.003125,0.187500,6.250000,156.250000,0.000932
0.020000,0.210465,24.331441,0.008125,0.312500,6.250000,0.000000,0.014676
0.020000,0.217962,24.331627,0.015625,0.437500,6.250000,0.000000,0.034894
0.020000,0.227950,24.332107,0.025625,0.562500,6.250000,0.000000,0.061104
0.020000,0.240412,24.333069,0.038125,0.687500,6.250000,0.000000,0.092644
0.020000,0.255319,24.334728,0.053125,0.812500,6.250000,0.000000,0.128696
0.020000,0.272625,24.337320,0.070625,0.937500,6.250000,0.000000,0.168302
0.020000,0.291653,24.340960,0.090000,1.000000,3.125000,-156.250000,0.209157
0.020000,0.311131,24.345498,0.110000,1.000000,0.000000,-156.250000,0.248182
0.020000,0.330423,24.350764,0.130000,1.000000,0.000000,0.000000,0.284200
0.020000,0.349523,24.356694,0.150000,1.000000,0.000000,0.000000,0.317429
0.020000,0.368425,24.363231,0.170000,1.000000,0.000000,0.000000,0.348086
0.020000,0.387124,24.370321,0.190000,1.000000,0.000000,0.000000,0.376384
0.020000,0.405625,24.377918,0.210000,1.000000,0.000000,0.000000,0.402529
0.020000,0.423929,24.385977,0.230000,1.000000,0.000000,0.000000,0.426710
0.020000,0.442040,24.394461,0.250000,1.000000,0.000000,0.000000,0.449104
0.020000,0.459964,24.403332,0.270000,1.000000,0.000000,0.000000,0.469869
0.020000,0.477707,24.412561,0.290000,1.000000,0.000000,0.000000,0.489154
0.020000,0.495275,24.422119,0.310000,1.000000,0.000000,0.000000,0.507089
0.020000,0.512675,24.431978,0.330000,1.000000,0.000000,0.000000,0.523792
0.020000,0.529914,24.442118,0.350000,1.000000,0.000000,0.000000,0.539370
0.020000,0.547000,24.452516,0.370000,1.000000,0.000000,0.000000,0.553920
0.020000,0.563936,24.463153,0.390000,1.000000,0.000000,0.000000,0.567525
0.020000,0.580730,24.474012,0.410000,1.000000,0.000000,0.000000,0.580263
0.020000,0.597390,24.485077,0.430000,1.000000,0.000000,0.000000,0.592205
0.020000,0.613921,24.496335,0.450000,1.000000,0.000000,0.000000,0.603412
0.020000,0.630328,24.507771,0.470000,1.000000,0.000000,0.000000,0.613940
0.020000,0.646618,24.519375,0.490000,1.000000,0.000000,0.000000,0.623841
0.020000,0.662796,24.531134,0.510000,1.000000,0.000000,0.000000,0.633159
0.020000,0.678867,24.543040,0.530000,1.000000,0.000000,0.000000,0.641935
0.020000,0.694835,24.555081,0.550000,1.000000,0.000000,0.000000,0.650208
0.020000,0.710706,24.567251,0.570000,1.000000,0.000000,0.000000,0.658010
0.020000,0.726485,24.579541,0.590000,1.000000,0.000000,0.000000,0.665374
0.020000,0.742176,24.591943,0.610000,1.000000,0.000000,0.000000,0.672326
0.020000,0.757781,24.604451,0.630000,1.000000,0.000000,0.000000,0.678891
0.020000,0.773308,24.617058,0.650000,1.000000,0.000000,0.000000,0.685095
0.020000,0.788757,24.629758,0.670000,1.000000,0.000000,0.000000,0.690956
0.020000,0.804135,24.642548,0.690000,1.000000,0.000000,0.000000,0.696495
0.020000,0.819442,24.655418,0.710000,1.000000,0.000000,0.000000,0.701730
0.020000,0.834685,24.668367,0.730000,1.000000,0.000000,0.000000,0.706676
0.020000,0.849864,24.681389,0.750000,1.000000,0.000000,0.000000,0.711348
0.020000,0.864985,24.694480,0.770000,1.000000,0.000000,0.000000,0.715761
0.020000,0.880050,24.707636,0.790000,1.000000,0.000000,0.000000,0.719926
0.020000,0.895060,24.720852,0.810000,1.000000,0.000000,0.000000,0.723854
0.020000,0.910021,24.734126,0.830000,1.000000,0.000000,0.000000,0.727558
0.020000,0.924934,24.747453,0.850000,1.000000,0.000000,0.000000,0.731045
0.020000,0.939801,24.760831,0.870000,1.000000,0.000000,0.000000,0.734326
0.020000,0.954625,24.774255,0.890000,1.000000,0.000000,0.000000,0.737407
0.020000,0.969410,24.787724,0.910000,1.000000,0.000000,0.000000,0.740298
0.020000,0.984157,24.801235,0.930000,1.000000,0.000000,0.000000,0.743004
0.020000,0.998869,24.814784,0.950000,1.000000,0.000000,0.000000,0.745532
0.020000,1.013547,24.828368,0.970000,1.000000,0.000000,0.000000,0.747888
0.020000,1.028194,24.841987,0.990000,1.000000,0.000000,0.000000,0.750077
0.020000,1.042813,24.855636,1.010000,1.000000,0.000000,0.000000,0.752104
0.020000,1.057405,24.869313,1.030000,1.000000,0.000000,0.000000,0.753974
0.020000,1.071973,24.883017,1.050000,1.000000,0.000000,0.000000,0.755690
0.020000,1.086518,24.896744,1.070000,1.000000,0.000000,0.000000,0.757256
0.020000,1.101042,24.910493,1.090000,1.000000,0.000000,0.000000,0.758676
0.020000,1.115548,24.924262,1.110000,1.000000,0.000000,0.000000,0.759952
0.020000,1.130038,24.938048,1.130000,1.000000,0.000000,0.000000,0.761087
0.020000,1.144513,24.951849,1.150000,1.000000,0.000000,0.000000,0.762083
0.020000,1.158975,24.965664,1.170000,1.000000,0.000000,0.000000,0.762943
0.020000,1.173426,24.979491,1.190000,1.000000,0.000000,0.000000,0.763667
0.020000,1.187867,24.993327,1.210000,1.000000,0.000000,0.000000,0.764258
0.020000,1.202302,25.007170,1.230000,1.000000,0.000000,0.000000,0.764717
0.020000,1.216731,25.021020,1.250000,1.000000,0.000000,0.000000,0.765044
0.020000,1.231157,25.034873,1.270000,1.000000,0.000000,0.000000,0.765241
0.020000,1.245581,25.048727,1.290000,1.000000,0.000000,0.000000,0.765307
0.020000,1.260004,25.062582,1.310000,1.000000,0.000000,0.000000,0.765242
0.020000,1.274430,25.076435,1.330000,1.000000,0.000000,0.000000,0.765048
0.020000,1.288859,25.090285,1.350000,1.000000,0.000000,0.000000,0.764722
0.020000,1.303293,25.104128,1.370000,1.000000,0.000000,0.000000,0.764265
0.020000,1.317735,25.117964,1.390000,1.000000,0.000000,0.000000,0.763676
0.020000,1.332186,25.131791,1.410000,1.000000,0.000000,0.000000,0.762953
0.020000,1.346648,25.145606,1.430000,1.000000,0.000000,0.000000,0.762095
0.020000,1.361122,25.159408,1.450000,1.000000,0.000000,0.000000,0.761101
0.020000,1.375612,25.173194,1.470000,1.000000,0.000000,0.000000,0.759968
0.020000,1.390117,25.186963,1.490000,1.000000,0.000000,0.000000,0.758693
0.020000,1.404642,25.200712,1.510000,1.000000,0.000000,0.000000,0.757276
0.020000,1.419186,25.214440,1.530000,1.000000,0.000000,0.000000,0.755711
0.020000,1.433754,25.228144,1.550000,1.000000,0.000000,0.000000,0.753997
0.020000,1.448346,25.241822,1.570000,1.000000,0.000000,0.000000,0.752130
0.020000,1.462964,25.255471,1.590000,1.000000,0.000000,0.000000,0.750105
0.020000,1.477611,25.269090,1.610000,1.000000,0.000000,0.000000,0.747918
0.020000,1.492289,25.282675,1.630000,1.000000,0.000000,0.000000,0.745564
0.020000,1.507000,25.296224,1.650000,1.000000,0.000000,0.000000,0.743038
0.020000,1.521747,25.309735,1.670000,1.000000,0.000000,0.000000,0.740334
0.020000,1.536531,25.323205,1.690000,1.000000,0.000000,0.000000,0.737446
0.020000,1.551355,25.336630,1.710000,1.000000,0.000000,0.000000,0.734367
0.020000,1.566221,25.350008,1.730000,1.000000,0.000000,0.000000,0.731089
0.020000,1.581134,25.363337,1.750000,1.000000,0.000000,0.000000,0.727604
0.020000,1.596094,25.376611,1.770000,1.000000,0.000000,0.000000,0.723904
0.020000,1.611104,25.389828,1.790000,1.000000,0.000000,0.000000,0.719978
0.020000,1.626167,25.402984,1.810000,1.000000,0.000000,0.000000,0.715816
0.020000,1.641287,25.416076,1.830000,1.000000,0.000000,0.000000,0.711407
0.020000,1.656466,25.429099,1.850000,1.000000,0.000000,0.000000,0.706739
0.020000,1.671708,25.442049,1.870000,1.000000,0.000000,0.000000,0.701796
0.020000,1.687014,25.454921,1.890000,1.000000,0.000000,0.000000,0.696565
0.020000,1.702391,25.467711,1.910000,1.000000,0.000000,0.000000,0.691030
0.020000,1.717839,25.480412,1.930000,1.000000,0.000000,0.000000,0.685173
0.020000,1.733365,25.493021,1.950000,1.000000,0.000000,0.000000,0.678974
0.020000,1.748969,25.505530,1.970000,1.000000,0.000000,0.000000,0.672413
0.020000,1.764659,25.517934,1.990000,1.000000,0.000000,0.000000,0.665467
0.020000,1.780436,25.530225,2.010000,1.000000,0.000000,0.000000,0.658109
0.020000,1.796306,25.542396,2.030000,1.000000,0.000000,0.000000,0.650312
0.020000,1.812273,25.554439,2.050000,1.000000,0.000000,0.000000,0.642046
0.020000,1.828343,25.566347,2.070000,1.000000,0.000000,0.000000,0.633276
0.020000,1.844519,25.578108,2.090000,1.000000,0.000000,0.000000,0.623966
0.020000,1.860808,25.589714,2.110000,1.000000,0.000000,0.000000,0.614073
0.020000,1.877214,25.601153,2.130000,1.000000,0.000000,0.000000,0.603553
0.020000,1.893743,25.612413,2.150000,1.000000,0.000000,0.000000,0.592356
0.020000,1.910401,25.623481,2.170000,1.000000,0.000000,0.000000,0.580424
0.020000,1.927194,25.634343,2.190000,1.000000,0.000000,0.000000,0.567696
0.020000,1.944128,25.644982,2.210000,1.000000,0.000000,0.000000,0.554103
0.020000,1.961211,25.655384,2.230000,1.000000,0.000000,0.000000,0.539566
0.020000,1.978448,25.665527,2.250000,1.000000,0.000000,0.000000,0.524002
0.020000,1.995846,25.675390,2.270000,1.000000,0.000000,0.000000,0.507315
0.020000,2.013412,25.684952,2.290000,1.000000,0.000000,0.000000,0.489396
0.020000,2.031153,25.694185,2.310000,1.000000,0.000000,0.000000,0.470130
0.020000,2.049074,25.703062,2.330000,1.000000,0.000000,0.000000,0.449385
0.020000,2.067183,25.711550,2.350000,1.000000,0.000000,0.000000,0.427013
0.020000,2.085485,25.719616,2.370000,1.000000,0.000000,0.000000,0.402856
0.020000,2.103982,25.727219,2.390000,1.000000,0.000000,0.000000,0.376738
0.020000,2.122679,25.734316,2.410000,1.000000,0.000000,0.000000,0.348469
0.020000,2.141578,25.740860,2.430000,1.000000,0.000000,0.000000,0.317844
0.020000,2.160676,25.746799,2.450000,1.000000,0.000000,0.000000,0.284650
0.020000,2.179965,25.752073,2.470000,1.000000,0.000000,0.000000,0.248670
0.020000,2.199441,25.756621,2.490000,1.000000,0.000000,0.000000,0.209685
0.020000,2.219084,25.760376,2.510000,1.000000,0.000000,0.000000,0.167503
0.020000,2.238872,25.763266,2.530000,1.000000,0.000000,0.000000,0.121962
0.020000,2.258774,25.765218,2.550000,1.000000,0.000000,0.000000,0.072959
0.020000,2.278750,25.766157,2.570000,1.000000,0.000000,0.000000,0.020480
0.020000,2.298746,25.766014,2.590000,1.000000,0.000000,0.000000,6.247816
0.020000,2.318701,25.764723,2.610000,1.000000,0.000000,0.000000,6.188851
0.020000,2.338542,25.762231,2.630000,1.000000,0.000000,0.000000,6.127188
0.020000,2.358187,25.758498,2.650000,1.000000,0.000000,0.000000,6.063419
0.020000,2.377550,25.753508,2.670000,1.000000,0.000000,0.000000,5.998288
0.020000,2.396546,25.747261,2.690000,1.000000,0.000000,0.000000,5.932640
0.020000,2.415091,25.739784,2.710000,1.000000,0.000000,0.000000,5.867366
0.020000,2.433114,25.731123,2.730000,1.000000,0.000000,0.000000,5.803317
0.020000,2.450555,25.721342,2.750000,1.000000,0.000000,0.000000,5.741249
0.020000,2.467370,25.710519,2.770000,1.000000,0.000000,0.000000,5.681769
0.020000,2.483529,25.698739,2.790000,1.000000,0.000000,0.000000,5.625314
0.020000,2.499019,25.686091,2.810000,1.000000,0.000000,0.000000,5.572156
0.020000,2.513838,25.672663,2.830000,1.000000,0.000000,0.000000,5.522412
0.020000,2.527995,25.658539,2.850000,1.000000,0.000000,0.000000,5.476085
0.020000,2.541508,25.643797,2.870000,1.000000,0.000000,0.000000,5.433079
0.020000,2.554400,25.628508,2.890000,1.000000,0.000000,0.000000,5.393238
0.020000,2.566696,25.612735,2.910000,1.000000,0.000000,0.000000,5.356375
0.020000,2.578424,25.596538,2.930000,1.000000,0.000000,0.000000,5.322279
0.020000,2.589616,25.579964,2.950000,1.000000,0.000000,0.000000,5.290731
