dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.199116,23.331419,0.000625,0.062500,3.125000,156.250000,6.277173
0.020000,0.206397,23.331402,0.007906,0.364055,15.077772,597.638621,0.000932
0.020000,0.225140,23.331548,0.026649,0.937145,28.654497,678.836229,0.014676
0.020000,0.252848,23.332235,0.054366,1.385861,22.435767,-310.936509,0.034894
0.020000,0.289016,23.333973,0.090576,1.810484,21.231145,-60.231092,0.061104
0.020000,0.332924,23.337357,0.134613,2.201877,19.569684,-83.073068,0.092644
0.020000,0.383660,23.342997,0.185662,2.552452,17.528711,-102.048615,0.128696
0.020000,0.440134,23.351450,0.242765,2.855134,15.134132,-119.728982,0.168302
0.020000,0.499289,23.362754,0.302991,3.011282,7.807379,-366.337651,0.209157
0.020000,0.556773,23.376138,0.362012,2.951055,-3.011325,-540.935166,0.248182
0.020000,0.610813,23.390877,0.418026,2.800707,-7.517436,-225.305582,0.284200
0.020000,0.661648,23.406653,0.471253,2.661343,-6.968186,27.462528,0.317429
0.020000,0.709524,23.423203,0.521909,2.532818,-6.426237,27.097437,0.348086
0.020000,0.754685,23.440321,0.570205,2.414784,-5.901690,26.227344,0.376384
0.020000,0.797371,23.457844,0.616348,2.307156,-5.381407,26.014150,0.402529
0.020000,0.837807,23.475645,0.660529,2.209035,-4.906033,23.768727,0.426710
0.020000,0.876199,23.493624,0.702922,2.119659,-4.468845,21.859403,0.449104
0.020000,0.912733,23.511705,0.743686,2.038189,-4.073492,19.767649,0.469869
0.020000,0.947586,23.529830,0.782970,1.964215,-3.698707,18.739246,0.489154
0.020000,0.980910,23.547957,0.820905,1.896743,-3.373562,16.257253,0.507089
0.020000,1.012843,23.566050,0.857607,1.835109,-3.081740,14.591061,0.523792
0.020000,1.043510,23.584085,0.893185,1.778883,-2.811271,13.523490,0.539370
0.020000,1.073025,23.602047,0.927735,1.727504,-2.568933,12.116863,0.553920
0.020000,1.101482,23.619919,0.961339,1.680204,-2.365022,10.195559,0.567525
0.020000,1.128975,23.637693,0.994077,1.636906,-2.164906,10.005820,0.580263
0.020000,1.155582,23.655365,1.026018,1.597075,-1.991544,8.668085,0.592205
0.020000,1.181376,23.672931,1.057225,1.560344,-1.836554,7.749526,0.603412
0.020000,1.206421,23.690387,1.087754,1.526413,-1.696561,6.999613,0.613940
0.020000,1.230775,23.707734,1.117654,1.495012,-1.570019,6.327130,0.623841
0.020000,1.254490,23.724972,1.146972,1.465902,-1.455535,5.724194,0.633159
0.020000,1.277614,23.742101,1.175749,1.438864,-1.351865,5.183483,0.641935
0.020000,1.300187,23.759123,1.204021,1.413593,-1.263567,4.414896,0.650208
0.020000,1.322250,23.776040,1.231823,1.390101,-1.174602,4.448251,0.658010
0.020000,1.343838,23.792854,1.259187,1.368186,-1.095733,3.943437,0.665374
0.020000,1.364983,23.809567,1.286139,1.347604,-1.029138,3.329759,0.672326
0.020000,1.385712,23.826181,1.312704,1.328266,-0.966885,3.112686,0.678891
0.020000,1.406054,23.842699,1.338908,1.310214,-0.902574,3.215525,0.685095
0.020000,1.426031,23.859121,1.364769,1.293019,-0.859764,2.140505,0.690956
0.020000,1.445668,23.875452,1.390309,1.277007,-0.800601,2.958153,0.696495
0.020000,1.464982,23.891691,1.415543,1.261681,-0.766327,1.713679,0.701730
0.020000,1.483994,23.907843,1.440489,1.247343,-0.716855,2.473619,0.706676
0.020000,1.502720,23.923907,1.465161,1.233590,-0.687691,1.458205,0.711348
0.020000,1.521177,23.939886,1.489574,1.220626,-0.648162,1.976446,0.715761
0.020000,1.539378,23.955781,1.513739,1.208268,-0.617937,1.511222,0.719926
0.020000,1.557338,23.971593,1.537667,1.196412,-0.592798,1.256956,0.723854
0.020000,1.575068,23.987325,1.561371,1.185171,-0.562031,1.538389,0.727558
0.020000,1.592582,24.002976,1.584859,1.174403,-0.538390,1.182038,0.731045
0.020000,1.609887,24.018548,1.608139,1.163996,-0.520353,0.901823,0.734326
0.020000,1.626996,24.034041,1.631220,1.154080,-0.495788,1.228247,0.737407
0.020000,1.643918,24.049457,1.654111,1.144534,-0.477322,0.923316,0.740298
0.020000,1.660660,24.064795,1.676818,1.135328,-0.460319,0.850172,0.743004
0.020000,1.677231,24.080057,1.699346,1.126400,-0.446392,0.696307,0.745532
0.020000,1.693639,24.095242,1.721701,1.117792,-0.430404,0.799437,0.747888
0.020000,1.709889,24.110350,1.743891,1.109457,-0.416736,0.683411,0.750077
0.020000,1.725990,24.125383,1.765918,1.101363,-0.404710,0.601301,0.752104
0.020000,1.741946,24.140339,1.787788,1.093488,-0.393728,0.549064,0.753974
0.020000,1.757764,24.155218,1.809504,1.085814,-0.383732,0.499800,0.755690
