dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.448449,0.032972,0.000641,0.064103,3.205128,160.256410,6.281682
0.020000,0.448796,0.032972,0.000989,0.017374,-2.336435,-277.078157,6.282029
0.020000,0.449491,0.032971,0.001683,0.034748,0.868704,160.256951,6.282724
0.020000,0.454826,0.032973,0.007018,0.266730,11.599109,536.520255,0.000582
0.020000,0.466473,0.032987,0.018665,0.582347,15.780856,209.087327,0.001972
0.020000,0.481033,0.033029,0.033226,0.728026,7.283914,-424.847109,0.003712
0.020000,0.498507,0.033112,0.050700,0.873715,7.284449,0.026786,0.005802
0.020000,0.518895,0.033255,0.071089,1.019440,7.286296,0.092316,0.008242
0.020000,0.542199,0.033480,0.094393,1.165240,7.289970,0.183696,0.011035
0.020000,0.568420,0.033810,0.120616,1.311130,7.294528,0.227926,0.014180
0.020000,0.597557,0.034275,0.149757,1.457060,7.296504,0.098813,0.017681
0.020000,0.629613,0.034903,0.181819,1.603083,7.301113,0.230451,0.021536
0.020000,0.664585,0.035730,0.216801,1.749090,7.300375,-0.036894,0.025749
0.020000,0.702474,0.036793,0.254705,1.895223,7.306640,0.313205,0.030321
0.020000,0.743282,0.038131,0.295534,2.041460,7.311848,0.260403,0.035253
0.020000,0.787005,0.039789,0.339289,2.187724,7.313198,0.067507,0.040545
0.020000,0.833640,0.041813,0.385968,2.333976,7.312586,-0.030609,0.046200
0.020000,0.883188,0.044253,0.435576,2.480382,7.320301,0.385775,0.052218
0.020000,0.935642,0.047162,0.488111,2.626762,7.319032,-0.063462,0.058599
0.020000,0.991000,0.050597,0.543575,2.773193,7.321544,0.125622,0.065345
0.020000,1.049253,0.054617,0.601967,2.919605,7.320582,-0.048118,0.072455
0.020000,1.110395,0.059285,0.663287,3.065986,7.319078,-0.075181,0.079929
0.020000,1.174416,0.064665,0.727533,3.212323,7.316848,-0.111488,0.087765
0.020000,1.241305,0.070827,0.794705,3.358589,7.313259,-0.179470,0.095963
0.020000,1.311047,0.077842,0.864800,3.504724,7.306784,-0.323741,0.104519
0.020000,1.383629,0.085783,0.937815,3.650766,7.302076,-0.235395,0.113432
0.020000,1.459032,0.094727,1.013747,3.796581,7.290778,-0.564901,0.122698
0.020000,1.537235,0.104753,1.092589,3.942135,7.277709,-0.653473,0.132310
0.020000,1.618216,0.115941,1.174339,4.087495,7.267954,-0.487747,0.142265
0.020000,1.701946,0.128374,1.258987,4.232393,7.244946,-1.150421,0.152555
0.020000,1.788396,0.142136,1.346526,4.376954,7.228013,-0.846627,0.163171
0.020000,1.877534,0.157312,1.436947,4.521050,7.204807,-1.160278,0.174105
