dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.699185,4.926301,0.000200,0.020000,1.000000,50.000000,6.281385
0.020000,1.699267,4.926301,0.000282,0.004084,-0.795818,-89.790902,6.281653
0.020000,1.699430,4.926301,0.000445,0.008162,0.203942,49.987993,6.282188
0.020000,1.699675,4.926301,0.000690,0.012232,0.203461,-0.024040,6.282991
0.020000,1.702619,4.926302,0.003634,0.147198,6.748333,327.243588,0.000874
0.020000,1.707025,4.926309,0.008040,0.220322,3.656177,-154.607805,0.002208
0.020000,1.712312,4.926325,0.013327,0.264335,2.200633,-72.777200,0.003805
0.020000,1.718478,4.926354,0.019493,0.308320,2.199255,-0.068898,0.005663
0.020000,1.725523,4.926401,0.026538,0.352271,2.197564,-0.084517,0.007780
0.020000,1.733447,4.926472,0.034462,0.396182,2.195574,-0.099521,0.010154
0.020000,1.742247,4.926573,0.043263,0.440048,2.193297,-0.113834,0.012782
0.020000,1.751924,4.926711,0.052940,0.483869,2.191048,-0.112448,0.015661
0.020000,1.762475,4.926892,0.063493,0.527632,2.188125,-0.146148,0.018786
0.020000,1.773899,4.927126,0.074920,0.571336,2.185201,-0.146222,0.022155
0.020000,1.786195,4.927421,0.087219,0.614974,2.181928,-0.163643,0.025762
0.020000,1.799361,4.927786,0.100390,0.658541,2.178331,-0.179840,0.029604
0.020000,1.813394,4.928230,0.114431,0.702030,2.174436,-0.194769,0.033674
0.020000,1.828293,4.928764,0.129339,0.745435,2.170268,-0.208397,0.037968
0.020000,1.844056,4.929398,0.145114,0.788751,2.165776,-0.224595,0.042479
0.020000,1.860678,4.930144,0.161754,0.831971,2.161003,-0.238641,0.047201
0.020000,1.878159,4.931013,0.179256,0.875089,2.155897,-0.255302,0.052129
0.020000,1.896493,4.932017,0.197618,0.918098,2.150446,-0.272540,0.057253
0.020000,1.915678,4.933168,0.216837,0.960991,2.144690,-0.287829,0.062568
0.020000,1.935711,4.934478,0.236913,1.003765,2.138666,-0.301203,0.068064
0.020000,1.956586,4.935961,0.257841,1.046412,2.132364,-0.315070,0.073734
0.020000,1.978084,4.937611,0.279402,1.078036,1.581210,-27.557737,0.079511
0.020000,1.999766,4.939402,0.301158,1.087816,0.489010,-54.609965,0.085273
0.020000,2.021416,4.941315,0.322892,1.086692,-0.056239,-27.262475,0.090962
0.020000,2.043032,4.943348,0.344603,1.085563,-0.056438,-0.009946,0.096577
0.020000,2.064614,4.945499,0.366292,1.084433,-0.056514,-0.003785,0.102117
0.020000,2.086160,4.947767,0.387958,1.083290,-0.057104,-0.029523,0.107582
0.020000,2.107672,4.950149,0.409601,1.082156,-0.056728,0.018837,0.112973
0.020000,2.129148,4.952643,0.431221,1.081007,-0.057465,-0.036867,0.118289
0.020000,2.150587,4.955248,0.452818,1.079865,-0.057075,0.019478,0.123529
0.020000,2.171990,4.957962,0.474392,1.078717,-0.057412,-0.016838,0.128694
0.020000,2.193356,4.960782,0.495944,1.077567,-0.057490,-0.003900,0.133784
0.020000,2.214685,4.963707,0.517472,1.076423,-0.057222,0.013392,0.138799
0.020000,2.235976,4.966736,0.538978,1.075266,-0.057840,-0.030911,0.143738
0.020000,2.257230,4.969865,0.560460,1.074125,-0.057039,0.040061,0.148601
0.020000,2.278445,4.973093,0.581919,1.072967,-0.057877,-0.041882,0.153390
0.020000,2.299622,4.976418,0.603356,1.071826,-0.057060,0.040845,0.158103
0.020000,2.320760,4.979839,0.624769,1.070677,-0.057489,-0.021443,0.162740
0.020000,2.341860,4.983353,0.646160,1.069533,-0.057183,0.015309,0.167303
0.020000,2.362922,4.986958,0.667528,1.068392,-0.057023,0.007968,0.171791
0.020000,2.383944,4.990654,0.688873,1.067248,-0.057241,-0.010907,0.176203
0.020000,2.404928,4.994437,0.710195,1.066118,-0.056497,0.037224,0.180542
0.020000,2.425874,4.998306,0.731495,1.064973,-0.057236,-0.036937,0.184805
0.020000,2.446780,5.002260,0.752772,1.063853,-0.056019,0.060816,0.188995
0.020000,2.467648,5.006296,0.774026,1.062713,-0.056977,-0.047880,0.193110
0.020000,2.488477,5.010413,0.795258,1.061598,-0.055740,0.061873,0.197152
0.020000,2.509267,5.014609,0.816467,1.060470,-0.056385,-0.032252,0.201120
0.020000,2.530019,5.018882,0.837655,1.059359,-0.055555,0.041493,0.205015
0.020000,2.550732,5.023230,0.858819,1.058244,-0.055772,-0.010854,0.208837
0.020000,2.571407,5.027653,0.879962,1.057138,-0.055316,0.022793,0.212586
0.020000,2.592044,5.032147,0.901083,1.056035,-0.055149,0.008343,0.216263
0.020000,2.612643,5.036712,0.922182,1.054934,-0.055026,0.006173,0.219868
0.020000,2.633204,5.041345,0.943258,1.053844,-0.054525,0.025007,0.223401
0.020000,2.653728,5.046045,0.964313,1.052750,-0.054687,-0.008063,0.226862
0.020000,2.674214,5.050811,0.985347,1.051672,-0.053909,0.038903,0.230252
0.020000,2.694664,5.055640,1.006359,1.050586,-0.054303,-0.019708,0.233572
0.020000,2.715076,5.060532,1.027349,1.049520,-0.053305,0.049887,0.236821
0.020000,2.735452,5.065484,1.048318,1.048442,-0.053878,-0.028643,0.240000
0.020000,2.755791,5.070495,1.069266,1.047388,-0.052720,0.057901,0.243109
0.020000,2.776095,5.075563,1.090192,1.046319,-0.053417,-0.034831,0.246149
0.020000,2.796362,5.080688,1.111097,1.045276,-0.052157,0.062963,0.249119
0.020000,2.816594,5.085866,1.131982,1.044218,-0.052923,-0.038309,0.252021
0.020000,2.836792,5.091098,1.152846,1.043185,-0.051620,0.065162,0.254854
0.020000,2.856954,5.096380,1.173688,1.042137,-0.052404,-0.039183,0.257620
0.020000,2.877082,5.101712,1.194511,1.041115,-0.051111,0.064651,0.260317
0.020000,2.897175,5.107093,1.215312,1.040078,-0.051863,-0.037616,0.262947
0.020000,2.917236,5.112521,1.236093,1.039065,-0.050630,0.061636,0.265510
0.020000,2.937262,5.117993,1.256854,1.038039,-0.051307,-0.033824,0.268007
0.020000,2.957256,5.123510,1.277595,1.037035,-0.050180,0.056371,0.270437
0.020000,2.977216,5.129069,1.298315,1.036021,-0.050741,-0.028068,0.272800
0.020000,2.997145,5.134670,1.319016,1.035025,-0.049758,0.049149,0.275098
0.020000,3.017041,5.140310,1.339696,1.034022,-0.050171,-0.020644,0.277331
0.020000,3.036906,5.145988,1.360357,1.033035,-0.049365,0.040298,0.279498
