dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.834534,4.458054,0.000200,0.020000,1.000000,50.000000,6.282960
0.020000,1.834517,4.458054,0.000216,0.000821,-0.958955,-97.947731,6.283013
0.020000,1.834484,4.458054,0.000249,0.001640,0.040976,49.996523,6.283121
0.020000,1.835881,4.458054,0.001645,0.069803,3.408117,168.357057,0.000097
0.020000,1.839015,4.458054,0.004780,0.156730,4.346374,46.912876,0.000312
0.020000,1.842934,4.458056,0.008698,0.195923,1.959650,-119.336213,0.000579
0.020000,1.847636,4.458060,0.013401,0.235123,1.959994,0.017202,0.000899
0.020000,1.853123,4.458066,0.018887,0.274331,1.960416,0.021065,0.001271
0.020000,1.859394,4.458075,0.025158,0.313549,1.960897,0.024055,0.001694
0.020000,1.866449,4.458089,0.032214,0.352779,1.961458,0.028044,0.002168
0.020000,1.874290,4.458108,0.040054,0.392020,1.962083,0.031249,0.002692
0.020000,1.882915,4.458133,0.048680,0.431276,1.962773,0.034500,0.003264
0.020000,1.892326,4.458167,0.058091,0.470547,1.963547,0.038729,0.003885
0.020000,1.902523,4.458210,0.068288,0.509834,1.964375,0.041396,0.004552
0.020000,1.913505,4.458264,0.079270,0.549140,1.965282,0.045345,0.005264
0.020000,1.925274,4.458330,0.091040,0.588465,1.966256,0.048719,0.006021
0.020000,1.937830,4.458411,0.103596,0.627811,1.967307,0.052544,0.006821
0.020000,1.951174,4.458508,0.116939,0.667179,1.968417,0.055485,0.007662
0.020000,1.965304,4.458622,0.131071,0.706571,1.969604,0.059360,0.008543
0.020000,1.980224,4.458756,0.145991,0.745989,1.970860,0.062774,0.009463
0.020000,1.995932,4.458913,0.161699,0.785432,1.972188,0.066435,0.010419
0.020000,2.012429,4.459093,0.178197,0.824904,1.973582,0.069670,0.011409
0.020000,2.029715,4.459299,0.195485,0.864405,1.975052,0.073497,0.012432
0.020000,2.047793,4.459533,0.213564,0.903937,1.976589,0.076865,0.013486
0.020000,2.066661,4.459798,0.232434,0.943501,1.978195,0.080320,0.014569
0.020000,2.086124,4.460092,0.251900,0.973266,1.488252,-24.497160,0.015667
0.020000,2.105789,4.460411,0.271567,0.983386,0.506018,-49.111692,0.016757
0.020000,2.125460,4.460751,0.291241,0.983677,0.014545,-24.573643,0.017828
0.020000,2.145136,4.461112,0.310920,0.983968,0.014548,0.000152,0.018880
0.020000,2.164817,4.461494,0.330605,0.984259,0.014551,0.000146,0.019913
0.020000,2.184504,4.461896,0.350296,0.984550,0.014554,0.000121,0.020927
0.020000,2.204196,4.462318,0.369993,0.984841,0.014556,0.000122,0.021922
0.020000,2.223894,4.462760,0.389696,0.985132,0.014557,0.000046,0.022897
0.020000,2.243597,4.463220,0.409404,0.985424,0.014560,0.000156,0.023854
0.020000,2.263306,4.463700,0.429119,0.985715,0.014560,0.000009,0.024791
0.020000,2.283019,4.464198,0.448839,0.986006,0.014562,0.000064,0.025709
0.020000,2.302739,4.464714,0.468565,0.986297,0.014564,0.000131,0.026608
0.020000,2.322463,4.465248,0.488296,0.986589,0.014562,-0.000132,0.027488
0.020000,2.342193,4.465799,0.508034,0.986880,0.014565,0.000173,0.028349
0.020000,2.361928,4.466367,0.527777,0.987171,0.014565,0.000013,0.029191
0.020000,2.381669,4.466951,0.547527,0.987462,0.014562,-0.000146,0.030014
0.020000,2.401415,4.467552,0.567282,0.987754,0.014567,0.000204,0.030817
0.020000,2.421166,4.468169,0.587043,0.988045,0.014564,-0.000140,0.031602
0.020000,2.440923,4.468801,0.606809,0.988336,0.014564,-0.000012,0.032367
0.020000,2.460685,4.469448,0.626582,0.988628,0.014566,0.000124,0.033113
0.020000,2.480452,4.470110,0.646360,0.988919,0.014560,-0.000278,0.033840
0.020000,2.500225,4.470786,0.666145,0.989210,0.014564,0.000170,0.034548
0.020000,2.520003,4.471477,0.685935,0.989501,0.014563,-0.000031,0.035237
0.020000,2.539786,4.472181,0.705730,0.989793,0.014558,-0.000265,0.035907
0.020000,2.559575,4.472898,0.725532,0.990084,0.014562,0.000227,0.036558
0.020000,2.579369,4.473628,0.745340,0.990375,0.014558,-0.000207,0.037189
0.020000,2.599168,4.474371,0.765153,0.990666,0.014557,-0.000068,0.037802
0.020000,2.618973,4.475126,0.784972,0.990957,0.014559,0.000117,0.038395
