dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000295,0.304800,0.000200,0.020000,1.000000,50.000000,6.282219
0.020000,0.000255,0.304800,0.000240,0.001996,-0.900180,-95.009008,6.282350
0.020000,0.000175,0.304800,0.000320,0.003994,0.099898,50.003931,6.282612
0.020000,0.000055,0.304800,0.000440,0.005995,0.100056,0.007867,6.283006
0.020000,0.001999,0.304800,0.002384,0.097230,4.561750,223.084689,0.000345
0.020000,0.005798,0.304803,0.006183,0.189947,4.635841,3.704591,0.001003
0.020000,0.010358,0.304809,0.010743,0.227973,1.901299,-136.727103,0.001794
0.020000,0.015676,0.304821,0.016061,0.265911,1.896877,-0.221112,0.002718
0.020000,0.021753,0.304841,0.022138,0.303840,1.896464,-0.020664,0.003779
0.020000,0.028588,0.304871,0.028973,0.341744,1.895190,-0.063700,0.004975
0.020000,0.036181,0.304914,0.036566,0.379682,1.896907,0.085876,0.006310
0.020000,0.044532,0.304973,0.044917,0.417534,1.892576,-0.216581,0.007784
0.020000,0.053639,0.305051,0.054025,0.455381,1.892362,-0.010671,0.009400
0.020000,0.063502,0.305152,0.063888,0.493168,1.889375,-0.149381,0.011158
0.020000,0.074121,0.305281,0.074508,0.530985,1.890838,0.073175,0.013063
0.020000,0.085494,0.305441,0.085882,0.568724,1.886927,-0.195554,0.015115
0.020000,0.097621,0.305638,0.098011,0.606420,1.884844,-0.104179,0.017318
0.020000,0.110501,0.305876,0.110893,0.644123,1.885103,0.012972,0.019674
0.020000,0.124132,0.306161,0.124527,0.681716,1.879690,-0.270634,0.022186
0.020000,0.138514,0.306500,0.138913,0.719286,1.878482,-0.060428,0.024857
0.020000,0.153645,0.306897,0.154049,0.756787,1.875044,-0.171881,0.027691
0.020000,0.169524,0.307361,0.169935,0.794288,1.875041,-0.000151,0.030692
0.020000,0.186148,0.307898,0.186568,0.831676,1.869406,-0.281749,0.033863
0.020000,0.203518,0.308515,0.203948,0.869003,1.866348,-0.152915,0.037208
0.020000,0.221630,0.309221,0.222074,0.906291,1.864404,-0.097192,0.040733
0.020000,0.240294,0.310016,0.240755,0.934069,1.388921,-23.774126,0.044404
0.020000,0.259131,0.310888,0.259613,0.942880,0.440543,-47.418942,0.048150
0.020000,0.277955,0.311831,0.278460,0.942351,-0.026455,-23.349905,0.051934
0.020000,0.296762,0.312845,0.297294,0.941708,-0.032130,-0.283724,0.055758
0.020000,0.315553,0.313930,0.316117,0.941136,-0.028643,0.174326,0.059622
0.020000,0.334328,0.315087,0.334927,0.940501,-0.031731,-0.154353,0.063525
0.020000,0.353085,0.316318,0.353725,0.939897,-0.030207,0.076194,0.067469
0.020000,0.371825,0.317621,0.372510,0.939256,-0.032030,-0.091157,0.071455
0.020000,0.390547,0.318999,0.391283,0.938633,-0.031155,0.043716,0.075482
0.020000,0.409250,0.320452,0.410042,0.937973,-0.033015,-0.092985,0.079551
0.020000,0.427935,0.321980,0.428789,0.937343,-0.031501,0.075686,0.083663
0.020000,0.446599,0.323584,0.447522,0.936649,-0.034672,-0.158546,0.087818
0.020000,0.465244,0.325265,0.466242,0.936024,-0.031257,0.170756,0.092018
0.020000,0.483867,0.327023,0.484948,0.935299,-0.036253,-0.249796,0.096262
0.020000,0.502470,0.328860,0.503642,0.934661,-0.031901,0.217610,0.100550
0.020000,0.521050,0.330775,0.522320,0.933939,-0.036110,-0.210459,0.104885
0.020000,0.539608,0.332770,0.540985,0.933234,-0.035242,0.043401,0.109265
0.020000,0.558143,0.334844,0.559636,0.932546,-0.034378,0.043186,0.113692
0.020000,0.576654,0.337000,0.578272,0.931793,-0.037692,-0.165688,0.118166
0.020000,0.595141,0.339237,0.596894,0.931090,-0.035109,0.129160,0.122688
0.020000,0.613603,0.341556,0.615501,0.930353,-0.036881,-0.088610,0.127259
0.020000,0.632038,0.343958,0.634092,0.929580,-0.038632,-0.087561,0.131878
0.020000,0.650448,0.346444,0.652669,0.928850,-0.036520,0.105599,0.136548
0.020000,0.668831,0.349014,0.671231,0.928090,-0.037996,-0.073757,0.141267
0.020000,0.687186,0.351669,0.689777,0.927297,-0.039656,-0.083020,0.146037
0.020000,0.705513,0.354410,0.708307,0.926509,-0.039400,0.012810,0.150858
0.020000,0.723811,0.357237,0.726822,0.925753,-0.037779,0.081049,0.155731
0.020000,0.742078,0.360151,0.745321,0.924938,-0.040753,-0.148734,0.160656
0.020000,0.760315,0.363153,0.763803,0.924117,-0.041067,-0.015684,0.165635
0.020000,0.778521,0.366243,0.782269,0.923289,-0.041389,-0.016085,0.170667
0.020000,0.796695,0.369423,0.800719,0.922499,-0.039498,0.094541,0.175753
0.020000,0.814835,0.372692,0.819152,0.921656,-0.042158,-0.133008,0.180895
0.020000,0.832942,0.376052,0.837568,0.920804,-0.042587,-0.021435,0.186091
0.020000,0.851015,0.379504,0.855967,0.919945,-0.042933,-0.017313,0.191344
0.020000,0.869051,0.383047,0.874349,0.919080,-0.043285,-0.017580,0.196653
0.020000,0.887052,0.386684,0.892713,0.918208,-0.043590,-0.015284,0.202019
0.020000,0.905016,0.390414,0.911060,0.917353,-0.042750,0.042042,0.207442
0.020000,0.922942,0.394238,0.929389,0.916462,-0.044537,-0.089392,0.212924
0.020000,0.940829,0.398157,0.947701,0.915564,-0.044900,-0.018128,0.218465
0.020000,0.958676,0.402171,0.965994,0.914659,-0.045264,-0.018206,0.224065
0.020000,0.976483,0.406282,0.984269,0.913746,-0.045629,-0.018240,0.229724
0.020000,0.994248,0.410490,1.002525,0.912827,-0.045993,-0.018228,0.235444
0.020000,1.011970,0.414796,1.020763,0.911899,-0.046357,-0.018168,0.241225
0.020000,1.029649,0.419200,1.038982,0.910965,-0.046718,-0.018057,0.247067
0.020000,1.047284,0.423703,1.057183,0.910024,-0.047076,-0.017893,0.252971
0.020000,1.064873,0.428306,1.075364,0.909075,-0.047429,-0.017673,0.258937
0.020000,1.082416,0.433009,1.093527,0.908119,-0.047777,-0.017395,0.264966
0.020000,1.099911,0.437814,1.111670,0.907157,-0.048118,-0.017056,0.271058
0.020000,1.117358,0.442720,1.129794,0.906188,-0.048451,-0.016654,0.277213
0.020000,1.134756,0.447729,1.147898,0.905212,-0.048775,-0.016186,0.283433
0.020000,1.152103,0.452841,1.165983,0.904231,-0.049088,-0.015650,0.289717
0.020000,1.169398,0.458056,1.184047,0.903243,-0.049389,-0.015044,0.296065
0.020000,1.186641,0.463376,1.202092,0.902249,-0.049676,-0.014365,0.302479
0.020000,1.203831,0.468801,1.220117,0.901250,-0.049948,-0.013611,0.308958
0.020000,1.220965,0.474332,1.238123,0.900261,-0.049479,0.023486,0.315502
0.020000,1.238044,0.479969,1.256108,0.899262,-0.049931,-0.022630,0.322113
0.020000,1.255066,0.485713,1.274073,0.898251,-0.050577,-0.032279,0.328790
0.020000,1.272030,0.491564,1.292018,0.897235,-0.050779,-0.010106,0.335533
0.020000,1.288935,0.497524,1.309942,0.896216,-0.050958,-0.008955,0.342342
0.020000,1.305779,0.503592,1.327846,0.895194,-0.051113,-0.007719,0.349218
0.020000,1.322562,0.509769,1.345730,0.894193,-0.050029,0.054190,0.356161
0.020000,1.339283,0.516057,1.363593,0.893177,-0.050791,-0.038095,0.363171
0.020000,1.355939,0.522454,1.381436,0.892150,-0.051364,-0.028666,0.370248
0.020000,1.372531,0.528962,1.399259,0.891122,-0.051408,-0.002221,0.377391
