dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000200,0.020000,1.000000,50.000000,6.282219
0.020000,0.000000,0.000000,0.001000,0.060000,2.000000,50.000000,6.282350
0.020000,0.000000,0.000000,0.002600,0.100000,2.000000,0.000000,6.282612
0.020000,0.000000,0.000000,0.005000,0.140000,2.000000,0.000000,6.283006
0.020000,0.002105,0.000000,0.008200,0.180000,2.000000,-0.000000,0.000345
0.020000,0.006104,0.000003,0.012200,0.220000,2.000000,0.000000,0.001003
0.020000,0.010904,0.000010,0.017000,0.260000,2.000000,0.000000,0.001794
0.020000,0.016505,0.000022,0.022600,0.300000,2.000000,-0.000000,0.002718
0.020000,0.022904,0.000043,0.029000,0.340000,2.000000,0.000000,0.003779
0.020000,0.030104,0.000075,0.036200,0.380000,2.000000,-0.000000,0.004975
0.020000,0.038104,0.000120,0.044200,0.420000,2.000000,0.000000,0.006310
0.020000,0.046904,0.000182,0.053000,0.460000,2.000000,0.000000,0.007784
0.020000,0.056504,0.000264,0.062600,0.500000,2.000000,-0.000000,0.009400
0.020000,0.066903,0.000371,0.073000,0.540000,2.000000,0.000000,0.011158
0.020000,0.078102,0.000507,0.084200,0.580000,2.000000,-0.000000,0.013063
0.020000,0.090101,0.000676,0.096200,0.620000,2.000000,0.000000,0.015115
0.020000,0.102899,0.000883,0.109000,0.660000,2.000000,0.000000,0.017318
0.020000,0.116497,0.001135,0.122600,0.700000,2.000000,-0.000000,0.019674
0.020000,0.130894,0.001436,0.137000,0.740000,2.000000,0.000000,0.022186
0.020000,0.146090,0.001794,0.152200,0.780000,2.000000,0.000000,0.024857
0.020000,0.162084,0.002214,0.168200,0.820000,2.000000,-0.000000,0.027691
0.020000,0.178877,0.002704,0.185000,0.860000,2.000000,0.000000,0.030692
0.020000,0.196468,0.003272,0.202600,0.900000,2.000000,0.000000,0.033863
0.020000,0.214856,0.003926,0.221000,0.940000,2.000000,-0.000000,0.037208
0.020000,0.234042,0.004674,0.240200,0.980000,2.000000,0.000000,0.040733
0.020000,0.253824,0.005517,0.260000,1.000000,1.000000,-50.000000,0.044404
0.020000,0.273802,0.006442,0.280000,1.000000,0.000000,-50.000000,0.048150
0.020000,0.293777,0.007442,0.300000,1.000000,0.000000,0.000000,0.051934
0.020000,0.313748,0.008518,0.320000,1.000000,0.000000,0.000000,0.055758
0.020000,0.333715,0.009671,0.340000,1.000000,0.000000,0.000000,0.059622
0.020000,0.353677,0.010902,0.360000,1.000000,0.000000,0.000000,0.063525
0.020000,0.373634,0.012211,0.380000,1.000000,0.000000,0.000000,0.067469
0.020000,0.393586,0.013599,0.400000,1.000000,0.000000,0.000000,0.071455
0.020000,0.413532,0.015067,0.420000,1.000000,0.000000,0.000000,0.075482
0.020000,0.433472,0.016616,0.440000,1.000000,0.000000,0.000000,0.079551
0.020000,0.453405,0.018246,0.460000,1.000000,0.000000,0.000000,0.083663
0.020000,0.473332,0.019959,0.480000,1.000000,0.000000,0.000000,0.087818
0.020000,0.493251,0.021754,0.500000,1.000000,0.000000,0.000000,0.092018
0.020000,0.513162,0.023634,0.520000,1.000000,0.000000,0.000000,0.096262
0.020000,0.533066,0.025599,0.540000,1.000000,0.000000,0.000000,0.100550
0.020000,0.552960,0.027650,0.560000,1.000000,0.000000,0.000000,0.104885
0.020000,0.572846,0.029787,0.580000,1.000000,0.000000,0.000000,0.109265
0.020000,0.592722,0.032012,0.600000,1.000000,0.000000,0.000000,0.113692
0.020000,0.612587,0.034325,0.620000,1.000000,0.000000,0.000000,0.118166
0.020000,0.632442,0.036728,0.640000,1.000000,0.000000,0.000000,0.122688
0.020000,0.652287,0.039221,0.660000,1.000000,0.000000,0.000000,0.127259
0.020000,0.672119,0.041805,0.680000,1.000000,0.000000,0.000000,0.131878
0.020000,0.691939,0.044481,0.700000,1.000000,0.000000,0.000000,0.136548
0.020000,0.711746,0.047250,0.720000,1.000000,0.000000,0.000000,0.141267
0.020000,0.731540,0.050113,0.740000,1.000000,0.000000,0.000000,0.146037
0.020000,0.751320,0.053071,0.760000,1.000000,0.000000,0.000000,0.150858
0.020000,0.771086,0.056125,0.780000,1.000000,0.000000,0.000000,0.155731
0.020000,0.790836,0.059276,0.800000,1.000000,0.000000,0.000000,0.160656
0.020000,0.810570,0.062524,0.820000,1.000000,0.000000,0.000000,0.165635
0.020000,0.830288,0.065871,0.840000,1.000000,0.000000,0.000000,0.170667
0.020000,0.849989,0.069318,0.860000,1.000000,0.000000,0.000000,0.175753
0.020000,0.869672,0.072866,0.880000,1.000000,0.000000,0.000000,0.180895
0.020000,0.889336,0.076515,0.900000,1.000000,0.000000,0.000000,0.186091
0.020000,0.908981,0.080267,0.920000,1.000000,0.000000,0.000000,0.191344
0.020000,0.928606,0.084122,0.940000,1.000000,0.000000,0.000000,0.196653
0.020000,0.948209,0.088082,0.960000,1.000000,0.000000,0.000000,0.202019
0.020000,0.967792,0.092148,0.980000,1.000000,0.000000,0.000000,0.207442
0.020000,0.987352,0.096321,1.000000,1.000000,0.000000,0.000000,0.212924
0.020000,1.006889,0.100602,1.020000,1.000000,0.000000,0.000000,0.218465
0.020000,1.026401,0.104991,1.040000,1.000000,0.000000,0.000000,0.224065
0.020000,1.045888,0.109490,1.060000,1.000000,0.000000,0.000000,0.229724
0.020000,1.065350,0.114099,1.080000,1.000000,0.000000,0.000000,0.235444
0.020000,1.084784,0.118821,1.100000,1.000000,0.000000,0.000000,0.241225
0.020000,1.104191,0.123655,1.120000,1.000000,0.000000,0.000000,0.247067
0.020000,1.123569,0.128604,1.140000,1.000000,0.000000,0.000000,0.252971
0.020000,1.142918,0.133667,1.160000,1.000000,0.000000,0.000000,0.258937
0.020000,1.162236,0.138846,1.180000,1.000000,0.000000,0.000000,0.264966
0.020000,1.181522,0.144142,1.200000,1.000000,0.000000,0.000000,0.271058
0.020000,1.200775,0.149557,1.220000,1.000000,0.000000,0.000000,0.277213
0.020000,1.219994,0.155090,1.240000,1.000000,0.000000,0.000000,0.283433
0.020000,1.239178,0.160743,1.260000,1.000000,0.000000,0.000000,0.289717
0.020000,1.258327,0.166517,1.280000,1.000000,0.000000,0.000000,0.296065
0.020000,1.277437,0.172414,1.300000,1.000000,0.000000,0.000000,0.302479
0.020000,1.296510,0.178433,1.320000,1.000000,0.000000,0.000000,0.308958
0.020000,1.315543,0.184577,1.340000,1.000000,0.000000,0.000000,0.315502
0.020000,1.334535,0.190845,1.360000,1.000000,0.000000,0.000000,0.322113
0.020000,1.353486,0.197240,1.380000,1.000000,0.000000,0.000000,0.328790
0.020000,1.372392,0.203762,1.400000,1.000000,0.000000,0.000000,0.335533
0.020000,1.391254,0.210411,1.420000,1.000000,0.000000,0.000000,0.342342
0.020000,1.410070,0.217190,1.440000,1.000000,0.000000,0.000000,0.349218
0.020000,1.428840,0.224098,1.460000,1.000000,0.000000,0.000000,0.356161
0.020000,1.447560,0.231137,1.480000,1.000000,0.000000,0.000000,0.363171
0.020000,1.466230,0.238308,1.500000,1.000000,0.000000,0.000000,0.370248
0.020000,1.484849,0.245611,1.520000,1.000000,0.000000,0.000000,0.377391
0.020000,1.503415,0.253048,1.540000,1.000000,0.000000,0.000000,0.384601
0.020000,1.521926,0.260619,1.560000,1.000000,0.000000,0.000000,0.391878
0.020000,1.540382,0.268325,1.580000,1.000000,0.000000,0.000000,0.399222
0.020000,1.558780,0.276167,1.600000,1.000000,0.000000,0.000000,0.406632
0.020000,1.577120,0.284146,1.620000,1.000000,0.000000,0.000000,0.414108
0.020000,1.595399,0.292263,1.640000,1.000000,0.000000,0.000000,0.421650
0.020000,1.613616,0.300517,1.660000,1.000000,0.000000,0.000000,0.429257
0.020000,1.631769,0.308911,1.680000,1.000000,0.000000,0.000000,0.436930
0.020000,1.649858,0.317444,1.700000,1.000000,0.000000,0.000000,0.444667
0.020000,1.667879,0.326117,1.720000,1.000000,0.000000,0.000000,0.452468
0.020000,1.685832,0.334931,1.740000,1.000000,0.000000,0.000000,0.460333
0.020000,1.703714,0.343887,1.760000,1.000000,0.000000,0.000000,0.468261
0.020000,1.721525,0.352985,1.780000,1.000000,0.000000,0.000000,0.476252
0.020000,1.739263,0.362225,1.800000,1.000000,0.000000,0.000000,0.484304
0.020000,1.756925,0.371609,1.820000,1.000000,0.000000,0.000000,0.492417
0.020000,1.774510,0.381136,1.840000,1.000000,0.000000,0.000000,0.500590
0.020000,1.792016,0.390807,1.860000,1.000000,0.000000,0.000000,0.508822
0.020000,1.809442,0.400622,1.880000,1.000000,0.000000,0.000000,0.517112
0.020000,1.826785,0.410582,1.900000,1.000000,0.000000,0.000000,0.525460
0.020000,1.844045,0.420686,1.920000,1.000000,0.000000,0.000000,0.533863
0.020000,1.861219,0.430936,1.940000,1.000000,0.000000,0.000000,0.542321
0.020000,1.878305,0.441331,1.960000,1.000000,0.000000,0.000000,0.550833
0.020000,1.895302,0.451872,1.980000,1.000000,0.000000,0.000000,0.559396
0.020000,1.912207,0.462558,2.000000,1.000000,0.000000,0.000000,0.568011
0.020000,1.929020,0.473390,2.020000,1.000000,0.000000,0.000000,0.576675
0.020000,1.945738,0.484368,2.040000,1.000000,0.000000,0.000000,0.585388
0.020000,1.962359,0.495491,2.060000,1.000000,0.000000,0.000000,0.594146
0.020000,1.978882,0.506760,2.080000,1.000000,0.000000,0.000000,0.602949
0.020000,1.995305,0.518174,2.100000,1.000000,0.000000,0.000000,0.611796
0.020000,2.011626,0.529733,2.120000,1.000000,0.000000,0.000000,0.620684
0.020000,2.027844,0.541438,2.140000,1.000000,0.000000,0.000000,0.629611
0.020000,2.043956,0.553287,2.160000,1.000000,0.000000,0.000000,0.638576
0.020000,2.059961,0.565280,2.180000,1.000000,0.000000,0.000000,0.647577
0.020000,2.075857,0.577417,2.200000,1.000000,0.000000,0.000000,0.656612
0.020000,2.091643,0.589697,2.220000,1.000000,0.000000,0.000000,0.665678
0.020000,2.107317,0.602120,2.240000,1.000000,0.000000,0.000000,0.674775
0.020000,2.122877,0.614686,2.260000,1.000000,0.000000,0.000000,0.683898
0.020000,2.138321,0.627393,2.280000,1.000000,0.000000,0.000000,0.693048
0.020000,2.153648,0.640241,2.300000,1.000000,0.000000,0.000000,0.702221
0.020000,2.168857,0.653229,2.320000,1.000000,0.000000,0.000000,0.711415
0.020000,2.183945,0.666357,2.340000,1.000000,0.000000,0.000000,0.720627
0.020000,2.198912,0.679623,2.360000,1.000000,0.000000,0.000000,0.729857
0.020000,2.213755,0.693027,2.380000,1.000000,0.000000,0.000000,0.739100
0.020000,2.228474,0.706568,2.400000,1.000000,0.000000,0.000000,0.748355
0.020000,2.243067,0.720244,2.420000,1.000000,0.000000,0.000000,0.757620
0.020000,2.257533,0.734055,2.440000,1.000000,0.000000,0.000000,0.766892
0.020000,2.271870,0.748000,2.460000,1.000000,0.000000,0.000000,0.776169
0.020000,2.286077,0.762077,2.480000,1.000000,0.000000,0.000000,0.785448
0.020000,2.300152,0.776285,2.500000,1.000000,0.000000,0.000000,0.794728
0.020000,2.314095,0.790623,2.520000,1.000000,0.000000,0.000000,0.804004
0.020000,2.327905,0.805090,2.540000,1.000000,0.000000,0.000000,0.813276
0.020000,2.341580,0.819684,2.560000,1.000000,0.000000,0.000000,0.822541
0.020000,2.355119,0.834405,2.580000,1.000000,0.000000,0.000000,0.831796
0.020000,2.368521,0.849249,2.600000,1.000000,0.000000,0.000000,0.841040
0.020000,2.381786,0.864217,2.620000,1.000000,0.000000,0.000000,0.850269
0.020000,2.394912,0.879307,2.640000,1.000000,0.000000,0.000000,0.859481
0.020000,2.407899,0.894517,2.660000,1.000000,0.000000,0.000000,0.868675
0.020000,2.420746,0.909846,2.680000,1.000000,0.000000,0.000000,0.877848
0.020000,2.433451,0.925291,2.700000,1.000000,0.000000,0.000000,0.886997
0.020000,2.446015,0.940852,2.720000,1.000000,0.000000,0.000000,0.896120
0.020000,2.458437,0.956527,2.740000,1.000000,0.000000,0.000000,0.905216
0.020000,2.470716,0.972314,2.760000,1.000000,0.000000,0.000000,0.914283
0.020000,2.482851,0.988211,2.780000,1.000000,0.000000,0.000000,0.923317
0.020000,2.494843,1.004218,2.800000,1.000000,0.000000,0.000000,0.932318
0.020000,2.506690,1.020331,2.820000,1.000000,0.000000,0.000000,0.941282
0.020000,2.518392,1.036550,2.840000,1.000000,0.000000,0.000000,0.950209
0.020000,2.529950,1.052872,2.860000,1.000000,0.000000,0.000000,0.959096
0.020000,2.541363,1.069296,2.880000,1.000000,0.000000,0.000000,0.967942
0.020000,2.552630,1.085820,2.900000,1.000000,0.000000,0.000000,0.976745
0.020000,2.563752,1.102442,2.920000,1.000000,0.000000,0.000000,0.985503
0.020000,2.574728,1.119162,2.940000,1.000000,0.000000,0.000000,0.994215
0.020000,2.585558,1.135975,2.960000,1.000000,0.000000,0.000000,1.002879
0.020000,2.596243,1.152882,2.980000,1.000000,0.000000,0.000000,1.011493
0.020000,2.606782,1.169879,3.000000,1.000000,0.000000,0.000000,1.020056
0.020000,2.617176,1.186967,3.020000,1.000000,0.000000,0.000000,1.028567
