dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000295,-0.304800,0.000200,0.020000,1.000000,50.000000,6.282219
0.020000,-0.000255,-0.304800,0.000240,0.001996,-0.900180,-95.009008,6.282350
0.020000,-0.000175,-0.304800,0.000320,0.003994,0.099898,50.003931,6.282612
0.020000,-0.000055,-0.304800,0.000440,0.005995,0.100056,0.007867,6.283006
0.020000,0.002210,-0.304800,0.002704,0.113238,5.362145,263.104464,0.000345
0.020000,0.006410,-0.304797,0.006904,0.209984,4.837297,-26.242382,0.001003
0.020000,0.011451,-0.304790,0.011946,0.252077,2.104609,-136.634399,0.001794
0.020000,0.017333,-0.304776,0.017828,0.294101,2.101231,-0.168930,0.002718
0.020000,0.024056,-0.304755,0.024551,0.336152,2.102546,0.065739,0.003779
0.020000,0.031620,-0.304722,0.032115,0.378216,2.103175,0.031454,0.004975
0.020000,0.040028,-0.304674,0.040522,0.420363,2.107388,0.210660,0.006310
0.020000,0.049277,-0.304609,0.049772,0.462467,2.105183,-0.110239,0.007784
0.020000,0.059369,-0.304522,0.059864,0.504623,2.107822,0.131949,0.009400
0.020000,0.070304,-0.304410,0.070800,0.546777,2.107680,-0.007105,0.011158
0.020000,0.082084,-0.304267,0.082580,0.589033,2.112775,0.254747,0.013063
0.020000,0.094708,-0.304089,0.095206,0.631277,2.112222,-0.027665,0.015115
0.020000,0.108177,-0.303871,0.108677,0.673557,2.114015,0.089645,0.017318
0.020000,0.122493,-0.303606,0.122996,0.715932,2.118745,0.236515,0.019674
0.020000,0.137656,-0.303289,0.138161,0.758282,2.117517,-0.061419,0.022186
0.020000,0.153665,-0.302912,0.154176,0.800709,2.121317,0.190047,0.024857
0.020000,0.170523,-0.302469,0.171039,0.843169,2.123011,0.084662,0.027691
0.020000,0.188230,-0.301952,0.188754,0.885747,2.128920,0.295479,0.030692
0.020000,0.206787,-0.301353,0.207320,0.928327,2.128957,0.001819,0.033863
0.020000,0.226194,-0.300663,0.226740,0.970972,2.132284,0.166373,0.037208
0.020000,0.246453,-0.299873,0.247014,1.013718,2.137300,0.250806,0.040733
0.020000,0.267354,-0.298983,0.267933,1.045963,1.612213,-26.254381,0.044404
0.020000,0.288472,-0.298005,0.289075,1.057054,0.554588,-52.881240,0.048150
0.020000,0.309600,-0.296947,0.310229,1.057710,0.032764,-26.091174,0.051934
0.020000,0.330734,-0.295808,0.331394,1.058254,0.027210,-0.277736,0.055758
0.020000,0.351877,-0.294587,0.352572,1.058893,0.031948,0.236938,0.059622
0.020000,0.373026,-0.293283,0.373761,1.059479,0.029307,-0.132059,0.063525
0.020000,0.394183,-0.291896,0.394964,1.060116,0.031863,0.127808,0.067469
0.020000,0.415347,-0.290423,0.416178,1.060729,0.030656,-0.060350,0.071455
0.020000,0.436517,-0.288865,0.437406,1.061379,0.032501,0.092253,0.075482
0.020000,0.457693,-0.287220,0.458646,1.062005,0.031264,-0.061857,0.079551
0.020000,0.478876,-0.285488,0.479899,1.062682,0.033853,0.129450,0.083663
0.020000,0.500064,-0.283667,0.501166,1.063304,0.031140,-0.135682,0.087818
0.020000,0.521259,-0.281756,0.522446,1.064023,0.035908,0.238427,0.092018
0.020000,0.542457,-0.279755,0.543739,1.064645,0.031127,-0.239081,0.096262
0.020000,0.563662,-0.277661,0.565047,1.065385,0.036986,0.292970,0.100550
0.020000,0.584870,-0.275475,0.586368,1.066047,0.033103,-0.194163,0.104885
0.020000,0.606083,-0.273195,0.607702,1.066747,0.035009,0.095309,0.109265
0.020000,0.627300,-0.270820,0.629052,1.067486,0.036924,0.095763,0.113692
0.020000,0.648520,-0.268349,0.650415,1.068167,0.034061,-0.143163,0.118166
0.020000,0.669744,-0.265781,0.671794,1.068926,0.037958,0.194856,0.122688
0.020000,0.690971,-0.263114,0.693187,1.069663,0.036869,-0.054471,0.127259
0.020000,0.712199,-0.260348,0.714595,1.070379,0.035798,-0.053527,0.131878
0.020000,0.733429,-0.257482,0.736018,1.071163,0.039180,0.169099,0.136548
0.020000,0.754661,-0.254513,0.757457,1.071932,0.038436,-0.037180,0.141267
0.020000,0.775894,-0.251442,0.778910,1.072681,0.037473,-0.048165,0.146037
0.020000,0.797127,-0.248267,0.800379,1.073456,0.038725,0.062577,0.150858
0.020000,0.818361,-0.244986,0.821865,1.074287,0.041567,0.142114,0.155731
0.020000,0.839594,-0.241599,0.843367,1.075068,0.039079,-0.124412,0.160656
0.020000,0.860825,-0.238104,0.864884,1.075862,0.039671,0.029618,0.165635
0.020000,0.882055,-0.234501,0.886417,1.076667,0.040253,0.029108,0.170667
0.020000,0.903283,-0.230787,0.907968,1.077535,0.043420,0.158346,0.175753
0.020000,0.924508,-0.226961,0.929535,1.078361,0.041273,-0.107378,0.180895
0.020000,0.945730,-0.223023,0.951119,1.079195,0.041721,0.022396,0.186091
0.020000,0.966947,-0.218971,0.972720,1.080040,0.042260,0.026957,0.191344
0.020000,0.988160,-0.214803,0.994338,1.080896,0.042786,0.026339,0.196653
0.020000,1.009367,-0.210519,1.015973,1.081763,0.043360,0.028680,0.202019
0.020000,1.030568,-0.206117,1.037626,1.082669,0.045280,0.095989,0.207442
0.020000,1.051762,-0.201596,1.059297,1.083551,0.044089,-0.059536,0.212924
0.020000,1.072948,-0.196954,1.080986,1.084442,0.044565,0.023778,0.218465
0.020000,1.094126,-0.192190,1.102693,1.085343,0.045026,0.023043,0.224065
0.020000,1.115294,-0.187303,1.124418,1.086252,0.045471,0.022282,0.229724
0.020000,1.136452,-0.182291,1.146162,1.087170,0.045901,0.021495,0.235444
0.020000,1.157599,-0.177154,1.167923,1.088096,0.046315,0.020680,0.241225
0.020000,1.178734,-0.171889,1.189704,1.089031,0.046711,0.019839,0.247067
0.020000,1.199855,-0.166495,1.211504,1.089972,0.047091,0.018969,0.252971
0.020000,1.220963,-0.160972,1.233322,1.090921,0.047452,0.018072,0.258937
0.020000,1.242056,-0.155317,1.255159,1.091877,0.047795,0.017147,0.264966
0.020000,1.263132,-0.149529,1.277016,1.092840,0.048119,0.016194,0.271058
0.020000,1.284191,-0.143607,1.298892,1.093808,0.048423,0.015212,0.277213
0.020000,1.305232,-0.137549,1.320788,1.094782,0.048707,0.014200,0.283433
0.020000,1.326254,-0.131354,1.342703,1.095762,0.048971,0.013160,0.289717
0.020000,1.347255,-0.125021,1.364638,1.096746,0.049212,0.012090,0.296065
0.020000,1.368234,-0.118549,1.386593,1.097735,0.049432,0.010990,0.302479
0.020000,1.389189,-0.111935,1.408567,1.098727,0.049629,0.009861,0.308958
0.020000,1.410121,-0.105179,1.430562,1.099741,0.050690,0.053049,0.315502
0.020000,1.431026,-0.098278,1.452577,1.100753,0.050582,-0.005399,0.322113
0.020000,1.451905,-0.091233,1.474612,1.101756,0.050187,-0.019785,0.328790
0.020000,1.472755,-0.084041,1.496668,1.102762,0.050281,0.004713,0.335533
0.020000,1.493574,-0.076702,1.518743,1.103769,0.050349,0.003424,0.342342
0.020000,1.514362,-0.069213,1.540839,1.104777,0.050392,0.002106,0.349218
0.020000,1.535117,-0.061573,1.562955,1.105815,0.051907,0.075761,0.356161
0.020000,1.555837,-0.053782,1.585092,1.106837,0.051082,-0.041226,0.363171
0.020000,1.576521,-0.045838,1.607249,1.107845,0.050420,-0.033110,0.370248
0.020000,1.597167,-0.037740,1.629426,1.108852,0.050343,-0.003840,0.377391
